stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
90.0,107.0,4.067014933,1.0,1.0,84.0,8.0,195.0,126.0,-28.0,-28.0,-64.0,-111.0,3.0782156194043107,-3.5152764540748955,-0.0723511795677659,-0.36168956147053266,-9.728885259405641e-17
137.0,146.0,4.416527748,2.0,1.0,50.0,73.0,90.0,74.0,1.0,1.0,64.0,-40.0,4.445190208429397,-3.5152764540748955,0.20187935608295543,2.548538000375178,-0.034209543937979855
8.0,126.0,2.050063848,3.0,1.0,195.0,96.0,123.0,127.0,31.0,30.999999999999822,58.0,72.0,3.4734814830236003,-3.180090694463442,0.2605180963869321,1.1257971381889342,-0.06854575473242484
73.0,74.0,13.23340225,4.0,1.0,90.0,133.0,61.0,138.0,5.0,5.000000000000046,-60.0,29.0,2.613203931919842,-3.254298834082825,0.1683820574368799,-0.9340007458034062,-0.10313541339187858
96.0,127.0,6.367063999,5.0,1.0,123.0,68.0,242.0,89.0,21.0,21.0,28.0,-119.0,4.2792606876797326,-2.7607019894399354,0.007932703743280093,-0.9098157502585653,-0.1381055198475139
133.0,138.0,5.000292063,6.0,1.0,61.0,58.0,266.0,87.0,29.0,24.666666516670162,-71.0,155.0,,-1.2620814943085839,,,-0.17358337886001735
68.0,89.0,1.016514063,7.0,1.0,242.0,1.0,330.0,124.0,-23.0,-11.001789715386323,67.0,-88.0,,-1.381129113356202,,,-0.20969665738259932
58.0,87.0,3.866402149,8.0,1.0,266.0,125.0,100.0,108.0,-17.0,-17.000000000000064,-67.0,166.0,,-1.1043213075200045,,,-0.2465734034107957
1.0,124.0,3.100269079,9.0,1.0,330.0,57.0,149.0,55.0,-2.0,0.001341399892807349,-56.0,-179.0,,-0.958425063230184,,,-0.2843420159793877
125.0,108.0,2.400203943,10.0,1.0,100.0,82.0,193.0,100.0,18.0,6.49094445180673,43.0,-93.0,,-0.9375544441596356,,,-0.3231311555287601
57.0,55.0,2.10040617,11.0,1.0,149.0,54.0,27.0,57.0,3.0,2.999999999999979,3.0,122.0,,-0.3878084350951536,,,-0.36306958337494866
82.0,100.0,6.033483027999999,12.0,1.0,193.0,40.0,264.0,55.0,15.0,14.99429629163278,42.0,-71.0,,-0.06005226639325052,,,-0.40428591850157086
54.0,57.0,2.783899784,13.0,1.0,27.0,110.0,116.0,114.0,4.0,4.335234237923773,-56.0,-89.0,,-0.3879284038789834,,,-0.4469082993747503
40.0,55.0,1.3170490259999998,14.0,1.0,264.0,76.0,10.0,78.0,2.0,2.0,-36.0,-106.0,,0.0813326948216453,,,-0.4910639379963608
110.0,114.0,1.249716043,15.0,1.0,116.0,74.0,219.0,68.0,-6.0,-6.0,36.0,-103.0,,-0.19643898451563563,,,-0.5368785529945508
76.0,78.0,1.5160579680000001,16.0,1.0,10.0,52.0,345.0,50.0,-2.0,-3.664765337085899,24.0,25.0,,-0.05807817230417893,,,-0.5844756682478092
74.0,68.0,2.2662029269999997,17.0,1.0,219.0,84.0,83.0,101.0,17.0,16.999999999999893,-10.0,136.0,,-0.4426935569195637,,,-0.6339757634004386
52.0,50.0,2.650444031,18.0,1.0,345.0,28.0,209.0,26.0,-2.0,-1.992115841385313,24.0,136.0,,-0.44268065234700416,,,-0.6854952627104298
84.0,101.0,1.46657896,19.0,1.0,83.0,106.0,161.0,118.0,12.0,12.0,-22.0,-78.0,,-0.7337212087742876,,,-0.7391453490387193
28.0,26.0,3.798907995,20.0,1.0,209.0,2.0,208.0,18.0,16.0,16.00519912619277,26.0,1.0,,-1.3663933419355765,,,-0.7950305905112018
106.0,118.0,2.283694029,21.0,1.0,161.0,127.0,179.0,9.0,28.0,27.993954247417303,-21.0,-18.0,,-1.160773271616409,,,-0.8532473685358436
2.0,18.0,1.5996789930000002,22.0,1.0,208.0,50.0,281.0,54.0,4.0,3.999999999999979,-48.0,-73.0,,-1.5909825714400898,,,-0.9138820975151921
127.0,9.0,1.683839083,23.0,1.0,179.0,108.0,218.0,113.0,5.0,5.000000000000004,19.0,-39.0,,-1.405207158166917,,,-0.9770092288392968
50.0,54.0,1.5166649819999998,24.0,1.0,281.0,145.0,173.0,141.0,-4.0,-4.0,51.0,108.0,,-1.8222689802990912,,,-1.0426890346553488
