stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
81.0,86.0,2.699919939,1.0,1.0,177.0,113.0,46.0,108.0,-5.0,-4.996309198903113,-32.0,131.0,0.06486407930851956,-0.47758014673154875,0.2011350960720453,-0.9418249000941654,-4.666500108041648e-18
113.0,108.0,3.299952984,2.0,1.0,46.0,36.0,46.0,32.0,-4.0,-4.499329047082408,-69.0,0.0,1.6035737654712148,-0.9678634225017766,0.23822627407447364,-2.474017517709072,-0.001642394908160915
36.0,32.0,3.3998000619999997,3.0,1.0,46.0,59.0,79.0,62.0,3.0,3.0028521072272576,-23.0,-33.0,2.1483778462545513,-1.0375104009845095,0.22121188469939793,-2.082472751933233,-0.0033000190248849864
59.0,62.0,6.633285046,4.0,1.0,79.0,13.0,4.0,23.0,10.0,16.004695743896583,46.0,75.0,-1.9952795150001281,-1.12749289063785,0.05293464221226485,-1.3845339648592443,-0.004988276363311334
13.0,23.0,2.332854986,5.0,1.0,4.0,126.0,79.0,103.0,-23.0,-22.999999999999797,33.0,-75.0,1.2973195342093864,-0.6454578366353719,0.2064639612413154,-0.4982002990864003,-0.006722921833560262
126.0,103.0,2.5334191319999997,6.0,1.0,79.0,16.0,305.0,18.0,2.0,0.9999981992171763,-36.0,134.0,,-0.6872783158213859,,,-0.008520239875686914
16.0,18.0,4.4004309180000005,7.0,1.0,305.0,133.0,89.0,111.0,-22.0,1.5055324881613927,29.0,-144.0,,-0.5361165115509382,,,-0.010397226813720338
133.0,111.0,3.149770975,8.0,1.0,89.0,130.0,42.0,113.0,-17.0,-17.0,3.0,47.0,,-0.730011151352832,,,-0.012371777998137518
130.0,113.0,3.083413124,9.0,1.0,42.0,99.0,313.0,100.0,1.0,1.0,31.0,89.0,,-0.3597784993243987,,,-0.014462880644008629
99.0,100.0,2.116642952,10.0,1.0,313.0,100.0,356.0,95.0,-5.0,-5.0,-1.0,-43.0,,-0.7480526944098699,,,-0.01669081305708982
100.0,95.0,3.3500218389999996,11.0,1.0,356.0,6.0,277.0,18.0,12.0,12.0,-52.0,79.0,,0.18256788933759244,,,-0.019077350660415424
6.0,18.0,4.899451256,12.0,1.0,277.0,124.0,292.0,108.0,-16.0,0.006370187371448566,28.0,-15.0,,0.689753151993448,,,-0.021645978877571734
124.0,108.0,2.5999569890000003,13.0,1.0,292.0,88.0,340.0,97.0,9.0,9.0,36.0,-48.0,,0.8773186767339272,,,-0.024422112482069616
88.0,97.0,2.817516088,14.0,1.0,340.0,56.0,1.0,53.0,-3.0,5.0060369758612175,32.0,-21.0,,0.26272070334655373,,,-0.02743332046962923
56.0,53.0,3.9168748860000004,15.0,1.0,1.0,55.0,214.0,42.0,-13.0,-12.997314273796984,1.0,147.0,,0.3708018480267029,,,-0.03070955483490964
55.0,42.0,3.101749897,16.0,1.0,214.0,116.0,105.0,102.0,-14.0,-13.999999999999979,-61.0,109.0,,0.3708018480267029,,,-0.03428338081848608
