stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
62.0,66.0,4.5667998789999995,1.0,1.0,299.0,105.0,135.0,84.0,-21.0,-11.994131280613635,-43.0,164.0,3.1991036028769213,0.13168555962058473,0.1040269989416637,0.9986970742251455,-3.932493232985863e-17
65.0,67.0,4.5169000630000005,2.0,1.0,312.0,86.0,42.0,122.0,36.0,35.99999999999975,-21.0,-90.0,1.3639502874150577,-0.5531647642768996,-0.061139346019693716,1.532733860298599,-0.013832505452077691
105.0,84.0,2.566730976,3.0,1.0,135.0,58.0,227.0,39.0,-19.0,-18.995469454999082,47.0,-92.0,4.792276873889356,-0.44108675716427853,0.2692811897419113,3.495972654556207,-0.02774468779777151
86.0,122.0,2.98395896,4.0,1.0,42.0,45.0,250.0,43.0,-2.0,-2.001118433645724,41.0,152.0,4.5587763026792905,-0.8484444351672038,0.3426890631853257,2.575607209612517,-0.04181663024631887
58.0,39.0,1.166131973,5.0,1.0,227.0,36.0,332.0,45.0,9.0,8.995806211214882,22.0,-105.0,1.7299513215201336,-1.2795471603590416,-0.16800858658149112,2.904773113033462,-0.05612922515938804
45.0,43.0,2.3671741490000002,6.0,1.0,250.0,17.0,180.0,8.0,-9.0,-8.999999999999789,28.0,70.0,,-0.8163635877418395,,,-0.07076456977067624
36.0,45.0,8.151458979,7.0,1.0,332.0,100.0,212.0,115.0,15.0,15.0,-64.0,120.0,,-1.2263937512411582,,,-0.08580635083024206
17.0,8.0,2.617252111,8.0,1.0,180.0,78.0,84.0,93.0,15.0,15.0,-61.0,96.0,,-1.3138465692291132,,,-0.10134021373499456
100.0,115.0,2.700441122,9.0,1.0,212.0,31.0,31.0,20.0,-11.0,-11.0,69.0,-179.0,,-1.2819956259376057,,,-0.11745411106454126
78.0,93.0,1.150131941,10.0,1.0,84.0,59.0,97.0,44.0,-15.0,-7.994634906132066,19.0,-13.0,,-1.1003705348113082,,,-0.13423862463728367
31.0,20.0,7.3503351210000005,11.0,1.0,31.0,146.0,47.0,147.0,1.0,2.9994965810444287,31.0,-16.0,,-1.2089818371704104,,,-0.15178725423590958
146.0,147.0,3.383265018,13.0,1.0,47.0,141.0,355.0,147.0,6.0,6.00000000000012,5.0,52.0,,-1.278742311891506,,,-0.17019666502679134
55.0,113.0,3.317373037,14.0,1.0,109.0,43.0,180.0,45.0,2.0,1.9992210803473653,12.0,-71.0,,-1.7425201337138885,,,-0.18956688441960923
141.0,147.0,2.817061186,15.0,1.0,355.0,37.0,196.0,147.0,-36.0,-36.000000000000156,-42.0,159.0,,-2.2787714372928143,,,-0.21000143769114393
43.0,45.0,1.383744001,16.0,1.0,180.0,97.0,22.0,102.0,5.0,5.0,-54.0,158.0,,-1.8295057808543265,,,-0.23160741014530536
37.0,147.0,4.333076,17.0,1.0,196.0,109.0,332.0,97.0,-12.0,-12.0,-72.0,-136.0,,-2.0239874416648473,,,-0.2544954219216695
