stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
123.0,110.0,2.8504979610000003,1.0,1.0,265.0,44.0,49.0,38.0,-6.0,-6.000000000000063,-67.0,-144.0,0.9131168124924779,1.3298259157199173,0.027718765600452965,-0.864333253401302,-2.85078168056406e-18
133.0,111.0,4.583461046,2.0,1.0,35.0,146.0,254.0,147.0,1.0,1.0,-13.0,141.0,1.012904019143721,1.650612279051781,0.22029533725836184,-1.7600705912412844,-0.0010038584220892009
117.0,101.0,2.283322096,3.0,1.0,48.0,30.0,234.0,19.0,-11.0,-11.000838262602311,-59.0,174.0,-0.6348103000288667,1.684975154429392,0.2072076825172246,-4.531130806566265,-0.002020121556313693
44.0,38.0,2.099830866,4.0,1.0,49.0,135.0,146.0,137.0,2.0,1.9986601755738669,55.0,-97.0,1.9909285702243524,1.684975154429392,0.3101612426894663,-5.0333969641206435,-0.0030614029677171516
146.0,147.0,4.017532349,5.0,1.0,254.0,23.0,264.0,25.0,2.0,2.000000000000188,-23.0,-10.0,1.6983883350895033,1.9258028106861218,0.1476217758513508,-1.0613968425929727,-0.004140737357101148
30.0,19.0,3.949364901,6.0,1.0,234.0,142.0,147.0,140.0,-2.0,-2.0018446504672753,34.0,87.0,,2.2253860227317737,,,-0.005271799719473954
135.0,137.0,3.683828831,7.0,1.0,146.0,110.0,52.0,124.0,14.0,14.0,25.0,94.0,,2.330009315252392,,,-0.006469134852485587
23.0,25.0,3.084054947,8.0,1.0,264.0,138.0,242.0,142.0,4.0,3.999999999999905,31.0,22.0,,2.5941602586486185,,,-0.007748400725424138
142.0,140.0,4.283463955,9.0,1.0,147.0,88.0,258.0,94.0,6.0,6.0,54.0,-111.0,,2.3907027019719727,,,-0.009126629254313028
110.0,124.0,2.8337240219999997,10.0,1.0,52.0,79.0,187.0,100.0,21.0,21.000000000000064,31.0,-135.0,,2.46830559637956,,,-0.010622508050154614
138.0,142.0,2.53335309,11.0,1.0,242.0,81.0,332.0,82.0,1.0,5.996313323471804,57.0,-90.0,,2.46830559637956,,,-0.012256686699071786
88.0,94.0,5.849199772,12.0,1.0,258.0,118.0,264.0,85.0,-33.0,-33.0,-30.0,-6.0,,2.770100576280935,,,-0.014052111073882129
79.0,100.0,2.733940125,13.0,1.0,187.0,35.0,38.0,33.0,-2.0,-2.0,44.0,149.0,,3.015840737388435,,,-0.01603438903981376
81.0,82.0,5.067022799999999,14.0,1.0,332.0,41.0,3.0,46.0,5.0,1.9959747865237345,40.0,-31.0,,3.0927638143115184,,,-0.01823219066953945
