stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
104.0,55.0,4.30011797,1.0,1.0,284.0,56.0,158.0,46.0,-10.0,-10.0,48.0,126.0,1.7011697331340054,1.4708221375687636,0.15801585374510005,0.7458315724253994,-1.1460631997174744e-21
103.0,105.0,5.049957991,2.0,1.0,340.0,131.0,68.0,6.0,21.0,13.999833450333242,-28.0,-88.0,2.9538534200516677,1.5521240445435347,0.10003141635069408,-0.6715655761551174,-4.0520171192262075e-07
56.0,46.0,4.400868654,3.0,1.0,158.0,18.0,263.0,18.0,0.0,-0.0023500384291891057,38.0,-105.0,1.7143292495137166,1.5945635252643187,0.07325393559693923,-0.039810014498145224,-8.253452350954143e-07
131.0,6.0,2.850490808,4.0,1.0,68.0,141.0,55.0,134.0,-7.0,-6.997651480663182,-10.0,13.0,2.3523579943279804,1.5945635252643187,0.226428344199239,-1.5006445060886835,-1.276243051144343e-06
18.0,18.0,3.4168827530000003,5.0,1.0,263.0,92.0,46.0,106.0,14.0,6.501175806960593,72.0,-143.0,2.9172997684117408,1.4944628498062509,0.21354405336114998,-1.6154125228706073,-1.7755156957255244e-06
141.0,134.0,8.616770983,6.0,1.0,55.0,112.0,146.0,108.0,-4.0,-3.99865798116386,29.0,-91.0,1.9691229240741501,1.4365576029325915,0.13858254959134303,0.25832546787315797,-2.343668661642529e-06
92.0,106.0,3.700862885,7.0,1.0,46.0,144.0,63.0,2.0,4.0,4.000000450140281,-52.0,-17.0,3.228543328647663,1.2442499416420223,0.09401258896029603,-2.2052092680091713,-3.005394431788968e-06
112.0,108.0,3.9008288380000002,8.0,1.0,146.0,14.0,112.0,16.0,2.0,2.0,-48.0,34.0,3.420210057841087,1.3143953336754222,0.2850534671130336,-0.9192260630253906,-3.7912060697529904e-06
144.0,2.0,4.9332871439999995,9.0,1.0,63.0,102.0,25.0,99.0,-3.0,-3.0,42.0,38.0,3.8645413385323195,1.0571650123858665,0.36432345902811253,-0.1867709869681509,-4.739539749523696e-06
14.0,16.0,5.649729967000001,10.0,1.0,112.0,82.0,275.0,90.0,8.0,8.0,-68.0,-163.0,1.5712855833149815,0.9722129230607541,0.0003194470273024134,-0.7601778569873435,-5.8995078617775776e-06
102.0,99.0,4.533187151,11.0,1.0,25.0,39.0,220.0,42.0,3.0,0.9999985370428148,63.0,165.0,2.6390461172329176,0.959657533800647,0.14048802694526613,-1.8139500779635045,-7.334546432428899e-06
82.0,90.0,5.23391223,12.0,1.0,275.0,26.0,214.0,25.0,-1.0,-1.0015097505715063,56.0,61.0,-0.7316835062774778,0.7087655630673606,0.06771890632138099,0.9178203287416187,-9.127286911351378e-06
39.0,42.0,3.3175179960000003,13.0,1.0,220.0,7.0,187.0,11.0,4.0,1.6666669292486742,32.0,33.0,4.4130329502507095,0.8570323120697765,0.217468005400478,2.099665831347074,-1.1386101809957872e-05
26.0,25.0,4.083718061,14.0,1.0,214.0,94.0,261.0,92.0,-2.0,-2.000000000000095,-68.0,-47.0,2.819127262813971,1.1634006319804033,0.1814464082484537,1.6612675364806317,-1.4253938442583048e-05
7.0,11.0,1.5002470019999998,15.0,1.0,187.0,133.0,138.0,144.0,11.0,10.999999043451195,20.0,49.0,1.239710174048853,0.9858834488620479,0.040973400117252756,-1.2145521078383092,-1.792028200031202e-05
94.0,92.0,6.050153255,16.0,1.0,261.0,49.0,237.0,45.0,-4.0,-4.0,45.0,24.0,0.8001859851229624,0.7068634978455909,0.05470921642068854,1.1348545800242087,-2.263740139223884e-05
133.0,144.0,6.700216055,17.0,1.0,138.0,60.0,195.0,59.0,-1.0,-1.0,-73.0,-57.0,3.2114394631525136,0.4680369087534497,0.23228291437461357,-0.2270746767272691,-2.8742460082426272e-05
49.0,45.0,2.167600155,18.0,1.0,237.0,146.0,180.0,3.0,3.0,-2.9999988746482007,49.0,57.0,5.1385339297258765,0.4680369087534497,0.23626284676713308,0.151564964029187,-3.6687661977785863e-05
60.0,59.0,3.233270168,19.0,1.0,195.0,121.0,238.0,2.0,27.0,27.000000000000114,-61.0,-43.0,2.683716512414716,0.7373063852061594,0.07749235500338274,-1.754208094557588,-4.708140638246759e-05
146.0,3.0,2.150221825,20.0,1.0,180.0,77.0,79.0,100.0,23.0,23.0,69.0,101.0,3.246829670649424,0.9057669342419885,0.09581628659895268,-1.4458114131605717,-6.074452236293397e-05
121.0,2.0,3.533443928,21.0,1.0,238.0,127.0,112.0,131.0,4.0,4.006037199232909,-6.0,126.0,0.9958242848182249,1.2121842871595525,0.09795106834144415,0.39729256075341074,-7.878714243386809e-05
77.0,100.0,6.41688776,22.0,1.0,79.0,43.0,219.0,39.0,-4.0,-4.0034661090713906,34.0,-140.0,4.47072525336184,1.0303905394414157,0.22240545743192403,0.4456992369763431,-0.00010271379030366948
127.0,131.0,3.783024073,23.0,1.0,112.0,139.0,111.0,137.0,-2.0,-2.0,-12.0,1.0,2.9102936737788148,0.9383576368174492,0.14145821276652074,-3.0787886048280484,-0.0001345669680590401
43.0,39.0,3.116832972,24.0,1.0,219.0,19.0,171.0,146.0,-19.0,-19.000000000000096,24.0,48.0,1.7222702246509907,0.8532920751215181,0.11069485834481718,-1.2358083348032627,-0.0001771231514196013
139.0,137.0,4.8663339610000005,25.0,1.0,111.0,109.0,1.0,102.0,-7.0,2.333891587386706,30.0,110.0,1.965683590435459,0.8992905170548715,0.09552779568756607,-2.61052951311163,-0.0002341599076781017
19.0,146.0,2.515944958,26.0,1.0,171.0,128.0,288.0,110.0,-18.0,-0.0033627272978407063,37.0,-117.0,-1.0961899595390148,1.1949368101133282,-0.08274297515299787,-1.76789233212086,-0.00031081916773315743
109.0,102.0,1.9833810330000001,27.0,1.0,1.0,106.0,133.0,96.0,-10.0,-10.0,3.0,-132.0,0.13983960292051492,1.185432025264147,0.02824570806340122,-0.6155687514998216,-0.0004140998964589469
