stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
15.0,3.0,1.999937773,1.0,1.0,9.0,2.0,163.0,146.0,-2.0,7.502514901058857,13.0,-154.0,3.5837345429497365,-2.7861529430241156,0.22365652965843486,-1.520848682887397,-2.521897493391322e-22
2.0,146.0,3.53406477,2.0,1.0,163.0,138.0,306.0,138.0,0.0,2.8373354253844608e-86,10.0,-143.0,5.38160291238244,-3.827427445597943,0.3278442025157583,-2.0910910415834802,-8.92517546767394e-08
138.0,138.0,2.800162792,3.0,1.0,306.0,105.0,98.0,123.0,18.0,18.0,33.0,-152.0,2.281145867863954,-3.9671519801364314,0.12728003493400902,-1.808029888374566,-1.823308836883914e-07
105.0,123.0,2.300807238,4.0,1.0,98.0,64.0,115.0,43.0,-21.0,-20.99999999999991,41.0,-17.0,3.8004159428089235,-3.202918379775275,0.16290091366110498,-1.0723887096723177,-2.8332648604641264e-07
64.0,43.0,2.199856997,5.0,1.0,115.0,98.0,118.0,102.0,4.0,3.996643686448647,-34.0,-3.0,1.2884977532503183,-2.940321420222109,0.12531229405869307,-0.2038376837494284,-3.96874918710756e-07
98.0,102.0,1.2999348640000001,6.0,1.0,118.0,23.0,137.0,29.0,6.0,2.332439041478628,-71.0,-19.0,4.144384665511935,-2.8164635029615552,0.24698663065726556,-1.3783125277456287,-5.284955692064805e-07
23.0,29.0,2.067513227,7.0,1.0,137.0,112.0,219.0,122.0,10.0,10.0,57.0,-82.0,5.41076570916261,-2.8164635029615552,0.4229141297845095,-0.5615649990845402,-6.85008870894818e-07
112.0,122.0,2.066941023,8.0,1.0,219.0,111.0,169.0,108.0,-3.0,-3.0,1.0,50.0,3.312312005470203,-2.719488881861684,0.25306164443438983,-1.2752163847090026,-8.750777880196361e-07
111.0,108.0,2.8173768519999998,9.0,1.0,169.0,69.0,299.0,42.0,-27.0,-27.0,42.0,-130.0,5.379553326244675,-2.5171585096456695,0.4890910686108724,-1.4553180114749382,-1.109928040943623e-06
69.0,42.0,2.2168159480000003,10.0,1.0,299.0,73.0,49.0,67.0,-6.0,-4.33277435403449,-4.0,-110.0,3.368328300882959,-2.3391028465851527,0.3276610159327485,-1.0670014983813032,-1.4043229986812845e-06
73.0,67.0,3.4667439460000002,11.0,1.0,49.0,56.0,209.0,63.0,7.0,4.9989939498916485,17.0,-160.0,3.1281016316960284,-2.6575354039111048,0.26008886377410234,-1.886110025543134,-1.7778990989741214e-06
56.0,63.0,2.9343049530000003,12.0,1.0,209.0,46.0,11.0,55.0,9.0,-0.5025142244900973,10.0,-162.0,4.668012592260818,-2.305854229436761,0.303156611768729,-1.1676686787156123,-2.2570107594860647e-06
46.0,55.0,2.750525951,13.0,1.0,11.0,75.0,3.0,74.0,-1.0,-0.9999999999999789,-29.0,8.0,3.076011733045527,-1.7559398572108296,0.14477275077419957,-1.0681238736789955,-2.877295669743442e-06
75.0,74.0,2.400035143,14.0,1.0,3.0,10.0,344.0,22.0,12.0,12.000559141807665,65.0,19.0,4.436979011681583,-1.6574385557145526,0.2743009743222986,-3.3862448706626176,-3.6872602774850916e-06
10.0,22.0,2.0654718880000003,15.0,1.0,344.0,90.0,19.0,105.0,15.0,15.0,66.0,-35.0,2.8705338913806937,-1.5421772258545026,0.11921577384968361,-1.4945200187508987,-4.753313001309964e-06
90.0,105.0,1.9164710040000001,16.0,1.0,19.0,141.0,7.0,3.0,8.0,8.0,-51.0,12.0,4.352885588550959,-1.2727619718718486,0.25559033046876395,-3.468110604695102,-6.166856200504768e-06
141.0,3.0,1.1002581120000001,17.0,1.0,7.0,128.0,94.0,124.0,-4.0,-4.0001671123422815,13.0,-87.0,4.028883733088245,-1.5284388060106795,0.32855872772511,-3.499601068872957,-8.054311619707134e-06
128.0,124.0,2.766664028,18.0,1.0,94.0,45.0,281.0,54.0,9.0,8.99479757487546,-63.0,173.0,2.960749646440859,-1.6750338905116944,0.24655881037275584,-0.6345111264597663,-1.0591332875333774e-05
45.0,54.0,1.8839619159999998,19.0,1.0,281.0,44.0,190.0,50.0,6.0,-0.005696502496599365,1.0,91.0,1.0380165134482013,-1.3178982671119426,0.1362371534848012,-0.2531982469190657,-1.402300251168755e-05
44.0,50.0,2.434102774,20.0,1.0,190.0,53.0,254.0,53.0,0.0,-1.3336686959048685,-9.0,-64.0,2.2567632991948643,-0.8980054001120785,0.19601576490912612,-0.91771022240709,-1.8692591262637317e-05
53.0,53.0,2.5499320030000003,21.0,1.0,254.0,96.0,288.0,113.0,17.0,8.000000449435918,-43.0,-34.0,3.4109830612208176,-1.3295852092669567,0.35190332401158386,-0.6635548230338336,-2.508257390909149e-05
96.0,113.0,2.3501918319999997,22.0,1.0,288.0,8.0,221.0,127.0,-27.0,-26.998990911442437,-58.0,67.0,3.7499435379074084,-1.2709460388852136,0.12707374452982645,-3.1822613085041245,-3.387319080938055e-05
8.0,127.0,5.134060143999999,23.0,1.0,221.0,19.0,235.0,13.0,-6.0,-5.998433589135741,-11.0,-14.0,3.7228153589165127,-1.2514304716671338,0.37478584732321885,-1.1013151155969363,-4.602611390715485e-05
19.0,13.0,1.083105803,24.0,1.0,235.0,9.0,150.0,11.0,2.0,2.000000000000059,10.0,85.0,4.137169772657556,-0.5356914089370903,0.39813682213323626,-1.7219598887164393,-6.290399324408151e-05
9.0,11.0,3.5171079639999996,25.0,1.0,150.0,39.0,91.0,41.0,2.0,1.9976514248864474,-30.0,59.0,3.4288274926258384,-0.7387218261106934,0.19143491179804006,-2.462315071876346,-8.644119715687575e-05
