stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
56,46,3.283439875,3,1,158,103.0,340.0,105.0,2.0,2.001509862908629,-47.0,178.0,0.32514886872736265,0.7776385177480536,-0.010816830861020565,-0.4991957571000031,6.295974054502467e-05
131,6,4.350790024,4,1,68,56.0,158.0,46.0,-10.0,-10.000223754270323,-71.0,-90.0,-1.7736742563242567,0.6288907519052803,-0.24117787302527394,-0.30183407024330483,9.59675339641681e-05
18,18,4.30011797,5,1,263,131.0,68.0,6.0,21.0,20.999999999999904,33.0,-165.0,-1.3081225720181566,0.2579230099697966,-0.108238972280986,-1.6585335912115975,0.0001308585079165641
141,134,5.049957991,6,1,55,18.0,263.0,18.0,0.0,-2.689642169842985e-31,-23.0,152.0,-1.618030679827591,0.9659700280579537,-0.08822399489707854,-0.11631368850391272,0.00016834504563210877
92,106,4.400868654,7,1,46,141.0,55.0,134.0,-7.0,-7.0,-49.0,-9.0,-0.6705783524182727,0.5980216576683964,0.01715154310849459,1.43966684985826,0.0002092159005264163
112,108,2.850490808,8,1,146,92.0,46.0,106.0,14.0,13.99999999999998,20.0,100.0,,0.31111722319679624,,,0.00025436020921723866
144,2,3.4168827530000003,9,1,63,112.0,146.0,108.0,-4.0,-3.994297588033244,32.0,-83.0,,-0.009939839750268183,,,0.0003047950402538158
14,16,8.616770983,10,1,112,144.0,63.0,2.0,4.0,3.0010065003056283,16.0,49.0,,0.4715641481253034,,,0.0003616974499290292
102,99,3.700862885,11,1,25,14.0,112.0,16.0,2.0,-0.5000000000000444,-58.0,-87.0,,0.5092873573302498,,,0.0004264421717374122
82,90,3.9008288380000002,12,1,275,102.0,25.0,99.0,-3.0,1.5008378968159608,-20.0,-110.0,,0.49051542108761914,,,0.0005006462560139235
39,42,4.9332871439999995,13,1,220,82.0,275.0,90.0,8.0,-2.670131487739628,-43.0,-55.0,,0.20749655316308907,,,0.0005862222047077576
26,25,5.649729967000001,14,1,214,39.0,220.0,42.0,3.0,3.000000825333141,-13.0,-6.0,,0.5754622114207624,,,0.000685441416837745
7,11,4.533187151,15,1,187,26.0,214.0,25.0,-1.0,-1.000000000000019,-19.0,-27.0,,0.9150425542323716,,,0.0008010100763837755
94,92,5.23391223,16,1,261,7.0,187.0,11.0,4.0,3.999999549834239,-59.0,74.0,,0.7124895471164822,,,0.0009361599788627495
133,144,3.3175179960000003,17,1,138,94.0,261.0,92.0,-2.0,-3.4999991008390516,39.0,-123.0,,1.1171233973719328,,,0.001094757206829102
49,45,4.083718061,18,1,237,133.0,138.0,144.0,11.0,10.999999043451284,62.0,99.0,,1.048264217642632,,,0.0012814320268395324
60,59,1.5002470019999998,19,1,195,49.0,237.0,45.0,-4.0,-4.0,11.0,-42.0,,1.2795452137561563,,,0.0015017338861816544
146,3,6.050153255,20,1,180,60.0,195.0,59.0,-1.0,-1.0012302920792657,-60.0,-15.0,,0.9195635879307006,,,0.0017623159267367407
121,2,6.700216055,21,1,238,146.0,180.0,3.0,3.0,2.9999999999999876,-25.0,58.0,,1.4665357798053567,,,0.00207115398817764
77,100,2.167600155,22,1,79,121.0,238.0,2.0,27.0,27.0,-44.0,-159.0,,0.8363874619575953,,,0.0024378056157318578
127,131,3.233270168,23,1,112,77.0,79.0,100.0,23.0,22.999999999999897,50.0,33.0,,0.7859577464120256,,,0.0028737150782271906
43,39,2.150221825,24,1,219,127.0,112.0,131.0,4.0,6.503019782537782,62.0,107.0,,0.5491807511080992,,,0.00339257078244714
139,137,3.533443928,25,1,111,43.0,219.0,39.0,-4.0,-4.000000000000114,-50.0,-108.0,,0.6812989233860522,,,0.004010721661221712
19,146,6.41688776,26,1,171,139.0,111.0,137.0,-2.0,-2.0,26.0,60.0,,0.19466785349064206,,,0.004747659010806662
109,102,3.783024073,27,1,1,19.0,171.0,146.0,-19.0,-19.0,-56.0,-170.0,,0.17767707874941746,,,0.00562656972343925
