stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
2,141,0.0,3,1,286,51.0,139.0,51.0,0.0,-8.441218669546384e-14,-49.0,147.0,-3.2595802007855026,-0.9332284879659402,-0.13424612930500732,-1.9547835730565546,-1.0474734878230026e-05
137,2,1.6000077719999999,4,1,19,143.0,64.0,140.0,-3.0,8.00352111959283,-6.0,-45.0,0.022515826322287914,-0.28918462816014023,-0.06465913784044035,-2.7228505410534023,-1.5966305872454358e-05
57,47,4.649818897,5,1,140,2.0,286.0,141.0,-7.0,-6.997317124536646,55.0,-146.0,2.7394994834071906,0.3857493079904425,0.1082108675210092,-0.7292863518665571,-2.1771185286360025e-05
104,102,1.81682682,6,1,83,137.0,19.0,2.0,11.0,11.0,-33.0,64.0,0.17731437420448948,-0.053335571556368803,0.0301835888242436,-0.25470300798766926,-2.800789370787004e-05
109,103,6.183823824,7,1,112,57.0,140.0,47.0,-10.0,-10.0,52.0,-28.0,-4.705532320093813,0.27790617073552876,-0.3090040139302389,-3.121959959893496,-3.4807657581714945e-05
18,143,1.566293001,8,1,11,104.0,83.0,102.0,-2.0,-2.0,60.0,-72.0,,-0.21228990769584408,,,-4.231840430182744e-05
113,118,3.19995594,9,1,57,109.0,112.0,103.0,-6.0,-6.0,4.0,-55.0,,-2.016411616201989,,,-5.070934554719609e-05
19,118,4.382833719,10,1,57,18.0,11.0,143.0,-21.0,-15.49194951677987,1.0,46.0,,-3.4342018846546707,,,-6.0176310469879014e-05
64,72,2.416570187,11,1,258,113.0,57.0,118.0,5.0,4.995417295554553,-49.0,-159.0,,-3.3557705121056527,,,-7.094801616367067e-05
43,56,4.283818245,12,1,343,19.0,57.0,118.0,-47.0,-46.99815225491028,24.0,-74.0,,-2.873111879936536,,,-8.329349444790337e-05
34,57,3.116399765,13,1,287,64.0,258.0,72.0,8.0,7.999218454360693,-30.0,29.0,,-2.5762281789990733,,,-9.753093200343982e-05
130,135,4.016753197,14,1,127,43.0,343.0,56.0,13.0,12.999551366107692,-59.0,144.0,,-2.86745912807497,,,-0.00011403822591687953
105,107,2.883661985,15,1,122,34.0,287.0,57.0,23.0,10.000336194087431,71.0,-165.0,,-2.7763928864524807,,,-0.00013326560929712386
103,102,2.2830760480000003,16,1,255,130.0,127.0,135.0,5.0,-4.333555574614175,-27.0,128.0,,-3.022099214924402,,,-0.00015575076227003273
