stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
136,147,5.550719022999999,2,1,204,39.0,350.0,63.0,24.0,23.999999999999797,-49.0,-146.0,-3.881279921000025,3.959304209290531,-0.3542016989055476,1.1256940692817192,0.00021903556755262755
70,68,3.315124273,3,1,299,136.0,204.0,147.0,11.0,10.999999999999956,-66.0,95.0,-2.61742592868323,4.458622826369616,-0.3380936668573084,1.1947331997160486,0.00033386896271334326
89,110,1.833121777,4,1,304,70.0,299.0,68.0,-2.0,-2.000223566720099,19.0,5.0,-1.9677273902342098,3.783872966603832,-0.18585814597119232,4.7834440909939815,0.0004552539019772517
13,20,2.28312397,5,1,194,89.0,304.0,110.0,21.0,6.990442834715655,70.0,-110.0,1.1825618645341311,3.4196741627776683,-0.12494323870802936,4.092797334561654,0.0005856687511019784
16,13,4.716586113,6,1,201,13.0,194.0,20.0,7.0,7.000000000000017,3.0,7.0,0.5461297660374667,2.626045841621498,-0.0904984012340053,2.1465925307209957,0.0007278575660596925
140,6,3.150047064,7,1,121,16.0,201.0,13.0,-3.0,-1.666778687588393,-22.0,-80.0,,2.3436938730026435,,,0.0008849136337987842
76,124,1.73431015,8,1,85,140.0,121.0,6.0,12.0,11.99949601940627,-64.0,-36.0,,2.0496761324275035,,,0.0010603753136739006
48,59,5.533112764,10,1,83,108.0,349.0,143.0,35.0,34.99999999999987,-60.0,94.0,,2.015777827342758,,,0.0012583375589189983
31,34,5.766885757000001,11,1,288,48.0,83.0,59.0,11.0,11.000667436818066,-17.0,-155.0,,1.7473275526458123,,,0.0014835830374517601
68,74,1.966599226,12,1,181,31.0,288.0,34.0,3.0,3.0,37.0,-107.0,,2.145723228827303,,,0.001741737432205672
85,109,5.067037344,13,1,214,68.0,181.0,74.0,6.0,6.0,17.0,33.0,,2.2070892289397204,,,0.002039454295852069
55,62,8.533227921,14,1,207,85.0,214.0,109.0,24.0,1.985134243393297,-30.0,-7.0,,2.8140611921681407,,,0.0023846357761590996
28,24,3.3001930710000003,15,1,288,55.0,207.0,62.0,7.0,6.997313711574654,-27.0,81.0,,2.728221683551308,,,0.0027866966283149205
90,76,4.967076778,16,1,344,28.0,288.0,24.0,-4.0,-4.0,62.0,56.0,,3.399828053499894,,,0.0032568801986093245
8,13,3.1841819289999997,17,1,58,90.0,344.0,76.0,-14.0,-14.004699682862416,64.0,74.0,,2.992790405326076,,,0.003808636504135649
109,90,2.533756018,18,1,266,8.0,58.0,13.0,5.0,5.0,-45.0,-152.0,,2.8781629649861116,,,0.004458074141504924
121,120,3.433037758,19,1,93,109.0,266.0,90.0,-19.0,-19.003354737304097,12.0,-173.0,,3.2532988688444555,,,0.005224499517092615
45,63,2.8499200339999997,20,1,133,121.0,93.0,120.0,-1.0,-1.0,70.0,40.0,,3.27650810715639,,,0.006131058766752695
69,60,3.933349848,21,1,171,45.0,133.0,63.0,18.0,18.0,24.0,38.0,,3.5307618008948367,,,0.007205499663178391
144,2,2.8667850489999998,22,1,60,69.0,171.0,60.0,-9.0,-9.000000000000009,-71.0,-111.0,,3.2420672562908366,,,0.008481072698274767
101,123,4.149912119,23,1,343,144.0,60.0,2.0,4.0,3.9998315930218324,-43.0,-77.0,,2.8582611038525254,,,0.009997592234303286
23,132,2.9498090739999996,24,1,156,101.0,343.0,123.0,22.0,9.000673680186493,68.0,173.0,,2.2308759026231937,,,0.011802679940648115
