stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
116,140,3.083887815,2,1,318,56.0,56.0,47.0,-9.0,-9.0,60.0,-98.0,-3.3015122239095454,1.3295548722984625,-0.35247092766913934,-0.8196712301992176,0.005958502387164874
87,105,7.466619968,3,1,202,116.0,318.0,140.0,24.0,24.00335578863897,-29.0,-116.0,-0.5929214160986133,1.0779601324578534,-0.1685615198081486,1.7923358389909616,0.009003175239960477
91,112,2.867080927,4,1,339,87.0,202.0,105.0,18.0,-9.51072861224388,4.0,137.0,-4.276810821492837,1.271767058082043,-0.34402318294636813,-2.713597263230981,0.012127149408445639
42,43,0.7833259109999999,5,1,194,91.0,339.0,112.0,21.0,2.6594019998111875,-49.0,-145.0,3.132229208095008,1.3555271964758084,0.10466640797706649,2.0052420163875686,0.01535819009158152
101,107,2.566488266,6,1,283,42.0,194.0,43.0,1.0,1.0,59.0,89.0,1.4295776944468526,1.0697923962446692,-0.1666338244647363,3.9472561711535024,0.018725215320525665
10,17,1.700134754,7,1,338,101.0,283.0,107.0,6.0,4.497148651891021,55.0,55.0,,0.7727978937596639,,,0.022258598302337083
104,92,2.666566849,8,1,185,10.0,338.0,17.0,7.0,7.0,-52.0,-153.0,,0.8266321484207433,,,0.025990478581649563
9,16,1.682703733,9,1,174,104.0,185.0,92.0,-12.0,-12.000000000000009,51.0,-11.0,,1.1278780469882428,,,0.029955083139232154
14,14,2.7006609439999996,10,1,219,9.0,174.0,16.0,7.0,7.0,5.0,45.0,,1.091190494453963,,,0.034189058145126704
34,30,3.533488989,11,1,1,14.0,219.0,14.0,0.0,1.7302880899934292e-86,20.0,142.0,,1.1407460234163647,,,0.03873181157455732
131,146,2.950073957,12,1,186,34.0,1.0,30.0,-4.0,-4.0000000000000595,-49.0,-175.0,,1.1082951845490718,,,0.04362586625804661
106,106,1.616785765,13,1,236,131.0,186.0,146.0,15.0,15.000222028714449,-25.0,50.0,,1.3491292651387459,,,0.0489172221517561
55,55,1.333808899,14,1,58,106.0,236.0,106.0,0.0,-0.0007845466295666207,-51.0,-178.0,,0.27366405587824055,,,0.05465572565655611
92,102,2.433428288,15,1,112,55.0,58.0,55.0,0.0,-1.2905728622157585e-56,37.0,54.0,,0.27257457458320566,,,0.060895442659807245
25,3,1.683900833,16,1,45,92.0,112.0,102.0,10.0,9.985457812412653,-67.0,-67.0,,1.0466911414482676,,,0.0676950305967294
29,20,1.4673581119999999,17,1,76,25.0,45.0,3.0,-22.0,-0.0016797887238517717,4.0,31.0,,0.41531041091423104,,,0.07511810320342187
2,141,2.150301933,18,1,197,29.0,76.0,20.0,-9.0,-9.0,-27.0,121.0,,0.11443378160404374,,,0.0832335797379777
105,116,2.700128078,19,1,271,2.0,197.0,141.0,-7.0,-7.0,-43.0,74.0,,-0.6359369629010773,,,0.09211600826057638
124,9,2.266756296,20,1,114,105.0,271.0,116.0,11.0,10.99999999999997,19.0,-157.0,,-0.5100280967351887,,,0.10184585007532176
48,62,2.116964817,21,1,339,124.0,114.0,9.0,31.0,31.000000000000107,70.0,-135.0,,-0.3456661018106116,,,0.11250970964290047
