stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
133,111,3.300072908,2,1,35,123.0,265.0,110.0,-13.0,-13.0,10.0,130.0,2.1715580830496926,0.22618366788232608,0.18049094894859594,-0.8452013397408242,-0.0022763005440968563
117,101,2.317329884,3,1,48,133.0,35.0,111.0,-22.0,-21.999999999999783,-16.0,13.0,2.1369913927411273,-0.09700727843086315,0.34777075378511013,-1.3545194586082385,-0.0034452157115233205
44,38,1.6167862419999999,4,1,49,117.0,48.0,101.0,-16.0,-16.0,-73.0,1.0,1.0906001055927517,-0.03956310720458692,-0.07471149046670611,0.8498207757661054,-0.004651544479977986
146,147,1.8503930569999998,5,1,254,44.0,49.0,38.0,-6.0,0.005366050416177437,-44.0,-155.0,0.033833084807515575,-0.12722083760395014,0.10017222543115997,-2.3407151049312476,-0.005908591166160542
30,19,2.566482067,6,1,234,146.0,254.0,147.0,1.0,1.0000000000000506,30.0,-20.0,1.9112237055491408,-0.10361490237003795,0.09988992322004595,0.019544422822124388,-0.007230387984206504
135,137,2.650411844,7,1,146,30.0,234.0,19.0,-11.0,-11.000000000000057,-41.0,-88.0,,0.37476952938156105,,,-0.008631894231163615
23,25,2.8504979610000003,8,1,264,135.0,146.0,137.0,2.0,-0.004360337478793053,34.0,118.0,,-0.3395161849041544,,,-0.010129206874322448
142,140,4.583461046,9,1,147,23.0,264.0,25.0,2.0,2.0000000000000298,-27.0,-117.0,,-0.3883147028826249,,,-0.011739784718793963
110,124,2.283322096,10,1,52,142.0,147.0,140.0,-2.0,-1.9999999999999494,-32.0,-95.0,,-0.7861084350695716,,,-0.01348268823910666
138,142,2.099830866,11,1,242,110.0,52.0,124.0,14.0,14.0,28.0,-170.0,,-0.44671489891953275,,,-0.01537883701406286
88,94,4.017532349,12,1,258,138.0,242.0,142.0,4.0,3.9996642373286786,-50.0,16.0,,-0.4289496035198351,,,-0.017451286492208822
79,100,3.949364901,13,1,187,88.0,258.0,94.0,6.0,6.0,-9.0,-71.0,,-1.0549305054020108,,,-0.01972552551503084
81,82,3.683828831,14,1,332,79.0,187.0,100.0,21.0,20.99446351779056,2.0,145.0,,-1.0549305054020108,,,-0.022229795611528425
118,85,3.084054947,15,1,264,81.0,332.0,82.0,1.0,5.994408917650997,37.0,-68.0,,0.2853361107658837,,,-0.024995432522199587
35,33,4.283463955,16,1,38,118.0,264.0,85.0,-33.0,-33.0,63.0,134.0,,0.15761733777729653,,,-0.02805722967961265
41,46,2.8337240219999997,17,1,3,35.0,38.0,33.0,-2.0,-2.0,6.0,-35.0,,-0.2244105473567949,,,-0.03145382242947983
31,50,2.53335309,18,1,177,41.0,3.0,46.0,5.0,4.999999999999956,-10.0,174.0,,0.44614021634695405,,,-0.035228090579706536
53,56,5.849199772,19,1,236,31.0,177.0,50.0,19.0,18.998488955472236,22.0,59.0,,0.2708104108641616,,,-0.03942757537161621
94,103,2.733940125,20,1,87,53.0,236.0,56.0,3.0,3.999999962639339,41.0,-149.0,,0.12243547397612381,,,-0.04410490513226619
85,93,5.067022799999999,21,1,220,94.0,87.0,103.0,9.0,1.3294201781477675,-9.0,133.0,,0.12243547397612381,,,-0.04931822164473308
95,109,3.083181143,22,1,280,85.0,220.0,93.0,8.0,8.0,10.0,60.0,,0.1720486548151449,,,-0.05513159662294253
122,115,2.1180682180000003,23,1,317,95.0,280.0,109.0,14.0,13.997426807135426,27.0,37.0,,0.33296178911014745,,,-0.061615424564494856
5,142,1.5328590869999998,24,1,253,122.0,317.0,115.0,-7.0,-7.0,29.0,-64.0,,0.1925519936871964,,,-0.06884677465628361
139,140,1.350528955,25,1,309,5.0,253.0,142.0,-9.0,-9.0,-12.0,56.0,,0.8554639872562461,,,-0.07690968031868517
7,12,4.683954,26,1,235,139.0,309.0,140.0,1.0,-0.0008944168265971886,14.0,-74.0,,-0.009545957798042463,,,-0.08589534041514567
101,114,5.932993889,27,1,154,7.0,235.0,12.0,5.0,5.0,-52.0,-81.0,,0.16320034029515196,,,-0.09590220117940829
127,115,2.450572729,28,1,28,101.0,154.0,114.0,13.0,-1.3346735706901818,26.0,-126.0,,0.3237873692825752,,,-0.10703588262028847
91,107,1.366731167,29,1,357,127.0,28.0,115.0,-12.0,-12.0,-36.0,-31.0,,0.7938173256720414,,,-0.11940890770585989
6,25,4.233540058,30,1,45,91.0,357.0,107.0,16.0,16.0,61.0,48.0,,-0.410339873710979,,,-0.13314018722215726
144,138,6.133494139,31,1,283,6.0,45.0,25.0,19.0,19.0,-8.0,-122.0,,-0.5411631341400575,,,-0.14835420813835556
60,46,2.249898911,32,1,226,144.0,283.0,138.0,-6.0,-1.9978757036097452,62.0,-57.0,,-0.2938744198761821,,,-0.16517986896733372
126,116,1.4833688740000002,33,1,68,60.0,226.0,46.0,-14.0,-14.0,66.0,-158.0,,-0.1671019058863602,,,-0.18374890245411152
112,99,1.183697224,34,1,108,126.0,68.0,116.0,-10.0,-10.0,-14.0,40.0,,-0.46496710242526834,,,-0.20419382451276838
132,126,1.2003531459999999,35,1,83,112.0,108.0,99.0,-13.0,-13.001899754088672,20.0,-25.0,,-0.19669752856542988,,,-0.22664534930916705
19,5,2.351204872,36,1,232,132.0,83.0,126.0,-6.0,-5.993626154519546,33.0,149.0,,-0.5351906186691543,,,-0.25122921446838203
16,22,4.3670170310000005,37,1,0,19.0,232.0,5.0,-14.0,-8.001007775653523,-3.0,128.0,,-0.6226310482745127,,,-0.27806236833581405
102,100,2.5157339569999997,38,1,190,16.0,0.0,22.0,6.0,5.999999887313867,-60.0,-170.0,,-0.6525738515728932,,,-0.30724848381296005
36,22,1.350161791,39,1,99,102.0,190.0,100.0,-2.0,-2.0048087472663765,-66.0,-91.0,,-0.5458726630080246,,,-0.33887278125369596
141,146,1.883156061,40,1,198,36.0,99.0,22.0,-14.0,-14.0,-41.0,99.0,,-1.044686721643661,,,-0.3729961668661383
8,108,4.334069014,41,1,118,141.0,198.0,146.0,5.0,4.999999999999988,13.0,-80.0,,-0.7889302138686131,,,-0.409648723448763
11,135,2.233362913,43,1,299,70.0,100.0,65.0,-5.0,-5.0,-59.0,-161.0,,-0.9575846924600463,,,-0.4488226272419751
114,95,4.116593838,44,1,44,11.0,299.0,135.0,-22.0,-22.0,-43.0,105.0,,-0.3958641302268693,,,-0.4904646079544833
50,46,4.8173460960000005,45,1,45,114.0,44.0,95.0,-19.0,-19.001899754088672,-64.0,1.0,,-0.7276723221725444,,,-0.5344681178927512
17,21,1.351270914,46,1,311,50.0,45.0,46.0,-4.0,-3.376464765558751e-07,-33.0,-94.0,,-0.7170907202731542,,,-0.5806654292589788
32,31,2.800268888,47,1,136,17.0,311.0,21.0,4.0,3.999664087370042,15.0,-175.0,,-2.710352126211851,,,-0.628819934101621
56,40,3.349988699,48,1,310,32.0,136.0,31.0,-1.0,-5.504360253814208,24.0,174.0,,-2.4460038837828537,,,-0.6786189764068908
100,107,2.9334099289999997,49,1,69,56.0,310.0,40.0,-16.0,-18.496812402586706,44.0,119.0,,-2.121003883782854,,,-0.7296675970095501
131,112,1.382177114,50,1,204,100.0,69.0,107.0,7.0,6.995191252733852,31.0,135.0,,-2.195974540654693,,,-0.7814836153357378
73,74,5.050480843,51,1,40,131.0,204.0,112.0,-19.0,0.00016559312732411513,-58.0,-164.0,,-2.303339943605684,,,-0.8334945029278574
82,111,3.865867138,52,1,356,73.0,40.0,74.0,1.0,1.0,9.0,-44.0,,-1.5119247052969982,,,-0.8850365174201229
21,15,1.183722019,53,1,149,82.0,356.0,111.0,29.0,29.001677294822997,-61.0,153.0,,-1.3068372186925898,,,-0.9353565573381526
46,46,7.066870213,54,1,199,21.0,149.0,15.0,-6.0,-3.666220495980961,25.0,50.0,,-1.0113826723889388,,,-0.9836171634021271
103,119,2.66643405,55,1,72,46.0,199.0,46.0,0.0,0.00011167084804072994,57.0,-127.0,,-1.0113826723889388,,,-1.0289050273916673
62,53,1.050112963,56,1,129,103.0,72.0,119.0,16.0,15.993962125556164,-41.0,57.0,,-0.8452420285030293,,,-1.070243272888194
134,137,1.082387924,57,1,32,62.0,129.0,53.0,-9.0,-9.0,72.0,-97.0,,-0.858717451834288,,,-1.1066076429638245
98,117,2.09915185,58,1,20,134.0,32.0,137.0,3.0,2.999327612013926,-36.0,-12.0,,-0.2159433428360251,,,-1.1369465699838508
89,114,1.550441027,59,1,124,98.0,20.0,117.0,19.0,19.0,-9.0,104.0,,-0.12229792224949561,,,-1.1602049165294674
2,139,1.2330069540000002,60,1,105,89.0,124.0,114.0,25.0,25.0,59.0,-19.0,,-0.22622635112234954,,,-1.1753509711280723
47,39,5.450279951000001,61,1,355,2.0,105.0,139.0,-9.0,-0.9932925495144147,45.0,-110.0,,-0.22622635112234954,,,-1.1814060677447116
143,129,2.017350912,62,1,336,47.0,355.0,39.0,-8.0,-7.667113893840005,-50.0,-19.0,,-0.011900701245611727,,,-1.1774759859248924
55,54,3.233330965,63,1,42,143.0,336.0,129.0,-14.0,-13.99865743686634,58.0,66.0,,0.30669622876079167,,,-1.1627830929388487
128,130,2.050723791,64,1,324,55.0,42.0,54.0,-1.0,-1.0008375872499387,-73.0,-78.0,,-0.42051296820507456,,,-1.1366980250510796
113,125,2.350908995,65,1,345,128.0,324.0,130.0,2.0,2.0,-15.0,21.0,,-0.7765265919200505,,,-1.0987695868028746
54,54,1.8337159159999998,66,1,131,113.0,345.0,125.0,12.0,6.336912875957316,-59.0,146.0,,-0.5719811373745949,,,-1.0487514883067781
20,34,1.8998191359999999,67,1,243,54.0,131.0,54.0,0.0,0.00033411200428176387,-34.0,112.0,,-1.0704536013700505,,,-0.9866245517867804
77,127,1.949455023,68,1,252,20.0,243.0,34.0,14.0,14.002795333501709,57.0,9.0,,-0.8515342976552231,,,-0.9126131069499953
83,116,2.017021894,70,1,5,140.0,43.0,147.0,7.0,6.999664237328679,-57.0,-38.0,,-0.8177916560449034,,,-0.8271944624429425
38,37,2.250070095,71,1,107,83.0,5.0,116.0,33.0,33.000000000000064,-45.0,102.0,,-0.7480242141844383,,,-0.7311005843300923
68,68,2.067125082,72,1,321,38.0,107.0,37.0,-1.0,-1.0011737251264192,30.0,-146.0,,-0.82588980466513,,,-0.6253114231580981
12,11,2.566837311,73,1,241,68.0,321.0,68.0,0.0,0.0,-56.0,-80.0,,-0.49227272467565203,,,-0.5110396940908727
18,15,4.882836103,74,1,155,12.0,241.0,11.0,-1.0,-1.0,6.0,-86.0,,0.2674065595024413,,,-0.389707310331171
1,144,7.365879059,75,1,245,18.0,155.0,15.0,-3.0,-2.997987674989788,-17.0,90.0,,0.23668682261981502,,,-0.2629140754712439
80,77,1.283308029,76,1,170,1.0,245.0,144.0,-3.0,-2.9973140488778136,-67.0,-75.0,,0.12408327042628949,,,-0.13239963042717165
14,2,1.533331156,77,1,125,80.0,170.0,77.0,-3.0,-19.502343567713982,-66.0,-45.0,,0.39858648782569295,,,0.0
57,73,2.300857067,78,1,326,14.0,125.0,2.0,-12.0,-12.0,43.0,-159.0,,0.4357716732799574,,,0.13239963042717165
99,122,2.950387955,79,1,228,57.0,326.0,73.0,16.0,15.99916241275005,42.0,-98.0,,0.8531623117124227,,,0.2629140754712439
111,106,1.332715988,80,1,17,99.0,228.0,122.0,23.0,22.99999999999982,12.0,149.0,,0.8551212224219759,,,0.389707310331171
107,94,2.8501908780000003,81,1,61,111.0,17.0,106.0,-5.0,-5.000000000000072,-4.0,44.0,,1.487504174832974,,,0.5110396940908727
125,97,2.5669860840000003,82,1,267,107.0,61.0,94.0,-13.0,-3.335683021829416,18.0,-154.0,,1.3513209690710155,,,0.6253114231580981
147,142,2.501405954,83,1,203,125.0,267.0,97.0,-28.0,-28.0,22.0,-64.0,,1.6417940782174265,,,0.7311005843300923
67,69,8.783123016000001,84,1,221,147.0,203.0,142.0,-5.0,-5.0,66.0,18.0,,1.0061499811521792,,,0.8271944624429425
39,44,1.032864094,85,1,346,67.0,221.0,69.0,2.0,2.0,-28.0,125.0,,1.2136971509635,,,0.9126131069499953
101,113,1.749691963,1,2,7,39.0,346.0,44.0,5.0,1.5011747098089345,62.0,21.0,,0.8079545046651189,,,0.9866245517867804
74,66,1.284927368,2,2,77,101.0,7.0,113.0,12.0,-2.3346735706901818,-27.0,70.0,,0.7250994120605617,,,1.0487514883067781
