stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
137,146,4.599744081,2,1,50,90.0,84.0,107.0,17.0,17.0,47.0,-34.0,1.668303487599434,-1.4194445516667535,-0.22493767989944896,5.9096146515975345,-0.0015710742540098878
8,126,1.48361516,3,1,195,137.0,50.0,146.0,9.0,8.000223340828022,17.0,145.0,0.0009298979297475451,-0.9867126581991774,0.05474249694957457,1.1946055984935402,-0.0023738610652082642
73,74,2.731700897,4,1,90,8.0,195.0,126.0,-28.0,-28.0,65.0,-105.0,1.4845419190173104,-1.1625272516407932,0.01636251008228897,3.2293910330114,-0.003197557200141637
96,127,4.067014933,5,1,123,73.0,90.0,74.0,1.0,1.0017881209308208,23.0,33.0,-3.498256841219105,-0.568060784995723,-0.40586710818773686,2.414052631158419,-0.004049483489852937
133,138,4.416527748,6,1,61,96.0,123.0,127.0,31.0,31.0,37.0,-62.0,-2.241117621127282,-0.19718429314834332,-0.2047688845198222,4.573354357984463,-0.004937264731862788
68,89,2.050063848,7,1,242,133.0,61.0,138.0,5.0,5.0,-65.0,-179.0,,0.025382192826036144,,,-0.00586890940892768
58,87,13.23340225,8,1,266,68.0,242.0,89.0,21.0,21.0,-10.0,24.0,,-0.23954078175485105,,,-0.00685289173282581
1,124,6.367063999,9,1,330,58.0,266.0,87.0,29.0,24.666890470961075,-57.0,64.0,,0.5067019373500115,,,-0.007898236308195182
125,108,5.000292063,10,1,100,1.0,330.0,124.0,-23.0,-23.0,-22.0,130.0,,0.506820151086609,,,-0.009014605605656744
57,55,1.016514063,11,1,149,125.0,100.0,108.0,-17.0,-16.99949613090408,-68.0,49.0,,0.3857424067142444,,,-0.01021239029911718
82,100,3.866402149,12,1,193,57.0,149.0,55.0,-2.0,-2.0014535963095756,25.0,44.0,,0.3105042582340751,,,-0.011502802354251893
54,57,3.100269079,13,1,27,82.0,193.0,100.0,18.0,17.988591516107245,-28.0,-166.0,,0.38498858249585677,,,-0.012897970548078175
40,55,2.400203943,14,1,264,54.0,27.0,57.0,3.0,6.335122129655123,-14.0,-123.0,,0.15180302304272447,,,-0.014411037847062094
110,114,2.10040617,15,1,116,40.0,264.0,55.0,15.0,14.99429629163278,70.0,-148.0,,0.035872768342955955,,,-0.01605625976679014
76,78,6.033483027999999,16,1,10,110.0,116.0,114.0,4.0,4.001172543309292,-34.0,-106.0,,0.14670714695675538,,,-0.017849102473136275
74,68,2.783899784,17,1,219,76.0,10.0,78.0,2.0,-3.6666662536098915,-2.0,-151.0,,0.045491474883410626,,,-0.01980633895644153
52,50,1.3170490259999998,18,1,345,74.0,219.0,68.0,-6.0,-5.9942977361551515,-22.0,126.0,,-0.03121068299634312,,,-0.0219461411104067
84,101,1.249716043,19,1,83,52.0,345.0,50.0,-2.0,-3.6647652057698625,32.0,98.0,,-0.10907346209072623,,,-0.024288164971133508
