stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
113,108,3.417241812,2,1,46,81.0,177.0,86.0,5.0,4.999999999999853,32.0,-131.0,-1.3429149712154504,-2.8950219208733334,0.1250324555594705,-0.4041514792667826,0.011318357483616091
36,32,2.699919939,3,1,46,113.0,46.0,108.0,-5.0,-4.996868490661166,69.0,0.0,-3.0766023096723254,-2.8950219208733334,-0.15902643452124102,-1.4949681004981317,0.017101806667564255
59,62,3.299952984,4,1,79,36.0,46.0,32.0,-4.0,-3.999329074895276,23.0,33.0,-3.398914213571419,-2.9605846898261836,-0.1971947356517944,-3.142844350187458,0.023035891125541837
13,23,3.3998000619999997,5,1,4,59.0,79.0,62.0,3.0,3.0,-46.0,-75.0,-1.807812443465106,-2.7639074066491887,0.002382877691033686,-2.763247769782768,0.029173351701980325
126,103,6.633285046,6,1,79,13.0,4.0,23.0,10.0,9.999999999999886,-33.0,75.0,-4.752706461934135,-2.0096761156970855,-0.4242507846481653,1.2966390505591006,0.035569119081319586
16,18,2.332854986,7,1,305,126.0,79.0,103.0,-23.0,-22.997309435654845,36.0,-134.0,,-2.200012012965575,,,0.042280888099120686
133,111,2.5334191319999997,8,1,89,16.0,305.0,18.0,2.0,2.0,-29.0,144.0,,-2.400529702737113,,,0.04936970880317908
130,113,4.4004309180000005,9,1,42,133.0,89.0,111.0,-22.0,-21.99446076066413,-3.0,-47.0,,-2.8718051748877893,,,0.05690059639005886
99,100,3.149770975,10,1,313,130.0,42.0,113.0,-17.0,-16.999999999999634,-31.0,-89.0,,-2.6110205352514257,,,0.06494316138032179
100,95,3.083413124,11,1,356,99.0,313.0,100.0,1.0,0.9976512002504218,1.0,43.0,,-1.8040995541583933,,,0.07357226042792382
6,18,2.116642952,12,1,277,100.0,356.0,95.0,-5.0,-5.000000000000089,52.0,-79.0,,-2.0329216302697306,,,0.08286866694970657
124,108,3.3500218389999996,13,1,292,6.0,277.0,18.0,12.0,11.997651349328116,-28.0,15.0,,-1.944463776277328,,,0.09291975926898635
88,97,4.899451256,14,1,340,124.0,292.0,108.0,-16.0,-15.993616985588488,-36.0,48.0,,-2.3010693650205387,,,0.10382022214842059
56,53,2.5999569890000003,15,1,1,88.0,340.0,97.0,9.0,9.0,-32.0,21.0,,-1.5462764492091894,,,0.11567275539427833
55,42,2.817516088,16,1,214,56.0,1.0,53.0,-3.0,5.006036975861207,-1.0,-147.0,,-1.3880680101150147,,,0.12858878059838802
116,102,3.9168748860000004,17,1,105,55.0,214.0,42.0,-13.0,-12.997314273796984,61.0,-109.0,,-1.3880680101150147,,,0.14268913399765218
138,147,3.101749897,18,1,291,116.0,105.0,102.0,-14.0,-13.999999999999847,22.0,-174.0,,-1.249252623702269,,,0.15810472983023294
53,50,4.950222015,19,1,81,138.0,291.0,147.0,9.0,9.0,61.0,150.0,,-1.117448030544046,,,0.17497717441597324
34,34,2.249860048,20,1,275,53.0,81.0,50.0,-3.0,-2.3310970412724927,-19.0,-166.0,,-1.0918286366893004,,,0.19345930646236567
92,126,2.650599003,21,1,177,34.0,275.0,34.0,0.0,0.0006709251047997036,58.0,-98.0,,-1.393614718913407,,,0.2137156337906771
127,124,3.1835298539999997,22,1,358,92.0,177.0,126.0,34.0,34.0,35.0,-179.0,,-0.7953764580363416,,,0.23592263080929654
46,47,5.583166361,23,1,335,127.0,358.0,124.0,-3.0,-2.9958065485843104,65.0,-23.0,,-0.0411624993633121,,,0.260268854686128
48,43,4.217813015,24,1,89,46.0,335.0,47.0,1.0,2.66666654162762,2.0,114.0,,-0.08269618656307227,,,0.28695483138505634
103,99,0.8670709129999999,25,1,228,48.0,89.0,43.0,-5.0,-1.5006713190533532,55.0,139.0,,-0.08269618656307227,,,0.3161926556824444
82,111,2.266311169,26,1,51,103.0,228.0,99.0,-4.0,-4.0015089062749025,-21.0,-177.0,,0.11398209386766378,,,0.3482052421816535
77,86,3.1832139489999998,27,1,47,82.0,51.0,111.0,29.0,28.996082969044018,-5.0,-4.0,,0.8523812980395574,,,0.38322515748496544
45,46,5.067196846,28,1,99,77.0,47.0,86.0,9.0,9.0,-32.0,52.0,,1.6816700580173076,,,0.4214929574361792
7,8,2.583435059,29,1,81,45.0,99.0,46.0,1.0,1.0005591043378916,-38.0,-18.0,,1.3054119895742755,,,0.4632549481800908
132,120,6.600227117999999,30,1,157,7.0,81.0,8.0,1.0,0.9999999999999113,-21.0,76.0,,1.4860410068922838,,,0.5087602862620267
73,97,3.583440065,31,1,322,132.0,157.0,120.0,-12.0,4.512239740398865,-59.0,165.0,,1.9013779557252404,,,0.5582573317757733
44,43,4.550527096000001,32,1,147,73.0,322.0,97.0,24.0,24.00436016965825,-29.0,-175.0,,3.3215276715733246,,,0.6119891704192157
84,112,4.017492056,33,1,314,44.0,147.0,43.0,-1.0,-0.9999999999999789,40.0,167.0,,3.1863259494679275,,,0.6701882260706904
8,8,2.53334713,34,1,224,84.0,314.0,112.0,28.0,27.996082969044018,70.0,-90.0,,3.1863259494679275,,,0.7330698960471217
114,98,2.2177667619999997,35,1,254,8.0,224.0,8.0,0.0,-8.611484226028573e-31,-40.0,30.0,,2.5496256561872035,,,0.8008251574573254
38,33,2.749582052,36,1,234,114.0,254.0,98.0,-16.0,-15.999999999999881,70.0,-20.0,,2.485164574239974,,,0.8736121158978112
50,53,2.717126846,37,1,293,38.0,234.0,33.0,-5.0,-10.999105883560354,12.0,59.0,,2.351880954064734,,,0.9515464979337167
144,131,3.1338398460000003,38,1,111,50.0,293.0,53.0,3.0,3.0000000000000444,-52.0,178.0,,2.7462418848389323,,,1.0346911269661863
32,39,5.400254965,39,1,133,144.0,111.0,131.0,-13.0,-13.000000000000076,34.0,22.0,,2.7007530460599543,,,1.1230444685404184
23,19,6.633313894,40,1,136,32.0,133.0,39.0,7.0,7.000000000000034,-9.0,3.0,,2.903096140154372,,,1.2165283858512461
