stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
105,84,0.0,3,1,135,62.0,299.0,66.0,4.0,3.9947996542732676,43.0,-164.0,1.6553858220999238,-1.087967231139544,0.05807304346578349,-0.024542926023899063,-0.005529154615326574
86,122,3.95025301,4,1,42,65.0,312.0,67.0,2.0,1.9993309322154864,21.0,90.0,1.4406447495987735,-0.9792535305834859,-0.052612292884380484,-0.14401414909992036,-0.008354439538003992
58,39,1.4999279980000002,5,1,227,105.0,135.0,84.0,-21.0,-21.0,-47.0,92.0,1.8833945428695074,-0.1726647328090668,-0.0944762333965642,0.2194530481639981,-0.011253311615163533
45,43,5.3169360160000005,6,1,250,86.0,42.0,122.0,36.0,36.0,-41.0,-152.0,2.4232911520820246,0.05226716601788785,0.22833961164037792,-4.3505137255063255,-0.014251535387625426
36,45,4.5667998789999995,7,1,332,58.0,227.0,39.0,-19.0,-19.0,-22.0,105.0,1.922594706053655,0.265815903172422,0.1381049439962699,-1.9656166739823766,-0.01737594515955734
17,8,4.5169000630000005,8,1,180,45.0,250.0,43.0,-2.0,-2.0,-28.0,-70.0,,-0.48790611388262806,,,-0.020654725556403783
100,115,2.566730976,9,1,212,36.0,332.0,45.0,9.0,4.506038580610113,64.0,-120.0,,-0.6918832359720397,,,-0.024117700265393498
78,93,2.98395896,10,1,84,17.0,180.0,8.0,-9.0,-8.996307942558488,61.0,-96.0,,-0.7490630201499902,,,-0.027796629996918332
31,20,1.166131973,11,1,31,100.0,212.0,115.0,15.0,8.667114638002996,-69.0,179.0,,-0.8338617044608801,,,-0.0317255203327596
59,44,2.3671741490000002,12,1,97,78.0,84.0,93.0,15.0,-4.665993065800929,-19.0,13.0,,-1.6672106906579065,,,-0.03594093965435497
146,147,8.151458979,13,1,47,31.0,31.0,20.0,-11.0,-10.999999999999773,-31.0,16.0,,-1.6610479256700899,,,-0.04048234675342148
55,113,2.617252111,14,1,109,59.0,97.0,44.0,-15.0,-15.0,-4.0,12.0,,-2.4499090980544453,,,-0.045392426998427465
141,147,2.700441122,15,1,355,146.0,47.0,147.0,1.0,2.9994965810444336,-5.0,-52.0,,-2.994297332901109,,,-0.05071743504188815
37,147,7.3503351210000005,17,1,196,141.0,355.0,147.0,6.0,0.6659961415863496,42.0,-159.0,,-2.353068519108475,,,-0.056507540982128165
97,102,3.1666140560000002,18,1,22,43.0,180.0,45.0,2.0,2.0,54.0,-158.0,,-0.761439011629266,,,-0.06281717561527643
109,97,3.383265018,19,1,332,37.0,196.0,147.0,-36.0,-36.00150614958726,72.0,136.0,,-0.7034503252182992,,,-0.06970536890552477
94,114,3.317373037,20,1,263,97.0,22.0,102.0,5.0,5.0,-3.0,-119.0,,-0.7349957016112306,,,-0.07723607404265305
25,12,2.817061186,21,1,99,109.0,332.0,97.0,-12.0,-12.0,62.0,127.0,,0.07687859965769077,,,-0.0854784674277471
83,109,1.383744001,22,1,143,94.0,263.0,114.0,20.0,-0.013078538137765605,-11.0,-120.0,,-0.5480733937167644,,,-0.09450721261920361
19,11,4.333076,23,1,344,25.0,99.0,12.0,-13.0,-13.0,-6.0,-115.0,,-0.6125838190570737,,,-0.10440267367872778
6,140,4.633505106,24,1,353,83.0,143.0,109.0,26.0,16.49815602483789,69.0,-150.0,,-0.5256056960431872,,,-0.11525106049066412
79,99,2.899363995,25,1,207,19.0,344.0,11.0,-8.0,-7.996307942558487,60.0,-137.0,,-1.045183878090493,,,-0.12714448551361604
140,47,3.783168077,26,1,297,6.0,353.0,140.0,-12.0,-12.0,-12.0,-56.0,,-0.9297992627058778,,,-0.1401809081078805
108,112,1.0832240579999999,27,1,328,79.0,207.0,99.0,20.0,14.996421880891912,29.0,121.0,,-0.9872460849757952,,,-0.15446393913866566
110,109,6.716310023999999,29,1,350,108.0,328.0,112.0,4.0,4.0,2.0,22.0,,-1.8502412597801914,,,-0.17010247508761936
64,58,2.683504105,30,1,6,38.0,137.0,52.0,14.0,13.997982386128225,26.0,-131.0,,-1.8503925324747996,,,-0.18721012755467914
87,104,4.083645821,31,1,148,110.0,350.0,109.0,-1.0,-1.0,-23.0,158.0,,-1.7828699398569257,,,-0.20590441098095624
14,145,3.066201925,32,1,41,64.0,6.0,58.0,-6.0,-7.999663301259846,-50.0,35.0,,-1.6095066873164268,,,-0.22630564889919405
77,132,5.799787997999999,33,1,134,87.0,148.0,104.0,17.0,17.0,-10.0,-14.0,,-1.467064891345011,,,-0.24853555729729332
130,2,3.7666532989999997,34,1,203,14.0,41.0,145.0,-15.0,-14.998655955354987,-30.0,162.0,,-1.8529470109086645,,,-0.2727154630869379
134,4,5.533403158,36,1,258,130.0,203.0,2.0,18.0,17.99999999999995,4.0,55.0,,-1.8818157407214118,,,-0.2989641165735785
115,99,4.516708851000001,37,1,185,76.0,271.0,94.0,18.0,17.99999999999975,39.0,-86.0,,-0.10848056577076387,,,-0.32739505963477805
123,25,7.366485119,38,1,345,134.0,258.0,4.0,16.0,16.006205552207643,-11.0,87.0,,-0.5610902290124242,,,-0.3581135164667794
107,94,2.266624928,39,1,127,115.0,185.0,99.0,-16.0,-15.998318186021365,-8.0,-58.0,,-1.3792720471942437,,,-0.3912127816986092
96,97,4.2176527980000005,40,1,167,123.0,345.0,25.0,48.0,48.003181605811186,-27.0,-178.0,,-1.3792720471942437,,,-0.42677009182769393
