stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
11,26,4.04987812,2,1,77,87.0,170.0,46.0,-41.0,-41.0,70.0,-93.0,1.6950921204717362,0.31232566813361773,0.14641054346882146,-0.43937478304317185,-0.002266955350583508
97,80,4.700180054,3,1,85,11.0,77.0,26.0,15.0,15.0,-60.0,8.0,-3.144282188109325,0.019190876809601826,-0.1667928062750896,-2.377553679924965,-0.0034267219621226413
131,142,2.749785185,4,1,256,97.0,85.0,80.0,-17.0,-10.999162694040779,34.0,171.0,-1.7449427156117279,0.019190876809601826,0.15555722979900177,-1.1087939307718484,-0.004618380376842979
7,104,3.450253963,5,1,68,131.0,256.0,142.0,11.0,11.0,22.0,172.0,-0.4565011607216099,0.1415919378091405,0.1626719375944036,-2.3754159850450844,-0.005853139461160056
26,64,0.033504009,6,1,175,7.0,68.0,104.0,-49.0,-49.00385714392467,19.0,107.0,2.8305653377957234,0.31242551153985326,-0.3099125668020827,-4.036004358137919,-0.007142709945030304
125,137,1.9336709980000002,7,1,136,26.0,175.0,64.0,38.0,19.503694251877107,-47.0,-39.0,,1.9777854393444274,,,-0.008499437513594013
79,85,5.082980871,8,1,31,125.0,136.0,137.0,12.0,11.99596567299156,-46.0,-105.0,,1.8921492909641515,,,-0.009936440764683823
114,80,1.617341995,9,1,172,79.0,31.0,85.0,6.0,-6.504527338277516,35.0,141.0,,2.1072543714898377,,,-0.01146775476913675
25,23,2.2999629969999997,10,1,301,114.0,172.0,80.0,-34.0,-12.488263649677346,57.0,129.0,,2.154667715109733,,,-0.013108480818538285
86,84,2.333483934,11,1,139,25.0,301.0,23.0,-2.0,-2.0062048193327535,61.0,-162.0,,1.6151849997781447,,,-0.014874942747516606
101,98,1.449687004,12,1,153,86.0,139.0,84.0,-2.0,-2.000000000000038,15.0,14.0,,2.2568439816440455,,,-0.01678484996563343
31,21,2.86633873,13,1,100,101.0,153.0,98.0,-3.0,-3.0,-70.0,-53.0,,2.268520136487203,,,-0.018857467016548172
17,16,3.249624252,14,1,352,31.0,100.0,21.0,-10.0,-2.6635376586793633,-14.0,-108.0,,2.528595344605045,,,-0.021113789087428968
10,11,2.9005661010000003,15,1,263,17.0,352.0,16.0,-1.0,-1.0,-7.0,-89.0,,2.7512084802068033,,,-0.023576722406393424
55,53,2.850250959,16,1,102,10.0,263.0,11.0,1.0,0.9999999999998543,45.0,-161.0,,3.4727470690009157,,,-0.026271267876096925
119,119,3.849765778,17,1,12,55.0,102.0,53.0,-2.0,-1.9973155867826298,64.0,-90.0,,3.325639181069077,,,-0.02922470558304618
94,103,2.5332629680000003,18,1,216,119.0,12.0,119.0,0.0,2.9979882930897923,-25.0,-156.0,,3.0570947242920417,,,-0.03246677698062415
