stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
44.0,38.0,0.0,4.0,1.0,49.0,123.0,265.0,110.0,-13.0,-12.996307717280432,67.0,144.0,-3.3919709692570916,1.467412527512905,-0.2904492811337776,-1.5881255214768337,0.0011001651286286984
146.0,147.0,0.0,5.0,1.0,254.0,133.0,35.0,111.0,-22.0,-22.00150716197985,13.0,-141.0,-4.195899702520995,1.821426470638143,-0.2942521606141072,-0.20978682690189238,0.0016716407403661274
30.0,19.0,0.0,6.0,1.0,234.0,117.0,48.0,101.0,-16.0,-16.0,59.0,-174.0,-3.991939675838879,2.0635859516054866,-0.4415001954398001,-0.3190515255329584,0.002269327052912565
135.0,137.0,3.300072908,7.0,1.0,146.0,44.0,49.0,38.0,-6.0,-6.0,-55.0,97.0,-4.561095413170416,1.933609409226421,-0.3709584971962261,-1.74051183525727,0.0029028741170959325
23.0,25.0,2.317329884,8.0,1.0,264.0,146.0,254.0,147.0,1.0,1.0000000000000506,23.0,10.0,-3.1228793372462853,1.817320021682327,-0.31595702233922074,-0.23818957291012352,0.003582744512247379
142.0,140.0,1.6167862419999999,9.0,1.0,147.0,30.0,234.0,19.0,-11.0,-11.0,-34.0,-87.0,-4.10711839818244,1.4833057117236097,-0.30600942987249147,-3.085919902961058,0.004320454528391754
110.0,124.0,1.8503930569999998,10.0,1.0,52.0,135.0,146.0,137.0,2.0,1.9984928380200393,-25.0,-94.0,-2.006549256534285,1.7486232329820173,-0.09784354010892107,-2.8027926730183816,0.005128841905079745
138.0,142.0,2.566482067,11.0,1.0,242.0,23.0,264.0,25.0,2.0,-2.66700221654476,-31.0,-22.0,-3.307355534148603,1.7849830151694153,-0.3372583432470292,0.4950993969178893,0.0060223666260818196
88.0,94.0,2.650411844,12.0,1.0,258.0,142.0,147.0,140.0,-2.0,-2.001845437911171,-54.0,111.0,-2.6051799590190265,1.3370698874436082,-0.458631632144254,-0.14563531719595027,0.007017451910745848
79.0,100.0,2.8504979610000003,13.0,1.0,187.0,110.0,52.0,124.0,14.0,14.0,-31.0,135.0,-2.029445192352524,0.9794438656665619,-0.2312876615856818,-1.937647260685944,0.008132873280131849
81.0,82.0,4.583461046,14.0,1.0,332.0,138.0,242.0,142.0,4.0,4.003354344374865,-57.0,90.0,-3.104043764278982,1.1279426713190412,-0.3693601562451787,-0.9799646510543727,0.009390204397126851
118.0,85.0,2.283322096,15.0,1.0,264.0,88.0,258.0,94.0,6.0,-2.5114038136842716,30.0,6.0,-2.766284546391948,1.0836105323332283,-0.24508307793182013,-1.9303714838888713,0.010814329265568155
35.0,33.0,2.099830866,16.0,1.0,38.0,79.0,187.0,100.0,21.0,13.994465655008753,-44.0,-149.0,-3.4541027051436104,1.3803365007765571,-0.3894987822722981,-0.47110926469932135,0.012434031295195793
