stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
65.0,67.0,3.95025301,2.0,1.0,312.0,62.0,299.0,66.0,4.0,4.0,3.0,13.0,-1.8922098231138282,0.5531719421638014,-0.12929715023676827,0.19762154359062148,-6.767634567169329e-05
105.0,84.0,1.4999279980000002,3.0,1.0,135.0,65.0,312.0,67.0,2.0,2.6662193332057504,40.0,-177.0,3.7350960098484944,0.8192015616486986,0.24741851395267592,-0.263571035491857,-0.00010315690543716715
86.0,122.0,5.3169360160000005,4.0,1.0,42.0,105.0,135.0,84.0,-21.0,-20.99999999999982,-19.0,-93.0,-2.166352612738787,1.4748310180100406,-0.1515536425641749,2.238789922226167,-0.0001406617234912218
58.0,39.0,4.5667998789999995,5.0,1.0,227.0,86.0,42.0,122.0,36.0,36.0,-28.0,-175.0,2.9764655426461424,0.534909653507071,0.1473513907903137,-0.30979749485155156,-0.0001809565509831357
45.0,43.0,4.5169000630000005,6.0,1.0,250.0,58.0,227.0,39.0,-19.0,-19.0,-13.0,23.0,0.6407093918938916,1.7302521249997649,0.14149643535516968,0.17766356802355227,-0.0002248892304913364
36.0,45.0,2.566730976,7.0,1.0,332.0,45.0,250.0,43.0,-2.0,-5.6627524806744205,-9.0,82.0,1.467041597462191,2.146572337719059,0.13370673476222497,1.7875284489771832,-0.0002734155079658113
17.0,8.0,2.98395896,8.0,1.0,180.0,36.0,332.0,45.0,9.0,8.995806211214882,-19.0,-152.0,-0.4308831537477564,1.902665918103215,0.021253435520645663,0.5805179212241692,-0.00032762864526003654
100.0,115.0,1.166131973,9.0,1.0,212.0,17.0,180.0,8.0,-9.0,-9.0,-63.0,32.0,-3.465266409559687,1.582283663698363,-0.1327317816129937,-2.1815886586474926,-0.0003887938773920983
78.0,93.0,2.3671741490000002,10.0,1.0,84.0,100.0,212.0,115.0,15.0,15.0,-22.0,-128.0,3.339571481973687,1.6202968872651864,0.11345326305369577,-1.4285165103120527,-0.0004583889254941021
31.0,20.0,8.151458979,11.0,1.0,31.0,78.0,84.0,93.0,15.0,15.0,-47.0,-53.0,1.921869560567416,1.5060353688523807,0.12792946252564596,3.3574819423275937,-0.0005381519806124861
