stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
97.0,80.0,0.0,3.0,1.0,85.0,87.0,170.0,46.0,-41.0,-41.007038520998854,10.0,-85.0,-1.289005980115018,-0.23896269232222184,-0.2463515197288995,4.119754597254881,-0.003238392015026323
131.0,142.0,4.04987812,4.0,1.0,256.0,11.0,77.0,26.0,15.0,14.999999999999803,-26.0,179.0,-1.4941763105128982,-0.7108496764651927,-0.15581591412932813,1.670251479230762,-0.004893144101070597
7.0,104.0,4.700180054,5.0,1.0,68.0,97.0,85.0,80.0,-17.0,-17.0,56.0,-17.0,1.4672220609272746,-0.7640857305008829,0.19556349245819724,0.03882430808536767,-0.006590995733078559
26.0,64.0,2.749785185,6.0,1.0,175.0,131.0,256.0,142.0,11.0,11.001003968151487,41.0,-81.0,5.124335427588652,-0.7922890385400052,0.6228290162422561,2.2291245967222753,-0.008347037044907534
125.0,137.0,3.450253963,7.0,1.0,136.0,7.0,68.0,104.0,-49.0,-49.0000000000002,-28.0,68.0,0.58371088197361,0.568201462568403,-0.17902120662929258,0.4601366673960878,-0.010176984724259572
79.0,85.0,0.033504009,8.0,1.0,31.0,26.0,175.0,64.0,38.0,38.0020088935488,53.0,-144.0,-3.769910718555898,0.314161495069929,-0.3589820003287937,4.810081999689667,-0.012097346333743453
114.0,80.0,1.9336709980000002,9.0,1.0,172.0,125.0,136.0,137.0,12.0,11.999999999999675,-11.0,36.0,3.4956388746651488,0.7737685876417997,0.18266780498833038,3.048621027498156,-0.014125589424422505
25.0,23.0,5.082980871,10.0,1.0,301.0,79.0,31.0,85.0,6.0,6.0,-54.0,-90.0,1.3353022653269495,0.9003380156657506,0.08444532075758819,-0.25945090518832964,-0.016280316049970454
86.0,84.0,1.617341995,11.0,1.0,139.0,114.0,172.0,80.0,-34.0,-12.49480488583768,-28.0,-33.0,2.9905655089134275,1.0391842076490767,0.06729164588193493,0.2875362911777875,-0.018581443071493307
101.0,98.0,2.2999629969999997,12.0,1.0,153.0,25.0,301.0,23.0,-2.0,-1.999999999999924,-70.0,-148.0,2.047586332105371,0.9637932002109256,0.04574892314864206,2.7955079695053175,-0.021050388366169258
