stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
56.0,46.0,3.283439875,3.0,1.0,158.0,103.0,340.0,105.0,2.0,2.0,-47.0,178.0,-2.2809577248868553,1.3308296894293872,-0.1841347365676371,0.22932565516601647,-9.190439655232961e-19
131.0,6.0,4.350790024,4.0,1.0,68.0,56.0,158.0,46.0,-10.0,-10.000000000000101,-71.0,-90.0,-0.7725271765357768,1.1910043618395385,-0.09373262646959855,0.7256367976611451,-0.0003234615009977405
18.0,18.0,4.30011797,5.0,1.0,263.0,131.0,68.0,6.0,21.0,21.0,33.0,-165.0,-1.8674203880078069,0.8200393325075526,-0.17532333678594728,1.2317431511316796,-0.0006499223188103164
141.0,134.0,5.049957991,6.0,1.0,55.0,18.0,263.0,18.0,0.0,-2.960275177924399e-31,-23.0,152.0,-2.583488199415359,1.4801491704537892,-0.22171043243347113,0.6846463323926363,-0.0009824161971436517
92.0,106.0,4.400868654,7.0,1.0,46.0,141.0,55.0,134.0,-7.0,-7.0,-49.0,-9.0,0.5167619671409537,1.1844428760138137,-0.09395373354480992,4.129490250605894,-0.0013240459871174115
112.0,108.0,2.850490808,8.0,1.0,146.0,92.0,46.0,106.0,14.0,6.500000337143024,20.0,100.0,-0.9633910258980701,1.1320173277004573,-0.1791192244901228,0.927496389032465,-0.00167801882813602
144.0,2.0,3.4168827530000003,9.0,1.0,63.0,112.0,146.0,108.0,-4.0,-3.994297588033244,32.0,-83.0,0.3967628467699838,0.843076830747534,-0.06253037788021822,0.3417397419187801,-0.002047682061608933
14.0,16.0,8.616770983,10.0,1.0,112.0,144.0,63.0,2.0,4.0,3.001007119418814,16.0,49.0,1.464544934993737,1.2168976722726375,-0.09794751175004247,0.44074005660263976,-0.002436560087729349
102.0,99.0,3.700862885,11.0,1.0,25.0,14.0,112.0,16.0,2.0,1.998322405711339,-58.0,-87.0,-0.7342983015917018,1.2546208814775863,-0.029711740137742595,0.17020352656491236,-0.0028483923439870033
82.0,90.0,3.9008288380000002,12.0,1.0,275.0,102.0,25.0,99.0,-3.0,-3.0,-20.0,-110.0,-0.4214124059586931,1.2358616452587254,-0.11558782384030662,0.5537552044705943,-0.003287172541755458
39.0,42.0,4.9332871439999995,13.0,1.0,220.0,82.0,275.0,90.0,8.0,7.999999999999943,-43.0,-55.0,1.9811432853197928,0.9528427773341969,-0.011499826795927344,0.33474856200440506,-0.0037571892422038856
26.0,25.0,5.649729967000001,14.0,1.0,214.0,39.0,220.0,42.0,3.0,3.0,-13.0,-6.0,0.8487590137613098,1.2924654188436309,-0.08240385065621897,1.6615126660101616,-0.00426306778259819
