stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
70.0,68.0,0.0,3.0,1.0,299.0,39.0,350.0,63.0,24.0,24.000000000000444,31.0,-51.0,1.5477585892783978,4.686933372873513,0.2587029088842216,1.7461762794090723,-2.013086418780238e-19
89.0,110.0,5.550719022999999,4.0,1.0,304.0,136.0,204.0,147.0,11.0,11.0,-47.0,100.0,0.30493010891976635,4.720958362210526,-0.006960587307337285,4.096914294256814,-7.098276983162292e-05
13.0,20.0,3.315124273,5.0,1.0,194.0,70.0,299.0,68.0,-2.0,0.0046960260704995704,-57.0,-105.0,0.8406236070473088,4.596788520020129,0.18826900769008598,0.4155023067225792,-0.00014341776383345052
16.0,13.0,1.833121777,6.0,1.0,201.0,89.0,304.0,110.0,21.0,20.996418994150442,-73.0,-103.0,1.9845358285932095,4.850924249298419,0.21324066500919361,0.1151861902955898,-0.0002188016704290538
140.0,6.0,2.28312397,7.0,1.0,121.0,13.0,194.0,20.0,7.0,3.9988257115971004,-19.0,-73.0,2.6361621795623207,5.562968183741754,0.29428945405240176,-0.6134543503474793,-0.00029872175537400803
76.0,124.0,4.716586113,8.0,1.0,85.0,16.0,201.0,13.0,-3.0,-1.6673374293465888,60.0,-116.0,4.214252652221432,5.212729841126863,0.20766033056591535,5.676908213505756,-0.000384905335498441
108.0,143.0,3.150047064,9.0,1.0,349.0,140.0,121.0,6.0,12.0,1.498325641379811,-32.0,-132.0,-1.109276211302288,5.074376647838137,0.04833850512731795,1.2995973980035083,-0.0004792744528480932
31.0,34.0,3.284326077,11.0,1.0,288.0,108.0,349.0,143.0,35.0,35.00145198314209,69.0,-61.0,0.9695925615231796,5.554428049869212,0.3540242072190278,-0.9773989409862355,-0.0005840077854563572
68.0,74.0,5.533112764,12.0,1.0,181.0,48.0,83.0,59.0,11.0,11.0,20.0,98.0,0.8342998341484661,5.822391487122065,0.3071501539302445,1.6471615578811578,-0.0007016121016010363
85.0,109.0,5.766885757000001,13.0,1.0,214.0,31.0,288.0,34.0,3.0,3.0,54.0,-74.0,-1.0947856159413298,6.049808568515405,0.13296129820626584,2.9781716063964705,-0.0008350059163717123
55.0,62.0,1.966599226,14.0,1.0,207.0,68.0,181.0,74.0,6.0,6.000000000000026,-13.0,26.0,1.7564542255483904,6.233408956151128,0.2662637987290476,2.377219322309308,-0.000987618451454062
28.0,24.0,5.067037344,15.0,1.0,288.0,85.0,214.0,109.0,24.0,1.9851319525744309,-57.0,74.0,5.404368952315552,5.259225039618031,0.5237130156773039,1.973619202675974,-0.0011635075412122916
90.0,76.0,8.533227921,16.0,1.0,344.0,55.0,207.0,62.0,7.0,7.0,35.0,137.0,4.563645177797024,5.317871299162104,0.29894117294703604,4.1036838574062475,-0.0013675007811463182
8.0,13.0,3.3001930710000003,17.0,1.0,58.0,28.0,288.0,24.0,-4.0,-4.000000112535149,-20.0,130.0,1.4205573493781931,5.373748980429561,0.2732580549478722,2.460136075362253,-0.0016053649893250272
109.0,90.0,4.967076778,18.0,1.0,266.0,90.0,344.0,76.0,-14.0,-24.674827988887692,19.0,-78.0,2.479986794681143,4.643103796301014,0.3752595619096715,2.376656621161208,-0.0018840099570091172
121.0,120.0,3.1841819289999997,19.0,1.0,93.0,8.0,58.0,13.0,5.0,4.999999999999975,-33.0,35.0,0.18773152977060062,4.478184762455324,0.04252727336570877,-0.3928508476482589,-0.0022117335081455625
45.0,63.0,2.533756018,20.0,1.0,133.0,109.0,266.0,90.0,-19.0,-14.671699255533378,-64.0,-133.0,-0.34265511519589315,3.505244481499869,0.04638609413238441,1.6832268850508245,-0.0025985160704133925
69.0,60.0,3.433037758,21.0,1.0,171.0,121.0,93.0,120.0,-1.0,-1.0,-52.0,78.0,1.1222345254622164,3.4569989545618425,0.2791062750242369,2.5528178846028644,-0.0030563742764449773
144.0,2.0,2.8499200339999997,22.0,1.0,60.0,45.0,133.0,63.0,18.0,0.0036921141245152,-47.0,-73.0,4.963003304545824,3.138569944253955,0.389110695705974,2.0003762871625903,-0.0035997845436715843
101.0,123.0,3.933349848,23.0,1.0,343.0,69.0,171.0,60.0,-9.0,-8.99932742430376,32.0,172.0,-1.479242778816184,3.3664827954006884,0.16178562544693711,3.8993112552975115,-0.004246189087885183
23.0,132.0,2.8667850489999998,24.0,1.0,156.0,144.0,60.0,2.0,4.0,3.998824924451712,25.0,96.0,2.581280383190742,3.4255438970743826,0.14838433481581897,1.6519436689681233,-0.005016598346988798
50.0,58.0,4.149912119,25.0,1.0,83.0,101.0,343.0,123.0,22.0,8.997152357516166,-51.0,100.0,2.7268031687390755,3.285193019881396,0.28492812982282545,2.1639943955373604,-0.005936305231737473
35.0,29.0,2.9498090739999996,26.0,1.0,294.0,23.0,156.0,132.0,-37.0,-36.99999999999997,12.0,138.0,2.76087459819186,3.089115124017337,0.3324144647088014,0.4654424392544798,-0.0070357278395959495
52.0,51.0,3.349660873,27.0,1.0,308.0,50.0,83.0,58.0,8.0,8.0,2.0,-135.0,1.8957633623402443,3.1543832294764953,0.3121474672128266,-1.254757396959008,-0.008351398069928621
33.0,43.0,5.216783047,28.0,1.0,325.0,35.0,294.0,29.0,-6.0,-1.4941321340932348,-2.0,31.0,-0.1217916102363909,3.1543832294764953,0.20479111887955917,3.413612088237667,-0.009927113697640056
17.0,17.0,6.6338009829999995,29.0,1.0,195.0,52.0,308.0,51.0,-1.0,-1.0,-35.0,-113.0,-2.8684983761134704,3.192312832745478,-0.13484784415650394,-0.32200477188016396,-0.011815270548436715
93.0,90.0,3.26770997,30.0,1.0,249.0,33.0,325.0,43.0,10.0,10.000000000000057,60.0,-76.0,1.6460977087546211,3.14710261797279,0.2346430787492032,0.8666017851872143,-0.014078389025405593
83.0,117.0,4.533747911,31.0,1.0,140.0,17.0,195.0,17.0,0.0,0.00044677733251709663,66.0,-55.0,2.4912309661104173,3.112265654712634,0.2436867531906136,1.7586700165699547,-0.016790844809394564
139.0,63.0,4.816849947,32.0,1.0,296.0,93.0,249.0,90.0,-3.0,-3.00000000000019,46.0,47.0,-1.0180128176478798,3.1088646215817572,0.019914370078947547,0.8784225326840668,-0.02004080642807831
134.0,135.0,2.983876944,33.0,1.0,357.0,83.0,140.0,117.0,34.0,33.99999999999972,51.0,-143.0,-0.9380516066611085,2.8834118595002396,-0.010580200010422302,0.902626473945064,-0.023932371786280805
34.0,34.0,4.449984074,35.0,1.0,326.0,134.0,357.0,135.0,1.0,1.0000000000000062,46.0,-31.0,1.8766792840319007,2.7509848839234055,0.45946200055696196,-0.4006588346351622,-0.028587880810575256
3.0,136.0,3.1337070469999997,36.0,1.0,291.0,128.0,263.0,139.0,11.0,-1.6636460779099522,21.0,28.0,-0.7574334800728694,2.569281236011254,0.19442537802980445,1.7249539521069313,-0.034150361174169926
96.0,126.0,1.8669359680000002,37.0,1.0,73.0,34.0,326.0,34.0,0.0,0.0015115502752784176,62.0,107.0,2.255062010037218,2.388547527255698,0.30917953115718644,-0.18308674825918717,-0.040786037744156796
51.0,63.0,2.450675011,38.0,1.0,44.0,3.0,291.0,136.0,-13.0,-13.0,48.0,113.0,3.2963811113605894,2.8866681438626163,0.22460293720776955,0.47043323700490625,-0.04868680316757709
71.0,75.0,2.9672138689999996,39.0,1.0,204.0,96.0,73.0,126.0,30.0,29.994965660775303,-25.0,131.0,-1.2102222824240487,2.78600652095483,0.022943379403323323,2.4016956809613776,-0.05807250639119894
36.0,30.0,3.716412067,40.0,1.0,73.0,51.0,44.0,63.0,12.0,12.0,-15.0,29.0,2.338464239601329,2.583551413555238,0.21154662660487733,3.5843669767361606,-0.0691928678610451
10.0,13.0,2.69922924,41.0,1.0,229.0,71.0,204.0,75.0,4.0,3.333332808219635,-61.0,25.0,-0.8004544266015721,3.3027200948624627,0.262144211256307,0.2550932143202989,-0.08232877534197326
59.0,46.0,2.700427055,42.0,1.0,153.0,36.0,73.0,30.0,-6.0,-5.986746584028561,23.0,80.0,-0.2653548204282249,3.1976335070772373,0.143835303269192,-1.3614741805230852,-0.09779265438610239
141.0,5.0,3.799832106,43.0,1.0,150.0,10.0,229.0,13.0,3.0,1.0025172630516759,-15.0,-79.0,2.155448260191953,2.8619278113098434,0.2037899798090492,1.3677924102853127,-0.1159275453957971
124.0,2.0,2.600991964,44.0,1.0,248.0,59.0,153.0,46.0,-13.0,-13.0,65.0,95.0,0.7642227682579608,2.952881355301743,0.22594396256304,1.215662577581675,-0.1371044594862831
64.0,66.0,4.083439112,45.0,1.0,37.0,141.0,150.0,5.0,10.0,9.996477080722237,69.0,-113.0,2.3883543499340205,3.0579572988680828,0.21019247801708096,-0.5595451438491499,-0.16171753429528288
66.0,73.0,5.134447813,46.0,1.0,327.0,124.0,248.0,2.0,24.0,18.498658710040928,-58.0,79.0,0.07319085641644041,2.9511995592226943,0.13321224216269958,-0.4098591968848452,-0.19017647681524016
131.0,120.0,5.69890523,47.0,1.0,344.0,64.0,37.0,66.0,2.0,2.0030203445906674,67.0,-53.0,0.32016716757161706,2.7729335502726653,0.1937318275024891,0.5384006131251157,-0.2228957734526195
7.0,7.0,4.4331581589999995,48.0,1.0,49.0,66.0,327.0,73.0,7.0,7.0,-59.0,82.0,4.298914778606078,2.78784709190279,0.5279728164809481,1.9542550476733698,-0.2602801796526569
135.0,7.0,3.932654142,49.0,1.0,0.0,131.0,344.0,120.0,-11.0,-10.99983288765772,4.0,16.0,-2.8515047657566837,2.389412279074487,0.02425085241170863,2.5712755723837004,-0.30270608527926574
125.0,130.0,1.283428907,50.0,1.0,72.0,7.0,49.0,7.0,0.0,-1.0746828976210177e-31,-28.0,23.0,3.4134986781141357,2.4449597824733416,0.32757327404734377,2.4158728024001803,-0.3504985000170826
79.0,79.0,3.967798948,51.0,1.0,191.0,135.0,0.0,7.0,18.0,18.0,-56.0,-169.0,-1.1746158426857558,2.4332951366229825,0.25433509642544205,-0.08883242826646234,-0.40390362608867875
111.0,125.0,1.100195169,52.0,1.0,101.0,125.0,72.0,130.0,5.0,-17.499828021011385,-14.0,29.0,0.1353215548397983,2.450055234710726,0.05998826349444476,0.17965336176650473,-0.4630572904595272
43.0,38.0,1.032732248,53.0,1.0,256.0,79.0,191.0,79.0,0.0,0.0013418503603231631,-36.0,65.0,3.032866697357995,2.2775720568846407,0.18339982690623108,3.2702094251093246,-0.527949896141073
126.0,131.0,4.716438055,54.0,1.0,270.0,111.0,101.0,125.0,14.0,14.000000000000043,15.0,169.0,2.8761751214676323,2.4927856010600644,0.6832924514845478,0.5937454476240323,-0.5983890141754907
147.0,136.0,6.550120115,55.0,1.0,230.0,43.0,256.0,38.0,-5.0,-5.000000000000228,-42.0,-26.0,-0.5947422531997927,2.5110721236149107,0.22328181559504298,1.1351624337802693,-0.6739612552893177
74.0,69.0,4.733566284,56.0,1.0,72.0,126.0,270.0,131.0,5.0,4.992452766809561,-52.0,162.0,0.8868708040943654,2.7129658398376457,0.266070299543614,0.5353688802359701,-0.7539956010928014
143.0,147.0,2.300170898,57.0,1.0,335.0,147.0,230.0,136.0,-11.0,-10.999999381056714,-4.0,105.0,-1.6463865456794307,2.823223510963313,0.25899683728477196,3.33310943182377,-0.8375308936380739
112.0,123.0,3.5167460439999996,58.0,1.0,205.0,74.0,72.0,69.0,-5.0,-5.0021801129629155,38.0,133.0,1.2762957794680567,3.035591665576398,0.21926523150887117,-1.1888980676128402,-0.9232906211644969
97.0,113.0,4.599880934,59.0,1.0,314.0,143.0,335.0,147.0,4.0,0.4971491589536692,-46.0,-21.0,3.6403608316913343,2.556188143225513,0.29063485333200845,-0.05293595122676253,-1.0096684294998888
1.0,145.0,3.665898085,60.0,1.0,3.0,112.0,205.0,123.0,11.0,10.999663974847483,35.0,158.0,1.9056582242928264,2.424477471254198,0.17310890742367002,1.1988643521058118,-1.0947278613052203
123.0,136.0,1.566758871,61.0,1.0,214.0,97.0,314.0,113.0,16.0,15.999999999999712,26.0,-100.0,1.1084956305166345,2.1487789741507415,0.3729494250797875,0.6582714789718571,-1.1762196112301386
94.0,107.0,1.0339419840000001,62.0,1.0,177.0,1.0,3.0,145.0,-2.0,-2.0,-53.0,174.0,-2.1136174443171165,2.165578683072878,-0.22985173233471692,2.375754338140198,-1.251619029431487
24.0,99.0,4.866217852,63.0,1.0,117.0,123.0,214.0,136.0,13.0,12.998157037408276,47.0,-97.0,-2.413565460743299,2.1728871984070173,-0.023503388128858875,-0.5105274421693717,-1.3181856780629775
63.0,46.0,2.434093714,64.0,1.0,193.0,94.0,177.0,107.0,13.0,12.994965660775302,-31.0,16.0,6.5623464478545985,2.1728871984070173,0.555130624777291,1.4722444493004343,-1.3730454488152248
103.0,105.0,1.183306932,66.0,1.0,210.0,63.0,193.0,46.0,-17.0,-7.9964796688324515,40.0,17.0,1.7348990287803012,2.7647298886676746,0.146615276197694,-0.7062779188201027,-1.4132941305573026
47.0,40.0,3.3829758169999997,67.0,1.0,284.0,11.0,14.0,144.0,-13.0,-13.002346905999598,36.0,-90.0,3.1437006828755125,2.3032030240566375,0.33734490847682047,-1.3589579499663211,-1.4361194679707097
84.0,117.0,0.916371107,68.0,1.0,59.0,103.0,210.0,105.0,2.0,1.9999999999998352,-19.0,-151.0,4.654787133388511,2.2754752789914434,0.31147977275354183,2.2476758157730794,-1.4389368143475036
54.0,62.0,0.9330699440000001,69.0,1.0,179.0,47.0,284.0,40.0,-7.0,-7.000000000000228,7.0,-105.0,0.8632992014054638,2.102873871572356,0.21125138168393104,-0.8572586712171236,-1.419531632544086
62.0,59.0,2.8161013130000003,70.0,1.0,324.0,84.0,59.0,117.0,33.0,32.99261483451188,-22.0,-95.0,5.988078454552834,1.551939045335393,0.5388495402833875,3.9382738455806545,-1.3762005393231314
87.0,103.0,2.232446909,71.0,1.0,176.0,54.0,179.0,62.0,8.0,8.0,33.0,-3.0,1.252690970045762,1.8737643082779212,0.24209657645608354,0.6824081526685023,-1.3078815246032884
114.0,113.0,3.7336547369999997,72.0,1.0,317.0,62.0,324.0,59.0,-3.0,-2.9969796554093326,52.0,-7.0,1.511527120823992,1.849801846751921,0.41906246702547284,1.0496479738540803,-1.2142635904714847
102.0,99.0,2.4489138130000003,73.0,1.0,324.0,87.0,176.0,103.0,16.0,15.999999999999721,15.0,148.0,1.8965066379397555,1.5404309749445897,0.4243633902469703,-0.480721749118872,-1.0958664779778875
137.0,146.0,5.016773939,74.0,1.0,301.0,114.0,317.0,113.0,-1.0,-1.0003360251525175,23.0,-16.0,0.3791239278025037,1.5375594724086545,0.18639895410810187,4.618290970456621,-0.954082442326263
73.0,75.0,1.617114305,75.0,1.0,243.0,102.0,324.0,99.0,-3.0,-3.0043619694403634,-29.0,-81.0,1.7258239931838775,1.6579412025161284,0.4255820572753804,0.2584750644480727,-0.7911741682412746
12.0,13.0,4.46739006,76.0,1.0,263.0,137.0,301.0,146.0,9.0,9.0,21.0,-38.0,3.8015101756681227,0.539228784794269,0.2287079634793238,2.681302553905769,-0.6102257587499017
100.0,111.0,3.39973712,77.0,1.0,158.0,73.0,243.0,75.0,2.0,-4.498825149455907,27.0,-85.0,0.10817872510881452,0.14140622365290662,0.15065068828933947,2.517629401548082,-0.41504706227325183
122.0,125.0,3.9500119689999997,78.0,1.0,110.0,12.0,263.0,13.0,1.0,-3.999551666576995,-36.0,-153.0,1.1931478438453362,0.5758639682454387,0.27972964064003436,-1.3069715111149294,-0.21003513175006655
127.0,120.0,2.483088017,79.0,1.0,263.0,100.0,158.0,111.0,11.0,10.993064575536792,27.0,105.0,1.1901412132413214,1.3478672070967324,0.40186949903930763,-3.1321241033172145,0.0
99.0,108.0,2.716048002,80.0,1.0,106.0,122.0,110.0,125.0,3.0,2.9999999999999303,-23.0,-4.0,-0.901776505728296,1.440294117467187,0.06616332238563509,0.06261525847429276,0.21003513175006655
6.0,141.0,2.248774767,81.0,1.0,28.0,127.0,263.0,120.0,-7.0,-7.004248179992408,25.0,125.0,4.6373558629473735,2.474867315936688,0.5408109588166689,-0.2290553546989389,0.41504706227325183
