stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
137.0,146.0,4.599744081,2.0,1.0,50.0,90.0,84.0,107.0,17.0,17.001003799405243,47.0,-34.0,0.4620718610960269,1.2416618930336818,0.24587697227126923,-1.7216280625908766,-2.139900965585065e-18
8.0,126.0,1.48361516,3.0,1.0,195.0,137.0,50.0,146.0,9.0,9.00022409185901,17.0,145.0,3.6114584327834245,1.7504044052045677,0.28959774871359534,1.6041068907702063,-0.0007531474056527187
73.0,74.0,2.731700897,4.0,1.0,90.0,8.0,195.0,126.0,-28.0,-28.0,65.0,-105.0,1.3776205407133875,0.9308350527590363,0.1397876021784995,1.5910032465485568,-0.0015132784173013647
96.0,127.0,4.067014933,5.0,1.0,123.0,73.0,90.0,74.0,1.0,2.000838374995876,23.0,33.0,-4.16322771497994,1.4068784894828128,-0.2658827773188053,2.901700643070224,-0.0022874568004774766
133.0,138.0,4.416527748,6.0,1.0,61.0,96.0,123.0,127.0,31.0,31.0,37.0,-62.0,-4.5952678186647935,1.7690016161330584,-0.545821109503903,1.9967809468643356,-0.0030829072303392687
68.0,89.0,2.050063848,7.0,1.0,242.0,133.0,61.0,138.0,5.0,4.998155181135903,-65.0,-179.0,-0.4786476749627211,1.8459706403737957,-0.054524980002490765,0.5789690760535392,-0.00390709720677329
58.0,87.0,13.23340225,8.0,1.0,266.0,68.0,242.0,89.0,21.0,21.0,-10.0,24.0,-1.138393978835463,1.689724423996022,-0.11576757821435375,1.154185267738844,-0.004767820675861485
1.0,124.0,6.367063999,9.0,1.0,330.0,58.0,266.0,87.0,29.0,29.0,-57.0,64.0,1.1539888719807097,2.499183230776304,0.13896081641672803,0.6207013239827424,-0.005673283847164476
125.0,108.0,5.000292063,10.0,1.0,100.0,1.0,330.0,124.0,-23.0,-23.0,-22.0,130.0,1.0016161953138427,2.4991832307763038,0.05984206291266632,0.2267400721963938,-0.006632193622849294
57.0,55.0,1.016514063,11.0,1.0,149.0,125.0,100.0,108.0,-17.0,-17.0,-68.0,49.0,1.6598858825664382,2.345970598021848,0.08232365948433099,5.278727243305635,-0.007653848956116364
82.0,100.0,3.866402149,12.0,1.0,193.0,57.0,149.0,55.0,-2.0,-2.0,25.0,44.0,2.929548783355586,2.2008363774681787,0.04915536893683069,1.9204586202454257,-0.008748235328108173
54.0,57.0,3.100269079,13.0,1.0,27.0,82.0,193.0,100.0,18.0,6.490944901786923,-28.0,-166.0,-2.2432406551627593,2.08131118363046,-0.10765619703320041,6.03822168517275,-0.009926122369063036
40.0,55.0,2.400203943,14.0,1.0,264.0,54.0,27.0,57.0,3.0,6.335792641816601,-14.0,-123.0,-0.48091659816512883,1.854595421545357,-0.03286649055488282,3.3782964941679237,-0.011199164444605543
