stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
49.0,48.0,0.0,3.0,1.0,108.0,62.0,68.0,102.0,40.0,40.0,-13.0,40.0,-3.1834433442382437,-3.7499428424032484,-0.440745277323544,-0.1842235092772601,1.3480477365718377e-18
146.0,146.0,5.432696818999999,4.0,1.0,153.0,119.0,224.0,109.0,-10.0,-9.995300599410214,27.0,-71.0,3.210913078766163,-3.9699428424032273,0.1933561645174264,1.6878046992508855,0.00047445123481100633
22.0,23.0,1.482838869,5.0,1.0,257.0,49.0,108.0,48.0,-1.0,-1.0,-27.0,149.0,2.7932917795999184,-3.40989588889496,0.30188291053273447,-0.9633815733130721,0.0009533018481013534
106.0,110.0,5.582537889,6.0,1.0,157.0,146.0,153.0,146.0,0.0,-5.03308382827261e-125,-40.0,4.0,0.9184170188425432,-3.1699048548076907,0.153957242149829,0.06625547777543797,0.0014410017154912705
3.0,119.0,12.36618996,7.0,1.0,243.0,22.0,257.0,23.0,1.0,1.0,-19.0,-14.0,0.5632569417441822,-2.5210861562635314,0.1279089289094007,2.520226451816484,0.001942102078907896
95.0,113.0,3.351524115,8.0,1.0,323.0,106.0,157.0,110.0,4.0,3.99765164978672,-11.0,166.0,2.0795151774688794,-1.5886899854307952,0.19365149369901666,-1.7569636823262385,0.002461307149659044
139.0,131.0,1.1330029959999999,9.0,1.0,354.0,3.0,243.0,119.0,-30.0,-29.997313936342664,-10.0,111.0,3.6503019248707957,-0.6109159854344882,0.4467037706778491,-1.4647304007833688,0.0030035267864455123
84.0,101.0,4.500772953,10.0,1.0,214.0,95.0,323.0,113.0,18.0,18.0,-11.0,-109.0,0.6921492117142588,-0.329557550395331,0.1065002127348718,4.342517226449903,0.003573930556645389
67.0,85.0,1.8507149219999999,11.0,1.0,189.0,139.0,354.0,131.0,-8.0,11.005533219922288,-72.0,-165.0,-1.3352962209414119,0.47891979350164227,-0.025148957458189798,1.9075906479206475,0.004178003442950668
137.0,130.0,6.850288152999999,12.0,1.0,225.0,84.0,214.0,101.0,17.0,17.00603534410133,53.0,11.0,2.6161822272664,1.0763277064318777,0.2021729383235986,1.6853045603468482,0.004821603395339366
51.0,49.0,5.349924803,13.0,1.0,226.0,67.0,189.0,85.0,18.0,21.01090202715826,-16.0,37.0,-0.892795736726593,1.0763277064318797,-0.028220226773861996,2.916880231500145,0.005511020847560147
104.0,107.0,5.583666325,14.0,1.0,177.0,137.0,225.0,130.0,-7.0,-6.999999999999949,-33.0,-48.0,2.1275916355171263,1.2779641873824252,0.4010699929701856,-0.5736924014248355,0.006253040214359273
45.0,33.0,5.516360044,15.0,1.0,247.0,51.0,226.0,49.0,-2.0,-2.0,-6.0,21.0,-2.053462961949308,0.7160958734555259,-0.061608501303250525,1.8455029318106748,0.007055003256619175
133.0,63.0,2.317382813,16.0,1.0,83.0,104.0,177.0,107.0,3.0,3.0,29.0,-94.0,-1.8928648368241787,0.9128941992519843,-0.1749632219418199,3.650002905690689,0.007924874041943142
37.0,31.0,2.799952984,17.0,1.0,102.0,45.0,247.0,33.0,-12.0,-11.99999999999993,-8.0,-145.0,1.6685746751534192,0.9527084442690039,0.10861086069591734,2.8770217939608864,0.00887130503314698
145.0,18.0,3.316486835,19.0,1.0,99.0,37.0,102.0,31.0,-6.0,-5.999496243495654,-38.0,-3.0,0.260059080708945,0.5003048794395283,0.2000632393600513,0.8532229906449926,0.00990370360147244
6.0,9.0,2.466732979,20.0,1.0,65.0,125.0,176.0,110.0,-15.0,0.002345312933563548,27.0,-111.0,1.1125878778436722,0.2146930139042329,0.1341954097929046,-0.7216029303959588,0.011032297979906219
80.0,13.0,2.30009985,21.0,1.0,67.0,145.0,99.0,18.0,19.0,19.0,-65.0,-32.0,-1.0435293205177407,1.1280174657293147,-0.15507047565109108,-1.9658435137534882,0.012268201339755893
41.0,38.0,1.866473913,22.0,1.0,193.0,6.0,65.0,9.0,3.0,3.0,35.0,128.0,4.016018186814798,1.1863533364944634,0.2777074115180227,-1.5395064289431768,0.013623472286130187
92.0,23.0,10.38310075,24.0,1.0,102.0,41.0,193.0,38.0,-3.0,-2.9999999999999303,51.0,-91.0,0.7425551082092652,1.1863533364944634,0.07550278667718623,2.3323711214804637,0.015111169621753425
109.0,109.0,2.332956076,25.0,1.0,107.0,20.0,165.0,14.0,-6.0,-6.0,-57.0,-58.0,1.858146337766451,0.6630949809364505,0.17464860527075005,-0.5887539157107121,0.016745398721770558
132.0,123.0,3.21658206,27.0,1.0,274.0,109.0,107.0,109.0,0.0,-0.9983212804923672,23.0,167.0,0.14667105263081073,1.1631647868616426,-0.01561724954179149,1.1708073182929195,0.018541346295371134
131.0,118.0,3.250237942,28.0,1.0,346.0,19.0,51.0,20.0,1.0,0.9999999999998818,-34.0,-65.0,0.996056931624894,1.7151055928355825,0.1452646441203756,-2.314342806677377,0.02051529968685767
86.0,104.0,1.600375175,29.0,1.0,58.0,132.0,274.0,123.0,-9.0,-9.0,-46.0,144.0,1.263292070195426,2.0486437434605143,0.18124527861033218,0.8827467191289956,0.022684646197090323
7.0,134.0,3.383770943,30.0,1.0,313.0,131.0,346.0,118.0,-13.0,-13.0,22.0,-33.0,-4.482749462894508,2.4586952757642107,-0.34002249970134885,2.6372921297147727,0.025067847199225703
83.0,117.0,2.633285761,31.0,1.0,312.0,86.0,58.0,104.0,18.0,18.006035344101587,-3.0,-106.0,0.23011441838389324,2.248502047413896,-0.033296970778723706,3.0809970943782186,0.027684381100027092
74.0,98.0,1.499515057,32.0,1.0,144.0,7.0,313.0,134.0,-19.0,-19.0,67.0,-169.0,1.9352187554955018,2.003958442980891,0.07780028861155125,-0.03794631493225142,0.030554648487171227
128.0,98.0,3.0828630919999997,33.0,1.0,95.0,83.0,312.0,117.0,34.0,34.00000000000047,45.0,143.0,0.7439148321125312,1.73830729493166,0.036565983300600985,4.39083475777394,0.033699832140279634
65.0,82.0,0.9498929979999999,34.0,1.0,99.0,74.0,144.0,98.0,24.0,24.00156483684208,-9.0,-45.0,-2.8320553739971768,1.4729635104802534,-0.2734775608665801,1.5015906764189093,0.037141704015166505
29.0,44.0,1.2161891459999998,35.0,1.0,33.0,128.0,95.0,98.0,-30.0,-30.0,47.0,-62.0,-1.9085774548789893,1.1100465845639587,-0.06825951028239309,-0.21351356315762735,0.0409023708940556
2.0,4.0,2.600019932,36.0,1.0,213.0,65.0,99.0,82.0,17.0,17.00000000000004,-63.0,114.0,0.33202497763958094,1.5272391284081708,-0.12345975262886026,3.723876334805328,0.0450039501972525
124.0,119.0,2.666809082,37.0,1.0,10.0,29.0,33.0,44.0,15.0,8.001678225672965,-51.0,-23.0,0.12382983558643071,0.5251727885773884,-0.12558770006583836,-1.7974431861460491,0.04946816755253306
141.0,145.0,7.1821749210000005,38.0,1.0,285.0,2.0,213.0,4.0,2.0,10.007042913038054,-7.0,72.0,-1.7154873372662276,0.8711037474734564,-0.10421492043911627,-0.7136540793016178,0.05431586820511665
31.0,34.0,2.400269985,39.0,1.0,60.0,124.0,10.0,119.0,-5.0,-0.998155798710803,53.0,50.0,-2.8716294002472296,0.34582478267896605,0.0036849615049444366,0.48055884315956715,0.05956643531815089
113.0,100.0,2.183628082,40.0,1.0,225.0,141.0,285.0,145.0,4.0,3.9979849348286263,-28.0,-60.0,0.20494046322163378,-0.269365698168433,0.08885465664312316,3.2222967598745957,0.06523710975870976
5.0,144.0,2.283092976,41.0,1.0,188.0,31.0,60.0,34.0,3.0,1.334340821491629,-26.0,128.0,-0.6596441023954064,-0.7645016225042396,-0.030694681345120108,-0.23138292687061457,0.07134220818256003
