stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
2.0,146.0,2.0489542480000003,2.0,1.0,163.0,15.0,9.0,3.0,-12.0,-12.00016688726263,-13.0,154.0,-7.18727285063084,0.682443937060667,-0.584310013381484,-3.518076649631552,3.9649574925829965e-19
138.0,138.0,1.999937773,3.0,1.0,306.0,2.0,163.0,146.0,-2.0,7.5008365182133225,-10.0,143.0,0.12719202702846183,0.7546223961124341,-0.03756141927833863,-1.218433067712419,0.0001398070457694251
105.0,123.0,3.53406477,4.0,1.0,98.0,138.0,306.0,138.0,0.0,4.818690537406441e-222,-33.0,152.0,-5.04118843494297,0.7592896081884319,-0.46477483289295524,-4.639033998647247,0.00028247437962734167
64.0,43.0,2.800162792,5.0,1.0,115.0,105.0,98.0,123.0,18.0,17.999999999999986,-41.0,17.0,-3.2610182029022634,1.1920238330386503,-0.3107732653146309,-2.633978334360657,0.0004309498660687499
98.0,102.0,2.300807238,6.0,1.0,118.0,64.0,115.0,43.0,-21.0,-21.0,34.0,3.0,-0.9230194113290425,1.2827372156744765,-0.17716723269073334,-1.072489092634871,0.0005883597699135748
23.0,29.0,2.199856997,7.0,1.0,137.0,98.0,118.0,102.0,4.0,-2.9999991000962947,71.0,19.0,-4.127185779237879,1.784035252135966,-0.36845166279169345,-2.73448824660626,0.0007581061993594771
112.0,122.0,1.2999348640000001,8.0,1.0,219.0,23.0,137.0,29.0,6.0,5.998657474579454,-57.0,82.0,-6.99204242682932,1.2798032010867753,-0.736130199697849,-6.265986136877468,0.0009439747916943178
111.0,108.0,2.067513227,9.0,1.0,169.0,112.0,219.0,122.0,10.0,10.000000000000108,-1.0,-50.0,-0.9748309887550692,1.4385884143218173,-0.07695770433671124,-2.9684467927040084,0.0011502566522140327
69.0,42.0,2.066941023,10.0,1.0,299.0,111.0,169.0,108.0,-3.0,-3.0,-42.0,130.0,-2.280053258089392,1.5698166460353808,-0.41251459428390386,-4.3505135408126225,0.0013818890899049599
73.0,67.0,2.8173768519999998,11.0,1.0,49.0,69.0,299.0,42.0,-27.0,-27.000000000000064,4.0,110.0,-4.969568363328249,1.9897897955269708,-0.4027612246943418,-1.3933734834898073,0.0016446203866909651
56.0,63.0,2.2168159480000003,12.0,1.0,209.0,73.0,49.0,67.0,-6.0,-6.000000000000063,-17.0,160.0,0.901869954321031,1.9897897955269708,-0.012429883943356706,-3.541798437383528,0.0019452047077635004
46.0,55.0,3.4667439460000002,13.0,1.0,11.0,56.0,209.0,63.0,7.0,7.0,-10.0,162.0,-1.095059004061234,1.4253547581262842,-0.22279661309116522,-3.960084011696047,0.0022916343283755805
75.0,74.0,2.9343049530000003,14.0,1.0,3.0,46.0,11.0,55.0,9.0,8.997482624025988,29.0,-8.0,-2.2619087690624213,1.6520403379189617,-0.2875397905088759,-1.9260526795972588,0.0026934176386147935
10.0,22.0,2.750525951,15.0,1.0,344.0,75.0,3.0,74.0,-1.0,-1.0018444253024401,-65.0,-19.0,-3.143545025013632,2.136223969190192,-0.33794588626512867,-3.1167623616766944,0.0031619129131676433
90.0,105.0,2.400035143,16.0,1.0,19.0,10.0,344.0,22.0,12.0,12.000559141807665,-66.0,35.0,0.9385636120047348,2.0924448466287355,-0.15445560446432274,-3.509047631201521,0.0037107296167733055
141.0,3.0,2.0654718880000003,17.0,1.0,7.0,90.0,19.0,105.0,15.0,14.998658993614901,51.0,-12.0,-1.75323894178298,2.0924448466287355,-0.33365772897392043,-0.20316042359530292,0.004356211071271484
128.0,124.0,1.9164710040000001,18.0,1.0,94.0,141.0,7.0,3.0,8.0,8.0,-13.0,87.0,-3.8677356524215836,1.9382904312199698,-0.3769701163864201,-0.6443335340567132,0.005118014640170896
45.0,54.0,1.1002581120000001,19.0,1.0,281.0,128.0,94.0,124.0,-4.0,-4.000167112342142,63.0,-173.0,-1.3365766417595601,2.428965102896141,-0.2683254162544346,-0.9791099491685508,0.006019808178537776
44.0,50.0,2.766664028,20.0,1.0,190.0,45.0,281.0,54.0,9.0,1.4958079838795424,-1.0,-91.0,-2.954275963632529,2.4420924982921646,-0.40161405317153387,-1.8143938343118713,0.007090104312173826
53.0,53.0,1.8839619159999998,21.0,1.0,254.0,44.0,190.0,50.0,6.0,5.997482624025987,9.0,64.0,-2.3253544249816525,2.4216569675496142,-0.14937198011369895,-2.6280027121307943,0.008363257077524345
96.0,113.0,2.434102774,22.0,1.0,288.0,53.0,254.0,53.0,0.0,-1.3336686959048691,43.0,34.0,-3.3970636743822276,2.1359426818353304,-0.3631236110649674,-3.158293555301275,0.009880648450254857
8.0,127.0,2.5499320030000003,23.0,1.0,221.0,96.0,288.0,113.0,17.0,16.99999999999991,58.0,-67.0,-1.2247687162742456,1.533895016465784,-0.23955626036603614,-2.0926732546130777,0.011692095127295316
19.0,13.0,2.3501918319999997,24.0,1.0,235.0,8.0,221.0,127.0,-27.0,-27.0,11.0,14.0,-2.0925619038598495,0.9030225782230148,-0.18071294590361894,-1.3080210688483862,0.013857508328721206
9.0,11.0,5.134060143999999,25.0,1.0,150.0,19.0,235.0,13.0,-6.0,-6.000110919839526,-10.0,-85.0,-7.3709957712326615,-0.1243096328115127,-0.64910524732551,-2.589518437337438,0.016448840965629062
39.0,41.0,1.083105803,26.0,1.0,91.0,9.0,150.0,11.0,2.0,2.0000000000000213,30.0,-59.0,-2.4630670994464006,-0.1668235812093331,-0.2832973000974278,-1.447581287764644,0.019552356754354
85.0,117.0,3.5171079639999996,27.0,1.0,266.0,39.0,91.0,41.0,2.0,0.9986582621745004,46.0,175.0,-3.351953229021464,-0.3232147171684281,-0.38799622462147587,-3.0419651909775682,0.023271254057273042
3.0,14.0,3.800223112,28.0,1.0,68.0,85.0,266.0,117.0,32.0,31.99932749936527,64.0,162.0,-4.864939825600696,-0.3367537819544461,-0.5730654498814877,-4.3528826699448055,0.027728672516271306
72.0,65.0,3.8505940439999997,29.0,1.0,98.0,3.0,68.0,14.0,11.0,11.003187175585673,69.0,30.0,0.48408874524610107,-0.3367537819544461,0.006798887522045454,-3.9895391557821593,0.03307110182515123
117.0,123.0,3.29929328,30.0,1.0,122.0,72.0,98.0,65.0,-7.0,-7.001676974779113,45.0,24.0,-5.631418787452279,-0.20344503844645687,-0.5452661134512737,-3.1161297283828397,0.03947219794880504
130.0,125.0,2.050057173,31.0,1.0,46.0,117.0,122.0,123.0,6.0,6.001844706272333,13.0,-76.0,-5.3145003612438115,-0.0634752323302714,-0.5071058619645825,-2.332963882788856,0.04713699121474683
