stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
65.0,67.0,3.95025301,2.0,1.0,312.0,62.0,299.0,66.0,4.0,4.0,3.0,13.0,-1.5200129392861537,1.149848093424621,-0.24913659870474694,0.006301922567195137,-6.140378222829634e-20
105.0,84.0,1.4999279980000002,3.0,1.0,135.0,65.0,312.0,67.0,2.0,2.0,40.0,-177.0,-0.8141241085244445,1.2503628356305037,-0.15295921242300312,1.4125529056307644,-2.1651383169736215e-05
86.0,122.0,5.3169360160000005,4.0,1.0,42.0,105.0,135.0,84.0,-21.0,-20.9999999999999,-19.0,-93.0,0.16268038553235187,1.6189951994754674,-0.016607739045300017,3.772938725203314,-4.3745728229873975e-05
58.0,39.0,4.5667998789999995,5.0,1.0,227.0,86.0,42.0,122.0,36.0,35.99278547241125,-28.0,-175.0,4.679861710214363,0.7509606907459134,0.27668570511997354,0.8566834553002601,-6.673955969433901e-05
45.0,43.0,4.5169000630000005,6.0,1.0,250.0,58.0,227.0,39.0,-19.0,-13.495472493429045,-13.0,23.0,-4.360262335378852,1.9750928883920154,-0.2535703166635892,-0.2942046560735081,-9.111703025386775e-05
36.0,45.0,2.566730976,7.0,1.0,332.0,45.0,250.0,43.0,-2.0,-5.6666666661843,-9.0,82.0,2.5545822362268713,2.2201993806274825,0.28952069373138867,-0.9321081834931318,-0.00011740501140934918
17.0,8.0,2.98395896,8.0,1.0,180.0,36.0,332.0,45.0,9.0,9.0,-19.0,-152.0,-2.8460223109408695,1.9749444692429343,-0.12474423480386562,2.5462687062498266,-0.00014618977034673634
100.0,115.0,1.166131973,9.0,1.0,212.0,17.0,180.0,8.0,-9.0,0.005025935670285975,-63.0,32.0,-1.9217052907651981,1.5855443241904317,-0.2510716799482168,0.8915289832093476,-0.00017813585415142459
78.0,93.0,2.3671741490000002,10.0,1.0,84.0,100.0,212.0,115.0,15.0,8.668233108992201,-22.0,-128.0,-1.7450142424994823,1.6236719568973281,-0.023834624962146354,2.4504303726217587,-0.00021400788500572913
31.0,20.0,8.151458979,11.0,1.0,31.0,78.0,84.0,93.0,15.0,14.999323015858867,-47.0,-53.0,2.18819435310856,1.509119624533118,0.03912623554094353,-1.4333181506599335,-0.00025469607737272075
59.0,44.0,2.617252111,12.0,1.0,97.0,31.0,31.0,20.0,-11.0,-11.00032769751646,28.0,66.0,-5.282713482317795,1.5516271668911765,-0.3507902334009544,3.393332702342214,-0.00030124642301442055
146.0,147.0,2.700441122,13.0,1.0,47.0,59.0,97.0,44.0,-15.0,-14.998153436737285,-59.0,-50.0,2.8682599109725695,2.1298894840481424,0.2967507882867834,0.3456790118709619,-0.00035489665506818974
