stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
97.0,80.0,0.0,3.0,1.0,85.0,87.0,170.0,46.0,-41.0,-41.000000000000036,10.0,-85.0,1.9210659343245289,0.4995712987614383,0.13705023790915186,1.1275004267564062,-5.855981632282685e-18
131.0,142.0,4.04987812,4.0,1.0,256.0,11.0,77.0,26.0,15.0,2.002015401612974,-26.0,179.0,0.8688582530164537,-0.5363029935514932,0.05336767252495134,5.871438055378926,-0.002061038078319589
7.0,104.0,4.700180054,5.0,1.0,68.0,97.0,85.0,80.0,-17.0,-17.0,56.0,-17.0,-0.8091598820481762,-0.5314033409412018,0.03494732862918772,3.7631608864601778,-0.004141187259955145
26.0,64.0,2.749785185,6.0,1.0,175.0,131.0,256.0,142.0,11.0,11.0,41.0,-81.0,-2.1369064079724067,-0.6332139580071258,-0.05185803255435647,2.9181003054174313,-0.006259778010135052
125.0,137.0,3.450253963,7.0,1.0,136.0,7.0,68.0,104.0,-49.0,-48.994519950358956,-28.0,68.0,0.6439706103334709,0.7201488238591823,-0.08034742062858723,-1.7493496983341044,-0.008436581134006887
79.0,85.0,0.033504009,8.0,1.0,31.0,26.0,175.0,64.0,38.0,38.00167523105026,53.0,-144.0,1.5048157758002498,0.4695078485657952,0.0764239388557199,2.814458361542724,-0.010692031942773352
114.0,80.0,1.9336709980000002,9.0,1.0,172.0,125.0,136.0,137.0,12.0,11.497316355545784,-11.0,36.0,-1.1191987022204763,0.48168372087863326,-0.22179821602336763,0.6800518304075607,-0.013047459089410853
25.0,23.0,5.082980871,10.0,1.0,301.0,79.0,31.0,85.0,6.0,6.0,-54.0,-90.0,6.844204009810647,0.9072755929847073,0.22309800680980355,-0.6043775728954126,-0.015525319413385561
86.0,84.0,1.617341995,11.0,1.0,139.0,114.0,172.0,80.0,-34.0,-33.99479914852609,-28.0,-33.0,3.874033430081639,1.3402430655953501,0.1505420316664409,1.8487017603602514,-0.018149439932855893
101.0,98.0,2.2999629969999997,12.0,1.0,153.0,25.0,301.0,23.0,-2.0,2.9937933794064344,-70.0,-148.0,5.089475962798709,1.3115487439760605,0.47028051609521415,-0.801242221283374,-0.02094526785309763
31.0,21.0,2.333483934,13.0,1.0,100.0,86.0,139.0,84.0,-2.0,-2.0010072879383944,-55.0,-39.0,-1.4920034674385032,2.230832645073238,-0.09148743466852559,-0.8988214575583152,-0.023940129108862118
17.0,16.0,1.449687004,14.0,1.0,352.0,101.0,153.0,98.0,-3.0,-2.9912780881357968,62.0,-161.0,-0.7246141771311888,1.6106451716701011,-0.046114458835770124,0.06851901601619634,-0.02716349551117063
10.0,11.0,2.86633873,15.0,1.0,263.0,31.0,100.0,21.0,-10.0,-9.996809279916109,-21.0,163.0,-0.8367024536284877,1.1453673704471428,-0.027157148826427554,-1.4971582852699143,-0.03064726000840307
55.0,53.0,3.249624252,16.0,1.0,102.0,17.0,352.0,16.0,-1.0,5.5011733875867455,38.0,110.0,4.602317838315637,1.8718668989774068,0.314079997456359,0.6617982174628905,-0.0344260188780783
119.0,119.0,2.9005661010000003,17.0,1.0,12.0,10.0,263.0,11.0,1.0,0.9904388675061888,-37.0,109.0,-1.4779455721336119,1.3157415436605302,-0.15985198510588725,-3.3354503849745702,-0.03853735881831446
94.0,103.0,2.850250959,18.0,1.0,216.0,55.0,102.0,53.0,-2.0,0.002683512709600766,39.0,114.0,1.280681250641911,1.7174611039939889,0.17691514286046467,2.065695401712089,-0.04302214588430027
