stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
137.0,2.0,0.0,4.0,1.0,19.0,51.0,139.0,51.0,0.0,-0.45567222843591537,-60.0,-120.0,-2.764729547620708,-1.1723900663084852,-0.2971393107425874,1.0045864444625414,0.0003741176988301734
57.0,47.0,0.0,5.0,1.0,140.0,143.0,64.0,140.0,-3.0,5.9848375899531305,60.0,76.0,-4.9986296626064926,-1.1428613885766148,-0.13773847995007552,1.679094739533481,0.0005702557326032991
104.0,102.0,0.0,6.0,1.0,83.0,2.0,286.0,141.0,-7.0,-4.954204054438559,-44.0,157.0,-4.41596724206426,-1.042849071616425,-0.42195762386068103,2.3377676686913405,0.0007775839517457031
109.0,103.0,1.6000077719999999,7.0,1.0,112.0,137.0,19.0,2.0,11.0,14.209483547938007,-28.0,93.0,-1.5630921091302898,-1.506094289235986,-0.14717848700526961,1.38879961451708,0.0010003354609733803
18.0,143.0,4.649818897,8.0,1.0,11.0,57.0,140.0,47.0,-10.0,-8.591224265873294,-39.0,-129.0,-5.64037596851144,-1.7649370027305114,-0.47636316013308655,-3.0045003052824506,0.0012431971698923338
113.0,118.0,1.81682682,9.0,1.0,57.0,104.0,83.0,102.0,-2.0,1.4562049142840436,9.0,-26.0,-4.787783697271587,-1.5253269484725505,-0.30582199133807536,-0.625697505620102,0.0015114524825072116
19.0,118.0,6.183823824,10.0,1.0,57.0,109.0,112.0,103.0,-6.0,2.40425117549988,56.0,-55.0,-5.60220698365564,-1.9256352893933872,-0.37502924710975166,0.5398405519025373,0.0018111449965494473
64.0,72.0,1.566293001,11.0,1.0,258.0,18.0,11.0,143.0,-21.0,-9.049704115186003,46.0,-113.0,-3.187951048524039,-1.8289876444959747,-0.20594013655191645,-0.27656793479414465,0.0021492689846731704
43.0,56.0,3.19995594,12.0,1.0,343.0,113.0,57.0,118.0,5.0,15.726372572853606,-70.0,-74.0,-3.4711695411122587,-2.4852795015214064,-0.3446775762221368,2.7391247212228524,0.0025339933517519527
34.0,57.0,4.382833719,13.0,1.0,287.0,19.0,57.0,118.0,-47.0,-34.633107350650945,15.0,-130.0,-2.987145907070574,-1.9574068042277772,-0.1389325143715459,1.3642425692339932,0.0029749268913551504
