stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
89.0,110.0,0.0,4.0,1.0,304.0,39.0,350.0,63.0,24.0,21.687641188252233,50.0,-46.0,-3.113437083059255,0.9125494212489461,-0.06392370924539795,0.3347806900602521,0.007643978290296507
13.0,20.0,0.0,5.0,1.0,194.0,136.0,204.0,147.0,11.0,4.40873859253566,23.0,-10.0,-2.6539238897988375,0.7955400525431414,-0.07697659432602116,-0.826318046835632,0.011549894857177079
16.0,13.0,0.0,6.0,1.0,201.0,70.0,299.0,68.0,-2.0,-5.262057420859203,-54.0,-98.0,1.1236451343089204,0.8498715557312783,0.358465467480209,-0.773235791616224,0.015557544627492911
140.0,6.0,5.550719022999999,7.0,1.0,121.0,89.0,304.0,110.0,21.0,5.197519264309339,51.0,177.0,-1.1514377084559666,1.3344340972480777,0.10314871457616251,0.923217312070129,0.019702546715627857
76.0,124.0,3.315124273,8.0,1.0,85.0,13.0,194.0,20.0,7.0,7.761201658468271,63.0,-109.0,-2.362745389257088,1.201831111748107,-0.015892628155792635,-0.7798237331764742,0.024021999168709084
108.0,143.0,1.833121777,9.0,1.0,349.0,16.0,201.0,13.0,-3.0,-1.2628711574540814,-54.0,148.0,-1.770321561143123,1.0428825897058693,0.04893950413954433,0.2321075514710133,0.02855486683398846
48.0,59.0,2.28312397,10.0,1.0,83.0,140.0,121.0,6.0,12.0,8.01279680121252,54.0,-38.0,-2.0693451203930704,1.033731227415284,0.11727203052625156,1.5993955891113756,0.033342380538522426
68.0,74.0,3.150047064,12.0,1.0,181.0,108.0,349.0,143.0,35.0,29.893631002282294,-40.0,-168.0,-2.921355077226431,0.6498028855912134,-0.01789844527880937,0.15812840571271858,0.03842844901657694
85.0,109.0,1.73431015,13.0,1.0,214.0,48.0,83.0,59.0,11.0,9.532296743036515,37.0,131.0,-2.5767920193650853,0.5208866790368536,0.15861704322351816,1.3387291318246641,0.04386008450545946
55.0,62.0,3.284326077,14.0,1.0,207.0,31.0,288.0,34.0,3.0,2.5841088096280247,24.0,-81.0,-1.195085560005231,1.3071193063834619,-0.041567910368874396,1.8345407350067133,0.049687842276864846
28.0,24.0,5.533112764,15.0,1.0,288.0,68.0,181.0,74.0,6.0,3.9363078863163468,-40.0,107.0,0.33688385978997204,1.4672162198199672,0.2232035367898011,0.08550771018043324,0.05596627355394219
90.0,76.0,5.766885757000001,16.0,1.0,344.0,85.0,214.0,109.0,24.0,9.655211834293059,5.0,130.0,-0.5365658091130485,1.3497547420941922,0.12792754425618266,0.07102429847561453,0.06275439025670192
8.0,13.0,1.966599226,17.0,1.0,58.0,55.0,207.0,62.0,7.0,7.072483994744862,-47.0,-149.0,-3.25082298638547,1.0467567147645473,0.03175887943017562,0.7949762078651549,0.07011613879001971
109.0,90.0,5.067037344,18.0,1.0,266.0,28.0,288.0,24.0,-4.0,-3.3623770260096775,-65.0,-22.0,0.35493914711538005,1.1826225118342344,0.07457131837769197,-0.8240414333557358,0.07812087860739184
121.0,120.0,8.533227921,19.0,1.0,93.0,90.0,344.0,76.0,-14.0,-29.949809585847046,31.0,109.0,-2.057344469626352,1.3717564841988952,0.035041274546106296,-1.4479363504263016,0.0868438595169498
45.0,63.0,3.3001930710000003,20.0,1.0,133.0,8.0,58.0,13.0,5.0,4.288484396716236,37.0,75.0,-4.236850509925791,1.3717564841988952,0.11046196092336859,-0.7504720596105204,0.09636668961182036
