stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
87.0,105.0,0.0,3.0,1.0,202.0,56.0,56.0,47.0,-9.0,-7.696162920645861,31.0,146.0,-4.225092406864081,-2.1001734695002745,-0.35324416781426043,-3.0925080689194555,0.002785079179652145
91.0,112.0,3.083887815,4.0,1.0,339.0,116.0,318.0,140.0,24.0,30.125896483776557,-25.0,21.0,1.0791681390046475,-1.5986307992522246,0.021889966328445896,-1.0223507925988307,0.004208197678271498
42.0,43.0,7.466619968,5.0,1.0,194.0,87.0,202.0,105.0,18.0,3.9695975490643036,-45.0,-8.0,-0.8225223993473976,-1.5012643241777928,0.12836393088896902,1.6895367725680464,0.005668382612209617
101.0,107.0,2.867080927,6.0,1.0,283.0,91.0,339.0,112.0,21.0,6.4531381334062985,10.0,-56.0,-2.618104577339509,-1.6227459626638405,-0.37037986508112003,0.5050306459091081,0.007178611785712043
10.0,17.0,0.7833259109999999,7.0,1.0,338.0,42.0,194.0,43.0,1.0,0.12363249367746221,-32.0,144.0,1.934255504609671,-1.4665317771312658,0.38915205867374214,0.49110818219002517,0.008752401851335892
104.0,92.0,2.566488266,8.0,1.0,185.0,101.0,283.0,107.0,6.0,-1.7005703667052217,3.0,-98.0,1.240589028101158,-1.241171716041056,0.2298750512816195,-1.4492500651221056,0.010403949629211668
9.0,16.0,1.700134754,9.0,1.0,174.0,10.0,338.0,17.0,7.0,4.327605534368324,-1.0,-164.0,2.087903981602025,-0.7270947676321642,0.0005615006598827246,2.9202832808857915,0.012148277547934705
14.0,14.0,2.666566849,10.0,1.0,219.0,104.0,185.0,92.0,-12.0,-16.113483010503217,56.0,34.0,0.31729107326351963,-0.253278361097504,0.18009895327131223,4.355144370293835,0.01400138373008303
34.0,30.0,1.682703733,11.0,1.0,1.0,9.0,174.0,16.0,7.0,3.797936138195034,25.0,-173.0,-1.3998120865260022,-0.3772011325096787,-0.21026601075201481,4.1681560522625185,0.015980397057818927
131.0,146.0,2.7006609439999996,12.0,1.0,186.0,14.0,219.0,14.0,0.0,0.9947920704828306,-29.0,-33.0,-0.5996737507185175,-0.5578066366037252,-0.1741627032754593,0.9318237464777313,0.018103737315887204
106.0,106.0,3.533488989,13.0,1.0,236.0,34.0,1.0,30.0,-4.0,-1.5562481307841267,72.0,-125.0,2.840623973979049,-0.020657533471459676,0.38556014931318816,-0.19498229866437244,0.020391280211693275
55.0,55.0,2.950073957,14.0,1.0,58.0,131.0,186.0,146.0,15.0,13.551648025248653,70.0,-128.0,-4.4880670881984,-0.5971973990657357,-0.5090402743096959,3.9089527909388133,0.022864526705030457
92.0,102.0,1.616785765,15.0,1.0,112.0,106.0,236.0,106.0,0.0,-1.6718845294234939,-14.0,-124.0,-1.0940681085351842,-0.8184291925998127,-0.27054041016983105,-0.004188837644876902,0.02554677563247226
25.0,3.0,1.333808899,16.0,1.0,45.0,55.0,58.0,55.0,0.0,1.0430604935201586,-30.0,-13.0,6.023262642244524,-0.7753854100053755,0.6189393230215613,-0.784817371207239,0.028463298071807086
29.0,20.0,2.433428288,17.0,1.0,76.0,92.0,112.0,102.0,10.0,-4.3734157045509505,-63.0,-36.0,-2.101943593158108,-0.6235929213234853,-0.047602222886780045,-2.499830265276651,0.03164151124821587
2.0,141.0,1.683900833,18.0,1.0,197.0,25.0,45.0,3.0,-22.0,-15.332356586534871,-23.0,152.0,-1.8624575999661095,-0.5545144962699917,0.06125357176719931,0.5279721752214764,0.035111149024435184
