stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
44.0,38.0,0.0,4.0,1.0,49.0,123.0,265.0,110.0,-13.0,-1.5478315798143818,67.0,144.0,-3.8692159139925697,1.2557077927542868,-0.4383073090211034,-0.7664784432415407,0.0025750516610573266
146.0,147.0,0.0,5.0,1.0,254.0,133.0,35.0,111.0,-22.0,-17.24277618910153,13.0,-141.0,-5.285090104623791,1.4457216556528254,-0.37523112864929514,-0.3693277032764072,0.003904127470965016
30.0,19.0,0.0,6.0,1.0,234.0,117.0,48.0,101.0,-16.0,-6.830067641146233,59.0,-174.0,-4.777453892010813,1.592985304865145,-0.5181998892062007,0.9199837060990109,0.005283900350622159
135.0,137.0,3.300072908,7.0,1.0,146.0,44.0,49.0,38.0,-6.0,-6.31997637569895,-55.0,97.0,-0.8167012486355955,1.3376794503152316,-0.11692626870070774,-1.0506701544463266,0.0067326812598227535
23.0,25.0,2.317329884,8.0,1.0,264.0,146.0,254.0,147.0,1.0,6.386419423110777,23.0,10.0,-2.059913172120496,1.566449556025943,-0.10931254219495311,-1.43393943882739,0.008270025133200814
142.0,140.0,1.6167862419999999,9.0,1.0,147.0,30.0,234.0,19.0,-11.0,-13.010018571347906,-34.0,-87.0,-3.9375025083595183,1.135758195435126,-0.290683204006953,0.8404616805109288,0.009917084461280146
110.0,124.0,1.8503930569999998,10.0,1.0,52.0,135.0,146.0,137.0,2.0,4.886008991016144,-25.0,-94.0,-0.9813019821723952,0.9361629049936435,-0.11631485021391798,-0.9498175776867634,0.011696991874350474
138.0,142.0,2.566482067,11.0,1.0,242.0,23.0,264.0,25.0,2.0,2.3356809314634113,-31.0,-22.0,-2.337107682344856,0.9680384006496084,-0.19829514700704085,1.2850584953534534,0.013635278097063361
88.0,94.0,2.650411844,12.0,1.0,258.0,142.0,147.0,140.0,-2.0,-1.1634346259540251,-54.0,111.0,-5.440649357697318,0.7910233131062671,-0.3756828195396598,0.12417492133677073,0.015760331891196966
79.0,100.0,2.8504979610000003,13.0,1.0,187.0,110.0,52.0,124.0,14.0,15.234366604836506,-31.0,135.0,-3.8508175460481735,0.6934553556260358,-0.2984230285742297,-1.5659603090346956,0.01810390883925562
81.0,82.0,4.583461046,14.0,1.0,332.0,138.0,242.0,142.0,4.0,4.818079499755179,-57.0,90.0,-2.8907916213048623,0.8476724553770889,-0.25701492033781526,1.9927877414145407,0.020701696010078315
118.0,85.0,2.283322096,15.0,1.0,264.0,88.0,258.0,94.0,6.0,-8.564567918292756,30.0,6.0,-2.16912315993844,0.7606433271848064,-0.2481567133592154,0.01569250422270296,0.023593939647694323
35.0,33.0,2.099830866,16.0,1.0,38.0,79.0,187.0,100.0,21.0,12.906530923891552,-44.0,-149.0,-2.91166018091614,0.9068217348771839,-0.3088276338591886,-1.0417326171356085,0.026826142983278716
41.0,46.0,4.017532349,17.0,1.0,3.0,81.0,332.0,82.0,1.0,-8.905639082048527,-40.0,31.0,-4.109424131439215,0.8628544452616211,-0.4480340672357759,0.2166388496410787,0.030449841020878856
31.0,50.0,3.949364901,18.0,1.0,177.0,118.0,264.0,85.0,-33.0,-23.09275532059833,59.0,-87.0,-3.980261377059973,1.4742123698658345,-0.4371275280586548,1.1142634894866774,0.03452345860875271
53.0,56.0,3.683828831,19.0,1.0,236.0,35.0,38.0,33.0,-2.0,-4.4433725986056025,18.0,-162.0,-3.976719163131474,1.1536615089021087,-0.28733583303531174,0.38208148243669465,0.039113257180172785
94.0,103.0,3.084054947,20.0,1.0,87.0,41.0,3.0,46.0,5.0,3.6278265043286417,53.0,84.0,-1.3374521712647118,1.4738381891195973,-0.18558886348634138,1.2135257690228294,0.04429437411134633
85.0,93.0,4.283463955,21.0,1.0,220.0,31.0,177.0,50.0,19.0,16.806681082166875,54.0,43.0,-3.0176915193319362,1.1305435396986472,-0.3917574261899127,-0.6825774079601697,0.05015195655961075
95.0,109.0,2.8337240219999997,22.0,1.0,280.0,53.0,236.0,56.0,3.0,6.238960210130744,42.0,44.0,-4.090911645000197,-0.10819592062990482,-0.3368711098307402,0.6980850575258695,0.05678238875060252
122.0,115.0,2.53335309,23.0,1.0,317.0,94.0,87.0,103.0,9.0,-5.967818961199992,28.0,-130.0,-2.26376565485028,-0.32513901435642434,-0.31794733246557605,0.9908236466243695,0.06429460779603277
5.0,142.0,5.849199772,24.0,1.0,253.0,85.0,220.0,93.0,8.0,-4.99596621543332,66.0,33.0,-3.710355097252518,-0.3804227250464791,-0.36930931351942203,-0.8193557839895431,0.07281149804297947
139.0,140.0,2.733940125,25.0,1.0,309.0,95.0,280.0,109.0,14.0,-0.6343637614463553,44.0,29.0,-2.198742240645651,-0.5260733088371546,-0.3035395775333653,-0.4171376696968431,0.08247134746676073
7.0,12.0,5.067022799999999,26.0,1.0,235.0,122.0,317.0,115.0,-7.0,4.445151159014255,31.0,-82.0,-3.858812707415536,-0.6858363755602414,-0.42092541266314726,-0.5413190276451009,0.09342934150304916
101.0,114.0,3.083181143,27.0,1.0,154.0,5.0,253.0,142.0,-9.0,-1.1351219011371958,-50.0,-99.0,-3.3041806160007647,-1.0103018495299902,-0.22793352597375668,2.7381793675382373,0.10585905975902404
127.0,115.0,2.1180682180000003,28.0,1.0,28.0,139.0,309.0,140.0,1.0,1.4627026441404887,-12.0,79.0,-5.526605641511412,-1.4682087695793944,-0.46916296430874593,0.16684035839885378,0.11995392906146739
91.0,107.0,1.5328590869999998,29.0,1.0,357.0,7.0,235.0,12.0,5.0,12.199058885017886,-62.0,122.0,-4.453943856296974,-1.6598345789029056,-0.3089203167228885,-0.2933947196818408,0.1359285721542543
6.0,25.0,1.350528955,30.0,1.0,45.0,101.0,154.0,114.0,13.0,2.72400821184063,51.0,-109.0,-4.1170077641867495,-2.029226659494701,-0.4341379908538883,-1.3244115361587498,0.15401997499066045
144.0,138.0,4.683954,31.0,1.0,283.0,127.0,28.0,115.0,-12.0,-1.9928763891030918,17.0,-105.0,-3.7502187987759235,-1.991726666082284,-0.2584237273343056,-0.6958445412772153,0.17448837703658182
60.0,46.0,5.932993889,32.0,1.0,226.0,91.0,357.0,107.0,16.0,0.7334192795759513,-31.0,-131.0,-2.444161352972205,-2.028644209089629,-0.2244709872806245,-1.092221576578125,0.1976177685304415
126.0,116.0,2.450572729,33.0,1.0,68.0,6.0,45.0,25.0,19.0,26.539266676599738,-26.0,23.0,-3.9081053543744453,-2.00589117917914,-0.29668531389054387,-0.8200821193601951,0.2237158566687497
112.0,99.0,1.366731167,34.0,1.0,108.0,144.0,283.0,138.0,-6.0,-3.491023516698707,-32.0,-175.0,-2.806837210246159,-1.967287483339197,-0.3456771741743772,1.1890967478957744,0.25311333990624674
132.0,126.0,4.233540058,35.0,1.0,83.0,60.0,226.0,46.0,-14.0,-9.787713268065202,72.0,-143.0,-2.0904081846387874,-2.1772925316227303,-0.30638391072656346,0.04355474333046187,0.2861623070051509
19.0,5.0,6.133494139,36.0,1.0,232.0,126.0,68.0,116.0,-10.0,0.5757799836694417,39.0,164.0,-2.5660633029910622,-1.5687843803648969,-0.14806106117457593,-1.6482456537396744,0.3232335565469582
16.0,22.0,2.249898911,37.0,1.0,0.0,112.0,108.0,99.0,-13.0,-9.13809720310305,50.0,-108.0,-4.796566361024079,-0.8559290462759536,-0.3828969924742719,-0.5392925676002241,0.36471261516229
102.0,100.0,1.4833688740000002,38.0,1.0,190.0,132.0,83.0,126.0,-6.0,-0.2594351740569465,-30.0,107.0,-3.972811773094849,-0.7600685668123922,-0.18550115836260517,-2.8176255502025778,0.4109942210156858
36.0,22.0,1.183697224,39.0,1.0,99.0,19.0,232.0,5.0,-14.0,-11.839884744981514,17.0,-133.0,-3.42731173922077,-0.6329668917247006,-0.2519281258333217,0.22400888262948046,0.462475035821064
141.0,146.0,1.2003531459999999,40.0,1.0,198.0,16.0,0.0,22.0,6.0,9.555830309776853,-21.0,-162.0,-3.9084317180628347,-0.5260816081935373,-0.275166095900949,-1.0620182672577956,0.5195443569741937
8.0,108.0,2.351204872,41.0,1.0,118.0,102.0,190.0,100.0,-2.0,-11.202148860093125,52.0,-72.0,-2.200134920870881,0.0664320931580256,-0.3678802396313871,1.9458774376028585,0.5825726246826164
70.0,65.0,4.3670170310000005,42.0,1.0,100.0,36.0,99.0,22.0,-14.0,-16.38114594357173,34.0,1.0,-1.8216857856169846,-0.0038016948569608404,-0.22115367704370087,0.3914679562115505,0.6518975607956171
11.0,135.0,2.5157339569999997,43.0,1.0,299.0,141.0,198.0,146.0,5.0,5.445316351796716,16.0,101.0,-1.435611939433203,0.0842065127574211,-0.16003358515525776,0.5334915470090071,0.7278078398250638
50.0,46.0,1.883156061,45.0,1.0,45.0,70.0,100.0,65.0,-5.0,-5.0322884037947055,-20.0,-55.0,-3.3911972143115166,0.19658048512279766,-0.10973972216992645,-1.6428542488261666,0.8105242814132289
17.0,21.0,4.334069014,46.0,1.0,311.0,11.0,299.0,135.0,-22.0,-16.29282199126292,6.0,12.0,-1.2281425635787462,0.050643397077675296,-0.07144225243549175,-1.1484494323752807,0.9001786694307091
