stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
49.0,48.0,0.0,3.0,1.0,108.0,62.0,68.0,102.0,40.0,45.3008700963521,-13.0,40.0,0.05860792757798228,-2.612283211719622,0.07413286449013562,0.2521124620018346,0.0036159139377546583
146.0,146.0,5.432696818999999,4.0,1.0,153.0,119.0,224.0,109.0,-10.0,-0.9352706879804771,27.0,-71.0,-2.02436577968034,-2.4299135599175754,-0.05226876405644459,-0.2273411127933229,0.005463572005000179
22.0,23.0,1.482838869,5.0,1.0,257.0,49.0,108.0,48.0,-1.0,2.211411988795817,-27.0,149.0,-1.1434165393189946,-1.9437078460727941,0.00031184374689820096,1.3581155607204018,0.00735935403260971
106.0,110.0,5.582537889,6.0,1.0,157.0,146.0,153.0,146.0,0.0,-5.6510541228087305,-40.0,4.0,-2.4803495989762507,-1.529485599832408,-0.24781925924584017,1.380693252863259,0.009320109316495866
3.0,119.0,12.36618996,7.0,1.0,243.0,22.0,257.0,23.0,1.0,-0.47013088200779407,-19.0,-14.0,0.3573020393792234,-0.5782771363859144,0.12520623914136164,3.868872044056048,0.011363386748163725
95.0,113.0,3.351524115,8.0,1.0,323.0,106.0,157.0,110.0,4.0,3.2783207888058428,-11.0,166.0,1.0283000501197026,0.23202457761786724,0.45295801225719423,0.7667443097261939,0.013507618291824088
139.0,131.0,1.1330029959999999,9.0,1.0,354.0,3.0,243.0,119.0,-30.0,-23.05322041654893,-10.0,111.0,-1.962704580578267,1.1128502959763305,0.05712454669673799,0.9582967924948909,0.015772307812685984
84.0,101.0,4.500772953,10.0,1.0,214.0,95.0,323.0,113.0,18.0,11.232935087059438,-11.0,-109.0,0.38449478348971305,1.4347004323565398,0.11036101560250537,-0.18590842445761502,0.018178225935443788
67.0,85.0,1.8507149219999999,11.0,1.0,189.0,139.0,354.0,131.0,-8.0,-4.868100808759294,-72.0,-165.0,-3.3422356461716167,2.0776676048399505,-0.18511217836547483,1.3838312873907912,0.020747611368488628
137.0,130.0,6.850288152999999,12.0,1.0,225.0,84.0,214.0,101.0,17.0,12.723455599944984,53.0,11.0,-3.3739772093047944,2.6731995266078097,-0.24216735809631082,5.761530402917772,0.023504378820187008
51.0,49.0,5.349924803,13.0,1.0,226.0,67.0,189.0,85.0,18.0,22.53138636012116,-16.0,37.0,-0.9842546142192583,2.6253399198414797,0.24179019532095725,2.5882797718985073,0.02647433324715219
104.0,107.0,5.583666325,14.0,1.0,177.0,137.0,225.0,130.0,-7.0,-2.596069565020116,-33.0,-48.0,-0.8260129618606171,2.7070857050946,-0.08983562674186422,4.208963318425138,0.029685389697803627
45.0,33.0,5.516360044,15.0,1.0,247.0,51.0,226.0,49.0,-2.0,1.7375837580284141,-6.0,21.0,-0.49553803247357653,2.495873740976662,0.0519296771976303,3.1328185967286695,0.033167797433444036
133.0,63.0,2.317382813,16.0,1.0,83.0,104.0,177.0,107.0,3.0,0.6577956386373955,29.0,-94.0,-0.5182430522125802,2.716044279770439,0.04703550790567627,-0.6068316939549862,0.036954366308461925
37.0,31.0,2.799952984,17.0,1.0,102.0,45.0,247.0,33.0,-12.0,-9.837532958375949,-8.0,-145.0,-2.2115078949751004,2.71614110044426,0.016457934813449655,4.166667237554906,0.04108069255557152
145.0,18.0,3.316486835,19.0,1.0,99.0,37.0,102.0,31.0,-6.0,-5.511483523572217,-38.0,-3.0,-2.741640593360056,1.6401089726693987,-0.348582557458615,2.799938422042578,0.04558538013598492
6.0,9.0,2.466732979,20.0,1.0,65.0,125.0,176.0,110.0,-15.0,-5.118897489729434,27.0,-111.0,1.441774052496909,1.6712597400175488,0.1491904403028091,0.9066537293015087,0.05051025266405587
80.0,13.0,2.30009985,21.0,1.0,67.0,145.0,99.0,18.0,19.0,15.546904177179925,-65.0,-32.0,-3.8505012871460504,2.8252372916023436,-0.2441440965094287,3.844488092918554,0.05590054958962856
41.0,38.0,1.866473913,22.0,1.0,193.0,6.0,65.0,9.0,3.0,6.791994864342197,35.0,128.0,-1.3294832054853527,2.8671160949049934,-0.09399630123923824,0.1581359773993388,0.061805098811412586
92.0,23.0,10.38310075,24.0,1.0,102.0,41.0,193.0,38.0,-3.0,-1.7646432281892181,51.0,-91.0,1.7754084835794306,2.8671160949049934,0.19025729376476194,-0.09204910565091357,0.0682764561993549
109.0,109.0,2.332956076,25.0,1.0,107.0,20.0,165.0,14.0,-6.0,-7.621042669195816,-57.0,-58.0,2.669133437414938,2.5101565383669144,0.5033213513763479,-0.5793973518866614,0.07537100062945634
132.0,123.0,3.21658206,27.0,1.0,274.0,109.0,107.0,109.0,0.0,1.8929942143921892,23.0,167.0,-0.3265760202213058,2.9742574205790615,0.11804669039161032,1.8342129040750594,0.08314897109775875
131.0,118.0,3.250237942,28.0,1.0,346.0,19.0,51.0,20.0,1.0,-0.6590814500721898,-34.0,-65.0,1.8303720727429338,3.3461802887118206,0.17255120203657326,1.1249966654599508,0.09167443031202961
86.0,104.0,1.600375175,29.0,1.0,58.0,132.0,274.0,123.0,-9.0,-1.7016381788530452,-46.0,144.0,1.9675777837195083,3.3474622558082383,0.13774177669914725,-2.0317156620185575,0.10101513690767999
