stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
11.0,26.0,4.04987812,2.0,1.0,77.0,87.0,170.0,46.0,-41.0,-45.40801121789199,70.0,-93.0,-2.4178170026807515,0.4272383172590058,0.09664816733050305,-1.504972878059997,-0.0017089244711748278
97.0,80.0,4.700180054,3.0,1.0,85.0,11.0,77.0,26.0,15.0,14.074274798543065,-60.0,8.0,1.599626901296937,0.27412686591271873,0.1022270681580544,0.43210720132414926,-0.0025877484937055304
131.0,142.0,2.749785185,4.0,1.0,256.0,97.0,85.0,80.0,-17.0,-17.492805868671987,34.0,171.0,1.0870802538726287,0.27412686591271873,0.0709264395400224,-0.8808468084334353,-0.003496227078214237
7.0,104.0,3.450253963,5.0,1.0,68.0,131.0,256.0,142.0,11.0,3.144753494313157,22.0,172.0,3.6347036362611407,0.256569742087516,0.10551638073930912,-0.9929134983882281,-0.004444952376100516
26.0,64.0,0.033504009,6.0,1.0,175.0,7.0,68.0,104.0,-49.0,-50.21484287878794,19.0,107.0,0.4227812073457271,0.4638625469048428,0.22053054070841618,-0.45730993766454303,-0.005445136011873742
125.0,137.0,1.9336709980000002,7.0,1.0,136.0,26.0,175.0,64.0,38.0,43.16383839128664,-47.0,-39.0,0.7832468536452935,2.275974951785125,0.1346527748952632,-3.0355506566844235,-0.006508780503604276
79.0,85.0,5.082980871,8.0,1.0,31.0,125.0,136.0,137.0,12.0,8.031289669234205,-46.0,-105.0,-0.4416259971244683,2.3047010046127587,-0.02223235988913273,-1.9329866996809368,-0.007648861750248859
114.0,80.0,1.617341995,9.0,1.0,172.0,79.0,31.0,85.0,6.0,2.2956144389879327,35.0,141.0,-1.7164884962437212,2.4200641843064057,-0.014946269647291144,0.4736397864494048,-0.008879524806027193
25.0,23.0,2.2999629969999997,10.0,1.0,301.0,114.0,172.0,80.0,-34.0,-27.477831102933898,57.0,129.0,-0.455045254445418,2.480191424357922,0.1487126287059499,-0.6526521165761054,-0.01021629513230013
86.0,84.0,2.333483934,11.0,1.0,139.0,25.0,301.0,23.0,-2.0,3.43317874092201,61.0,-162.0,0.8980400473971741,1.6467433131535976,0.14090770325031207,-0.04035589655003159,-0.011676307453006109
101.0,98.0,1.449687004,12.0,1.0,153.0,86.0,139.0,84.0,-2.0,-6.4659933273852985,15.0,14.0,-2.2735334266005793,2.6556424253943716,0.21251530448429698,-1.575123216165551,-0.01327855422500101
31.0,21.0,2.86633873,13.0,1.0,100.0,101.0,153.0,98.0,-3.0,-0.6542619879474856,-70.0,-53.0,4.854431122176565,2.756829261746035,0.18898535737153022,-0.4721556909283502,-0.015044155550432627
17.0,16.0,3.249624252,14.0,1.0,352.0,31.0,100.0,21.0,-10.0,-7.545902131481206,-14.0,-108.0,0.6184675867151994,2.886322579372621,-0.02591754440832247,-1.73580371396639,-0.016996652081419667
10.0,11.0,2.9005661010000003,15.0,1.0,263.0,17.0,352.0,16.0,-1.0,2.3501988896945036,-7.0,-89.0,-0.2349675463738809,3.3198958260834632,0.2228571296569822,-0.6974143329574909,-0.019162322070305788
55.0,53.0,2.850250959,16.0,1.0,102.0,10.0,263.0,11.0,1.0,-0.36479959145292185,45.0,-161.0,3.336058512435074,3.593777044983777,0.19138864342906625,-1.6374857039349155,-0.02157052316947551
119.0,119.0,3.849765778,17.0,1.0,12.0,55.0,102.0,53.0,-2.0,-7.692639799312396,64.0,-90.0,-0.6808838116768104,3.557350176507141,0.017201911317847103,-1.7751136714059577,-0.024254058846181502
94.0,103.0,2.5332629680000003,18.0,1.0,216.0,119.0,12.0,119.0,0.0,2.9154746642389213,-25.0,-156.0,-1.9674970473121227,3.345055512862548,0.30018299595153763,2.292676101279074,-0.027249568308326245
100.0,74.0,2.566549063,19.0,1.0,101.0,94.0,216.0,103.0,9.0,6.717910479627129,6.0,-115.0,-2.176570585688072,3.9971821712378746,-0.04248871030589888,-2.6990744287664974,-0.03059793759059656
84.0,83.0,2.316910982,20.0,1.0,206.0,100.0,101.0,74.0,-26.0,-24.383371634902666,-16.0,105.0,0.7207591137380724,3.3551546125489837,0.2423875145478289,-3.591055803331976,-0.03434472787721615
61.0,58.0,1.6669280530000001,21.0,1.0,171.0,84.0,206.0,83.0,-1.0,-5.427120326512899,-23.0,-35.0,-4.344184944598546,3.0900183525836376,-0.20912951734385918,-3.133531568588866,-0.03854061518629909
44.0,69.0,3.800035715,22.0,1.0,6.0,61.0,171.0,58.0,-3.0,-6.807042448089739,-17.0,-165.0,0.9870087886920513,1.9350392335293267,0.2847332255730821,-1.5649531781453576,-0.043241833160051146
42.0,56.0,1.233630896,23.0,1.0,278.0,44.0,6.0,69.0,25.0,19.00438868950797,-2.0,-88.0,1.599880037734333,1.3260648729871922,-0.005855166309293627,-1.1593793953058285,-0.048510607847032476
48.0,53.0,2.083956003,24.0,1.0,12.0,42.0,278.0,56.0,14.0,8.806077472020313,6.0,94.0,1.3707840272416454,2.0145620569697487,0.20226917799555208,-2.087761243777216,-0.054415569987384456
4.0,18.0,1.884115934,25.0,1.0,312.0,48.0,12.0,53.0,5.0,-1.7332686581865246,-44.0,-60.0,0.4533193012819536,2.2117904247647173,0.12837005705212257,-3.7097404381972225,-0.06103212639287885
57.0,54.0,2.9498322010000004,26.0,1.0,135.0,4.0,312.0,18.0,14.0,16.416442838600474,53.0,-177.0,-3.395742732247195,2.2117904247647173,0.13786588123325755,-1.763048820928566,-0.06844276754512932
63.0,45.0,2.9165880680000003,27.0,1.0,158.0,57.0,135.0,54.0,-3.0,-8.077750231191295,6.0,23.0,3.8675679594055388,3.2511117172808115,0.2465734768916613,-1.5691520273082267,-0.07673728354097141
27.0,26.0,1.13351512,28.0,1.0,204.0,63.0,158.0,45.0,-18.0,-21.260256424817705,-36.0,46.0,-2.0325715626676373,3.3864724425262,0.061600392014265766,-2.618845410797662,-0.08601285505709896
128.0,143.0,0.73337698,29.0,1.0,222.0,27.0,204.0,26.0,-1.0,3.7888876834333374,-45.0,18.0,0.9229950135983511,3.4263914036796916,0.29753061239375406,-1.9082380691765215,-0.09637398020088779
