stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,DoVM_values,bootstrap_values,Running_Mean,slopes,intercepts
34.0,137.0,0.10022401800000001,1.0,1.0,143.0,117.0,239.0,97.0,-20.0,-6.211277430518969,65.0,-96.0,0.04922669602823841,4.103182899999941,-2.7660189840216227,0.06016378675431609,-0.06617797846765382
138.0,48.0,1.249753952,4.0,1.0,245.0,96.0,2.0,109.0,13.0,2.8544235651967043,42.0,-117.0,0.5080004020244709,0.8915276232795508,-4.305787537502535,-0.4889429314494789,3.3619739485893394
134.0,44.0,4.049585819,5.0,1.0,111.0,52.0,111.0,65.0,13.0,10.165905420360737,-66.0,0.0,-0.04313045904724123,2.6456218982078115,-4.663433810191514,0.023417011232194588,-0.5746937545558233
52.0,65.0,6.699443817000001,7.0,1.0,111.0,28.0,95.0,35.0,7.0,11.209335813916255,24.0,16.0,1.8548435522243165,2.215197902973181,-3.394747355092427,-0.08875190224581268,1.103182393034902
62.0,145.0,4.60065794,8.0,1.0,67.0,76.0,270.0,67.0,-9.0,-7.266170753815054,-14.0,157.0,-2.2023260246145564,1.8132098398694334,-2.255747683704843,-0.2551303783217479,-1.4415050009981452
28.0,35.0,6.750436783,9.0,1.0,95.0,57.0,33.0,52.0,-5.0,-3.903810955882826,-29.0,62.0,-1.4158557074178453,3.9660313732624894,-1.5955325181166087,-0.032081221232677995,-0.11245653688521409
76.0,67.0,2.002812862,10.0,1.0,270.0,144.0,141.0,1.0,5.0,2.354418396172725,-68.0,129.0,-0.032048769755099904,1.1069979544191477,-2.0066230448038382,-0.15601699913196676,-2.670398343607933
57.0,52.0,2.4006600380000003,11.0,1.0,33.0,107.0,313.0,107.0,0.0,5.491737852532573,-50.0,80.0,-0.23967296044332123,4.5833218227654475,-0.8810577317200295,-0.07263272373215862,0.6942922305155751
144.0,1.0,3.051329851,12.0,1.0,141.0,91.0,294.0,111.0,20.0,8.36248321120349,53.0,-153.0,0.1788285538724696,-1.349477920401645,-1.1324898342454173,-0.3210463204610074,-0.6376051241612374
107.0,107.0,2.566616058,13.0,1.0,313.0,33.0,90.0,34.0,1.0,1.9767416625644354,-74.0,-137.0,-0.004270880566708909,3.9893767611727533,-1.0938198332713887,-0.03538488427214846,-3.5976284142142525
91.0,111.0,1.81577301,14.0,1.0,294.0,43.0,301.0,41.0,-2.0,-7.245827296225507,48.0,-7.0,0.2904833694303389,2.2656358362267994,-0.4057986643344043,-0.18718242783538264,-0.1851214887976129
33.0,34.0,2.349342108,15.0,1.0,90.0,83.0,188.0,94.0,11.0,4.966371502962069,-50.0,-98.0,-0.23967296044332123,0.3674343038568697,-0.8140681640131159,-0.19015754048616565,-1.2826947223873406
