stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
67.0,72.0,2.899034023,1.0,1.0,199.0,58.0,0.0,70.0,12.0,12.89991128525977,9.0,-161.0,2.8771616177508124,-0.14585759237366513,0.21378745166155078,-0.14127709022905524,-0.009953624318551154
58.0,70.0,2.149815083,2.0,1.0,0.0,57.0,331.0,76.0,19.0,19.925232655995167,1.0,29.0,2.2628163302854944,-0.05847346420091335,0.17434514864582393,-0.2101803185545482,-0.015039722767535148
133.0,78.0,4.3158438210000005,4.0,1.0,235.0,135.0,277.0,143.0,8.0,4.903949621591304,-2.0,-42.0,2.659031861558251,-0.029940179487492006,0.17992537990905413,-0.2956054740552329,-0.020258293346773
135.0,143.0,3.1833908560000004,5.0,1.0,277.0,127.0,29.0,144.0,17.0,20.95396674403387,8.0,-112.0,3.2450637054303106,-0.09273656383758973,0.23408233287855365,-0.7800269871506911,-0.025655717569879277
127.0,144.0,1.09988308,6.0,1.0,29.0,25.0,171.0,26.0,1.0,3.3769163494760708,-44.0,-142.0,3.151687096975463,-0.47141601545455125,0.24316103348744286,-0.10749439277228982,-0.03128030274622059
25.0,26.0,4.300511122,7.0,1.0,171.0,101.0,160.0,104.0,3.0,-0.14064075043920887,70.0,11.0,3.3055524750733762,-0.7068252025280629,0.19540542297019473,-0.701710980584645,-0.03718278704333891
101.0,104.0,11.38290095,8.0,1.0,160.0,131.0,301.0,140.0,9.0,9.028737251733768,-30.0,-141.0,2.294327809391336,-0.5959078385055209,0.11884977501102834,-1.4247233838673856,-0.043416859279711215
131.0,140.0,3.53169179,9.0,1.0,301.0,5.0,67.0,5.0,0.0,3.5079028279545064,-20.0,-126.0,3.1907850928366113,-0.33681611044708626,0.2811532249889051,0.056117289547381315,-0.05003969531698904
5.0,5.0,3.316788912,10.0,1.0,67.0,122.0,82.0,12.0,36.0,43.79560261483349,29.0,-15.0,2.0551011429489208,-0.42123020597195954,0.15990872812382242,-0.9316623903645079,-0.057112512250612764
122.0,12.0,5.683295965,11.0,1.0,82.0,108.0,89.0,112.0,4.0,7.7408105073943805,14.0,-7.0,2.2128183950110167,-0.5142230841388792,0.13653580321686043,0.01607808472153363,-0.06470114074658798
108.0,112.0,3.232711792,12.0,1.0,89.0,126.0,350.0,111.0,-15.0,-10.120729365868405,-18.0,99.0,2.2757448057280545,-0.4233054760028682,0.17295676852042036,0.19459507834180623,-0.07287661480850983
126.0,111.0,3.763752222,13.0,1.0,350.0,30.0,187.0,32.0,2.0,2.9048129876197937,-50.0,163.0,2.8448077392959203,-0.34223259631044145,0.21335628836515041,-0.6002437394758967,-0.08171577694688863
30.0,32.0,1.09992075,14.0,1.0,187.0,128.0,190.0,111.0,-17.0,-14.015619035746075,48.0,-3.0,2.8002825978193564,-0.5156470183710217,0.22653810726104545,-0.7599073589463866,-0.09130189512331405
128.0,111.0,12.28266764,15.0,1.0,190.0,80.0,100.0,72.0,-8.0,-16.084269069044716,48.0,90.0,3.26143430017981,-0.5304522370791902,0.21981824788521576,-1.03092806636324,-0.10172528591337533
80.0,72.0,9.433410882999999,16.0,1.0,100.0,138.0,237.0,31.0,39.0,35.03088647423275,-58.0,-137.0,2.1482907503818574,-0.6907668704121478,0.10238000339328378,0.12210718389429995,-0.11308393603181158
138.0,31.0,4.436342955,17.0,1.0,237.0,124.0,227.0,105.0,-19.0,-12.476119209247562,14.0,10.0,2.3553634724182597,-1.044307517775157,0.18881943501187115,-0.24355415318562623,-0.125484111649131
124.0,105.0,3.499443769,18.0,1.0,227.0,63.0,210.0,66.0,3.0,3.161745281928484,61.0,17.0,2.1352271470692443,-0.8964958346501037,0.16124905895035693,-0.5898587208655397,-0.13904094176232257
