stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
98.0,10.0,8.434113979,1.0,1.0,281.0,54.0,237.0,48.0,-6.0,-6.0,44.0,0.3483792381882319,3.66899228002752,-1.4838709677419355
124.0,141.0,8.965801001,2.0,1.0,102.0,22.0,358.0,17.0,-5.0,-5.0,-46.0,-0.27003053623274165,14.942910957240594,-2.142857142857143
54.0,48.0,12.33266401,3.0,1.0,237.0,97.0,106.0,104.0,7.0,7.0,-43.0,-0.3954124674508914,9.783439635381333,-2.310344827586207
22.0,17.0,5.8831439020000005,4.0,1.0,358.0,73.0,33.0,106.0,33.0,33.0,-51.0,-0.14248225416427507,8.16792016693377,-2.2
97.0,104.0,2.617584944,5.0,1.0,106.0,19.0,232.0,19.0,0.0,0.0,-70.0,-0.009917937819139662,-6.667837928607884,2.4642857142857144
73.0,106.0,4.980408192,6.0,1.0,33.0,113.0,255.0,118.0,5.0,5.0,-40.0,-0.5753041973919234,13.540804107568938,2.7666666666666666
19.0,19.0,6.4028530120000005,7.0,1.0,232.0,144.0,326.0,141.0,-3.0,-3.0,23.0,3.26855291378238,6.81931751764368,3.193548387096774
113.0,118.0,1.082783937,8.0,1.0,255.0,49.0,235.0,50.0,1.0,1.0,64.0,0.026841666667133286,9.610886441717733,3.129032258064516
144.0,141.0,7.333853006,9.0,1.0,326.0,50.0,114.0,37.0,-13.0,-13.0,-54.0,-0.09727394495861265,6.444189770684408,3.3214285714285716
49.0,50.0,4.582386017,10.0,1.0,235.0,62.0,90.0,57.0,-5.0,-5.0,-13.0,-4.649436299144927,7.82789463788185,2.6666666666666665
50.0,37.0,5.933133841,11.0,1.0,114.0,106.0,3.0,96.0,-10.0,-10.0,-56.0,-0.0755080023955176,11.025879735396527,1.8064516129032258
62.0,57.0,2.819470882,12.0,1.0,90.0,128.0,202.0,145.0,17.0,17.0,-66.0,-0.020162413595085072,5.550590478008062,2.8
106.0,96.0,8.116642952000001,13.0,1.0,3.0,85.0,14.0,94.0,9.0,9.0,21.0,3.710812943101345,2.6327160025987975,2.7941176470588234
128.0,145.0,2.765799046,14.0,1.0,202.0,135.0,20.0,61.0,-74.0,-74.0,-7.0,-3.4711300189747476,5.894334434531065,3.0555555555555554
85.0,94.0,3.8338108060000002,15.0,1.0,14.0,136.0,45.0,147.0,11.0,11.0,-51.0,-0.14248225416427507,6.174562570650953,5.404761904761905
135.0,61.0,6.883448124,16.0,1.0,20.0,58.0,134.0,53.0,-5.0,-5.0,-71.0,-0.007778950451018039,1.655148504560594,6.2439024390243905
136.0,147.0,7.166296721,17.0,1.0,45.0,33.0,161.0,71.0,38.0,38.0,-45.0,-0.306773406184683,4.032337778893221,5.947368421052632
58.0,53.0,4.033502102,18.0,1.0,134.0,56.0,190.0,52.0,-4.0,-4.0,2.0,1.1239086604248791,7.553747880258729,4.85
33.0,71.0,11.11633396,19.0,1.0,161.0,112.0,354.0,46.0,-66.0,-66.0,69.0,0.01219173349503947,5.052698516265148,5.075
56.0,52.0,1.050533772,20.0,1.0,190.0,3.0,352.0,142.0,-9.0,-9.0,53.0,0.11044304700944316,4.7833430510438095,5.340909090909091
112.0,46.0,2.9030232430000003,21.0,1.0,354.0,9.0,257.0,11.0,2.0,2.0,-45.0,-0.306773406184683,5.912477922707101,5.2727272727272725
3.0,142.0,7.26702404,22.0,1.0,352.0,95.0,173.0,103.0,8.0,8.0,56.0,0.0755080023955176,5.968497263704026,5.177777777777778
9.0,11.0,1.148738146,23.0,1.0,257.0,26.0,54.0,3.0,-23.0,-23.0,-17.0,-4.428043741540787,4.119761252843946,5.914893617021277
95.0,103.0,7.249805927000001,24.0,1.0,173.0,32.0,73.0,32.0,0.0,0.0,63.0,0.030739942793674174,10.575527665839374,5.404255319148936
26.0,3.0,3.080808163,25.0,1.0,54.0,21.0,89.0,4.0,-17.0,-17.0,5.0,2.6499752429207755,7.197644088217276,5.446808510638298
