stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
67.0,72.0,4.49972105,1.0,1.0,199.0,57.0,331.0,76.0,19.0,19.0,10.0,1.5615044117776298,1.5809502941043527,0.1172069825436409
58.0,70.0,4.3158438210000005,2.0,1.0,0.0,133.0,235.0,78.0,-55.0,-55.0,73.0,0.006912865331643145,2.2981783382372516,-0.025252525252525252
57.0,76.0,3.1833908560000004,3.0,1.0,331.0,135.0,277.0,143.0,8.0,8.0,70.0,0.017821294158786673,1.972234953637826,0.19950124688279303
133.0,78.0,1.09988308,4.0,1.0,235.0,127.0,29.0,144.0,17.0,17.0,6.0,1.0664189521771856,1.8967389135562398,0.03015075376884422
135.0,143.0,4.300511122,5.0,1.0,277.0,25.0,171.0,26.0,1.0,1.0,-38.0,-0.5867651268884999,1.9076245200121353,0.3647959183673469
127.0,144.0,11.38290095,6.0,1.0,29.0,101.0,160.0,104.0,3.0,3.0,26.0,1.3764547701564203,1.3248456825199053,0.13670886075949368
25.0,26.0,3.53169179,7.0,1.0,171.0,131.0,301.0,140.0,9.0,9.0,42.0,0.4125925716475134,1.5094794502162057,0.18298969072164947
101.0,104.0,3.316788912,8.0,1.0,160.0,5.0,67.0,5.0,0.0,0.0,-52.0,-0.15962920286234142,1.2905056116346045,-0.03076923076923077
131.0,140.0,5.683295965,9.0,1.0,301.0,122.0,82.0,12.0,38.0,38.0,9.0,1.4601315950961686,2.8349127133612306,0.15584415584415584
5.0,5.0,3.232711792,10.0,1.0,67.0,108.0,89.0,112.0,4.0,4.0,45.0,0.31283776816795317,1.4731628297754555,-0.14427860696517414
122.0,12.0,3.763752222,11.0,1.0,82.0,126.0,350.0,111.0,-15.0,-15.0,-4.0,-0.7405992568886115,2.3117991262945976,-0.17298578199052134
