stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
40.0,45.0,1.632387877,1.0,1.0,121.0,18.0,316.0,18.0,0.0,0.0,22.0,1.6352648063046785e-07,1.474672387098753,2.5652173913043477
45.0,38.0,7.015926123,2.0,1.0,287.0,120.0,190.0,123.0,3.0,3.0,73.0,1.7042242960278287e-42,-3.2889533554361248,2.5416666666666665
18.0,18.0,5.582384825,3.0,1.0,316.0,3.0,136.0,1.0,-2.0,-2.0,15.0,0.002648286764448787,1.0183766513305268,2.5416666666666665
120.0,123.0,3.28152442,4.0,1.0,190.0,140.0,38.0,140.0,0.0,0.0,-20.0,-3.580620122914391e-06,7.663314163075623,2.12
3.0,1.0,3.0829560760000003,5.0,1.0,136.0,89.0,192.0,86.0,-3.0,-3.0,62.0,1.0483634876387554e-38,1.1337584229637356,2.1785714285714284
140.0,140.0,3.4180209639999997,6.0,1.0,38.0,119.0,296.0,111.0,-8.0,-8.0,21.0,7.875717023204992e-07,0.9109223175852538,2.033333333333333
89.0,86.0,4.583415985,7.0,1.0,192.0,34.0,254.0,31.0,-3.0,-3.0,55.0,1.356446305775932e-34,3.1805931030802803,0.4
119.0,111.0,4.749448299,8.0,1.0,296.0,70.0,285.0,91.0,21.0,21.0,49.0,3.8046105989561835e-30,-3.492667269267697,0.7857142857142857
34.0,31.0,5.6358428,9.0,1.0,254.0,28.0,158.0,63.0,35.0,35.0,6.0,2.7429551982054567,5.26248905068911,0.5517241379310345
70.0,91.0,6.716039896,10.0,1.0,285.0,72.0,54.0,74.0,2.0,2.0,-2.0,-3.6133342960958568,1.0860669386643416,0.0967741935483871
28.0,63.0,7.116760015,11.0,1.0,158.0,66.0,92.0,74.0,8.0,8.0,-38.0,-1.064739633575394e-20,-0.2966736984676996,0.38235294117647056
72.0,74.0,3.067276001,12.0,1.0,54.0,59.0,339.0,73.0,14.0,14.0,13.0,0.022511625738851657,11.260346295341863,0.6052631578947368
66.0,74.0,1.850257158,13.0,1.0,92.0,49.0,120.0,50.0,1.0,1.0,17.0,0.0002312672643688728,-2.3807622749391553,0.3684210526315789
59.0,73.0,4.133071661000001,14.0,1.0,339.0,104.0,17.0,117.0,13.0,13.0,-45.0,-7.718111417784215e-27,9.30772754314483,1.4473684210526316
49.0,50.0,4.016082764,15.0,1.0,120.0,94.0,128.0,103.0,9.0,9.0,-45.0,-7.718111417784215e-27,5.37531467817273,1.7894736842105263
