stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
122.0,96.0,3.002148151,1.0,1.0,55.0,53.0,111.0,51.0,-2.0,-1.9682831415740907,69.0,0.03798674084603834,5.125306330533464,0.5496409696657439
30.0,33.0,3.101404905,2.0,1.0,88.0,142.0,209.0,140.0,-2.0,-5.320784969601107,36.0,1.199377445573142,1.93230241779291,0.1721756142763046
53.0,51.0,1.915325165,3.0,1.0,111.0,54.0,93.0,51.0,-3.0,-2.838363839097667,-1.0,-0.3273883465759014,5.7726644107767795,-0.2928255199360499
142.0,140.0,3.7159307,4.0,1.0,209.0,119.0,116.0,97.0,-22.0,-20.7143761872274,23.0,2.725286332782296,5.369108588405104,-0.263696489312871
54.0,51.0,3.482673883,5.0,1.0,93.0,35.0,170.0,26.0,-9.0,-11.758632252383194,19.0,3.0688809091487204,5.9019800579929305,-0.11432275277770754
119.0,97.0,1.419749975,6.0,1.0,116.0,46.0,20.0,46.0,0.0,-1.6813506887534686,73.0,0.012087662659004137,2.195059635719266,-2.227299407363881
35.0,26.0,3.133388042,7.0,1.0,170.0,91.0,357.0,97.0,6.0,-6.286691391003444,-56.0,-0.18687031757284042,3.224161040675662,-2.9346801593583973
46.0,46.0,1.7347931859999999,8.0,1.0,20.0,19.0,308.0,11.0,-8.0,-3.1937824373048898,27.0,2.2473324523569707,1.5207543666823202,-3.3718568219926213
91.0,97.0,2.1656382080000003,9.0,1.0,357.0,84.0,132.0,91.0,7.0,-6.0581448387601995,7.0,2.0784392073770857,3.422211492621656,-3.5878810085534054
19.0,11.0,1.199367762,10.0,1.0,308.0,74.0,216.0,66.0,-8.0,-15.983148626924333,-55.0,-0.20660867428399834,1.697282364777482,-3.9674945872918035
84.0,91.0,1.069929838,11.0,1.0,132.0,98.0,34.0,82.0,-16.0,-23.61649079135907,-14.0,-3.1029392512777143,1.6986491408331286,-3.9316290169915553
74.0,66.0,0.33244705199999997,12.0,1.0,216.0,99.0,116.0,99.0,0.0,-6.740965308511932,-25.0,-2.495167278807091,2.543532288789063,-2.11289632295312
98.0,82.0,2.58267808,13.0,1.0,34.0,41.0,84.0,84.0,43.0,40.17535462486964,57.0,0.1688510582694968,4.354908592770329,-0.8208578770729126
99.0,99.0,1.4161169530000002,14.0,1.0,116.0,65.0,176.0,71.0,6.0,3.9396421266851007,34.0,1.4043537641048223,3.9035801094635634,-0.11221396118983155
41.0,84.0,2.082649946,15.0,1.0,84.0,57.0,141.0,68.0,11.0,11.25424525276128,-16.0,-3.1562905754627746,0.4822616267290315,-0.9673985834222084
65.0,71.0,2.0823669430000002,16.0,1.0,176.0,23.0,288.0,22.0,-1.0,1.886640201169854,42.0,0.7157407076519939,2.091068830268333,0.16790617535261632
57.0,68.0,2.650079966,17.0,1.0,141.0,42.0,140.0,43.0,1.0,-1.6561760597182058,15.0,3.1419297542471862,2.9063636541372584,-0.5703475002409377
23.0,22.0,3.383650064,18.0,1.0,288.0,110.0,88.0,87.0,-23.0,-21.103218001404855,61.0,0.11087684978404848,7.263370232919169,-0.3149260045615548
