stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
38.0,39.0,2.5334317680000003,1.0,1.0,247.0,98.0,158.0,90.0,-8.0,-2.2971176584548045,-60.0,89.0,2.312661099151529,-0.48276427423485324,0.12835638475029135,-0.6623997056042543,-0.001747394705636002
23.0,28.0,2.364960909,2.0,1.0,353.0,137.0,133.0,140.0,3.0,-3.4253157791498627,32.0,-140.0,2.372544768573093,-0.5917637213201409,0.1970716127113778,-2.3242623957281636,-0.0026511799278989977
98.0,90.0,2.432168245,3.0,1.0,158.0,12.0,176.0,131.0,-27.0,-27.28234242552071,-60.0,-18.0,3.7498143758844367,-0.5917637213201409,0.16727433836977465,-0.943033825747343,-0.003591726618737923
137.0,140.0,7.017662047999999,4.0,1.0,133.0,4.0,119.0,4.0,0.0,5.129442532901372,-13.0,14.0,3.338249574170234,-0.6507131598998988,0.258254848245443,-3.1421890820229654,-0.004582396718993532
12.0,131.0,3.183670759,5.0,1.0,176.0,125.0,164.0,93.0,-32.0,-31.07200006321282,33.0,12.0,2.231082786864422,-0.3797423382619781,0.08785872240279209,-1.3850550968175586,-0.005637531695396348
4.0,4.0,3.0138297080000003,6.0,1.0,119.0,22.0,88.0,9.0,-13.0,-15.586017079481381,-18.0,31.0,,-0.007785027600265633,,,-0.006772735061538834
125.0,93.0,4.631304978999999,7.0,1.0,164.0,66.0,123.0,68.0,2.0,-2.358752701619659,59.0,41.0,,0.23802858579998462,,,-0.008005180757513611
22.0,9.0,3.532402039,8.0,1.0,88.0,106.0,224.0,77.0,-29.0,-19.828000440569905,62.0,-136.0,,0.029735917224881416,,,-0.009353953298049854
66.0,68.0,3.883731127,9.0,1.0,123.0,26.0,246.0,27.0,1.0,-1.05464865172571,40.0,-123.0,,-0.16244798672963415,,,-0.010840425962771351
106.0,77.0,3.516476154,10.0,1.0,224.0,27.0,152.0,25.0,-2.0,-3.828652022130595,-67.0,72.0,,-0.3811093978168834,,,-0.01248868368858169
26.0,27.0,4.268672943,11.0,1.0,246.0,100.0,341.0,80.0,-20.0,-13.139099444527085,72.0,-95.0,,-0.4578548681895071,,,-0.014325997709278098
27.0,25.0,4.299352884,12.0,1.0,152.0,54.0,133.0,42.0,-12.0,-11.637788431814268,-27.0,19.0,,0.39020842877607814,,,-0.016383359339299686
100.0,80.0,3.5175879,13.0,1.0,341.0,112.0,237.0,113.0,1.0,10.099776937607812,-12.0,104.0,,0.4985020761623377,,,-0.01869608057485476
54.0,42.0,2.7326967719999997,14.0,1.0,133.0,77.0,235.0,89.0,12.0,6.379344907831866,-23.0,-102.0,,0.5024962029526231,,,-0.02130446933187891
112.0,113.0,2.8667120930000003,15.0,1.0,237.0,92.0,32.0,90.0,-2.0,-0.3261496928590506,20.0,-155.0,,0.9232526209360843,,,-0.024254587086611927
77.0,89.0,2.4327018259999997,16.0,1.0,235.0,15.0,349.0,19.0,4.0,2.4356041053380757,62.0,-114.0,,0.3723259451987,,,-0.027599096343465825
92.0,90.0,3.548726082,17.0,1.0,32.0,19.0,145.0,18.0,-1.0,-3.484482497461113,-73.0,-113.0,,-0.2164687930961584,,,-0.031398204618075826
15.0,19.0,5.999938726,18.0,1.0,349.0,58.0,156.0,32.0,-26.0,-27.17400784167052,-43.0,-167.0,,0.12021506996012389,,,-0.035720710359482884
19.0,18.0,6.300595999,19.0,1.0,145.0,101.0,164.0,100.0,-1.0,6.379572519341795,64.0,-19.0,,-0.0743378950037742,,,-0.04064515428732084
58.0,32.0,3.5827352999999995,20.0,1.0,156.0,32.0,210.0,32.0,0.0,-0.3880924657149513,26.0,-54.0,,0.26819128789625973,,,-0.04626107680391298
101.0,100.0,1.06517911,21.0,1.0,164.0,33.0,359.0,38.0,5.0,4.924582904713548,68.0,165.0,,-0.13950376771998413,,,-0.05267037824686311
32.0,32.0,2.501032114,22.0,1.0,210.0,43.0,326.0,43.0,0.0,2.0788711518810987,-11.0,-116.0,,-0.17842514571854867,,,-0.05998877354006641
33.0,38.0,3.4221758839999996,23.0,1.0,359.0,57.0,23.0,48.0,-9.0,-9.766338307830893,-24.0,-24.0,,-0.3750926052277487,,,-0.06834732602574001
43.0,43.0,4.133855103999999,24.0,1.0,326.0,16.0,295.0,28.0,12.0,10.11925357146744,27.0,31.0,,-0.3968999580889594,,,-0.07789403665246765
57.0,48.0,2.649466276,25.0,1.0,23.0,51.0,244.0,44.0,-7.0,-5.731396099992622,6.0,139.0,,-0.842067847450035,,,-0.08879545399373005
16.0,28.0,4.0334620480000005,26.0,1.0,295.0,91.0,147.0,82.0,-9.0,-8.017046615135055,71.0,148.0,,-0.6525237086022149,,,-0.10123825754177836
51.0,44.0,2.983907223,27.0,1.0,244.0,97.0,351.0,100.0,3.0,8.074623234547976,-46.0,-107.0,,0.16621078057078767,,,-0.11543075117927003
91.0,82.0,1.216320992,28.0,1.0,147.0,47.0,97.0,51.0,4.0,5.993926266231118,44.0,50.0,,-0.2720536380869421,,,-0.13160418558111148
97.0,100.0,3.848978996,29.0,1.0,351.0,88.0,16.0,93.0,5.0,3.9904266583855734,9.0,-25.0,,-0.07164269477469416,,,-0.1500138075813256
47.0,51.0,2.831736088,30.0,1.0,97.0,127.0,104.0,113.0,-14.0,-14.791117629711112,66.0,-7.0,,1.3355994269505607,,,-0.17093951148384198
88.0,93.0,4.233479738,31.0,1.0,16.0,10.0,107.0,13.0,3.0,3.8281440346347515,-68.0,-91.0,,1.529980063386674,,,-0.19468594238373843
127.0,113.0,2.3825330730000003,32.0,1.0,104.0,74.0,263.0,91.0,17.0,11.158421790360961,53.0,-159.0,,1.2896566155817963,,,-0.2215818755999242
10.0,13.0,3.249594212,33.0,1.0,107.0,81.0,22.0,93.0,12.0,7.4116435635054625,-71.0,85.0,,1.2372200220239138,,,-0.2519786704970475
74.0,91.0,2.9170527460000004,34.0,1.0,263.0,8.0,241.0,8.0,0.0,2.1158195317034285,66.0,22.0,,0.8574137208939422,,,-0.28624757294785147
81.0,93.0,2.499316931,35.0,1.0,22.0,110.0,336.0,119.0,9.0,18.419666552543603,-29.0,46.0,,0.4231303601900224,,,-0.32477562062404947
8.0,8.0,2.932047844,36.0,1.0,241.0,135.0,166.0,10.0,21.0,14.991534129729091,19.0,75.0,,0.4943689016949186,,,-0.3679598919129276
110.0,119.0,2.7826240060000003,37.0,1.0,336.0,116.0,102.0,88.0,-28.0,-20.42026275043087,-6.0,-126.0,,0.1777148448340126,,,-0.4161998357815828
135.0,10.0,3.535230875,38.0,1.0,166.0,128.0,148.0,115.0,-13.0,-14.628181901435973,7.0,18.0,,0.20341458745581684,,,-0.4698874300678989
116.0,88.0,3.7502779960000003,39.0,1.0,102.0,39.0,224.0,40.0,1.0,2.5430492045128417,-69.0,-122.0,,0.4151236396547507,,,-0.5293949435280679
128.0,115.0,2.9996101860000004,40.0,1.0,148.0,45.0,335.0,39.0,-6.0,-3.881768873948614,-63.0,173.0,,0.4151236396547507,,,-0.595060126706131
39.0,40.0,0.767052174,41.0,1.0,224.0,18.0,288.0,17.0,-1.0,-3.3406989980100468,21.0,-64.0,,-0.11848671112095686,,,-0.6671687323236035
45.0,39.0,3.1839258669999997,42.0,1.0,335.0,42.0,342.0,35.0,-7.0,-5.000480664401758,3.0,-7.0,,-0.4392655685399102,,,-0.7459343708379048
18.0,17.0,3.449860811,43.0,1.0,288.0,5.0,351.0,2.0,-3.0,1.3264652893221163,13.0,-63.0,,-1.2556390809263462,,,-0.8314758434079691
42.0,35.0,2.532166004,44.0,1.0,342.0,55.0,292.0,42.0,-13.0,-12.994134276767427,-13.0,50.0,,-1.4284757679087792,,,-0.9237922633651431
5.0,2.0,3.2009100910000003,45.0,1.0,351.0,144.0,17.0,144.0,0.0,-2.9639822020015143,7.0,-26.0,,-1.5006371943896386,,,-1.0227364767218312
55.0,42.0,3.367411137,46.0,1.0,292.0,87.0,315.0,112.0,25.0,23.37019918647957,-32.0,-23.0,,-1.868383058228963,,,-1.127987517606168
144.0,144.0,0.833220959,47.0,1.0,17.0,105.0,78.0,112.0,7.0,15.934734562204412,39.0,-61.0,,-1.102835318392383,,,-1.2390230776235422
87.0,112.0,3.633292913,48.0,1.0,315.0,107.0,28.0,98.0,-9.0,0.3415182443380008,-20.0,-73.0,,-0.7912788801093888,,,-1.355093216950063
