stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
30.0,32.0,4.533398151,2.0,1.0,238.0,41.0,234.0,41.0,0.0,-2.0258593782206287,-11.0,4.0,-2.4443394498442514,0.37881602331110503,-0.22755099498415776,-0.8510361599790285,-0.0005166867054487404
80.0,122.0,5.467114925,3.0,1.0,100.0,122.0,116.0,131.0,9.0,11.889539625652775,-42.0,-16.0,-2.000626879044403,0.2578338090848808,-0.034919834025287484,-1.762940261134019,-0.0007807030443309508
41.0,41.0,0.932450056,4.0,1.0,234.0,7.0,121.0,25.0,18.0,23.2499619313122,34.0,113.0,-1.1612630839494953,0.13776717044637496,-0.07496749859037759,0.6904435174321549,-0.001051595932533617
122.0,131.0,2.283324003,5.0,1.0,116.0,63.0,126.0,66.0,3.0,7.0059299016479475,59.0,-10.0,-2.298039627951624,0.2566547138080387,-0.18983481075757747,-1.1474620934386028,-0.0013317730067824154
7.0,25.0,1.917104006,6.0,1.0,121.0,53.0,280.0,69.0,16.0,13.901506283021705,-46.0,-159.0,-0.7274434827018248,0.573117682952318,0.05142973840554462,-0.06093561510186959,-0.0016237418707126235
63.0,66.0,2.9158928389999996,7.0,1.0,126.0,25.0,212.0,25.0,0.0,-0.31367740035206104,38.0,-86.0,,1.2206165181237403,,,-0.0019301363123584683
53.0,69.0,2.50001502,8.0,1.0,280.0,4.0,112.0,10.0,6.0,13.962446208926382,49.0,168.0,,1.2175784964016247,,,-0.0022537432862854505
25.0,25.0,2.940575123,9.0,1.0,212.0,65.0,37.0,78.0,13.0,16.168838898596263,-40.0,175.0,,1.3441077722420567,,,-0.0025975307573917828
4.0,10.0,0.68257308,10.0,1.0,112.0,119.0,28.0,126.0,7.0,9.794966804589182,31.0,84.0,,1.6833744384934393,,,-0.0029646764686128433
65.0,78.0,4.282800198,11.0,1.0,37.0,27.0,190.0,27.0,0.0,1.196867539796914,38.0,-153.0,,1.5833043260795583,,,-0.003358597650582088
119.0,126.0,2.265603065,12.0,1.0,28.0,40.0,256.0,34.0,-6.0,-7.451528247445493,-67.0,132.0,,1.2014216809483105,,,-0.0037829816360857578
27.0,27.0,2.382749796,13.0,1.0,190.0,67.0,107.0,73.0,6.0,7.493285344063667,-40.0,83.0,,1.2798687124150732,,,-0.004241817274041843
40.0,34.0,2.9154779910000004,14.0,1.0,256.0,114.0,218.0,123.0,9.0,15.49064066209097,72.0,38.0,,1.3914010219302615,,,-0.004739426954703917
67.0,73.0,3.181303024,15.0,1.0,107.0,32.0,245.0,34.0,2.0,4.255683091212051,35.0,-138.0,,1.2334341094418118,,,-0.005280498957676885
114.0,123.0,10.365942,16.0,1.0,218.0,38.0,317.0,36.0,-2.0,-2.2835452999039614,-70.0,-99.0,,0.8240097708705592,,,-0.005870119714917055
32.0,34.0,2.6492948530000002,17.0,1.0,245.0,126.0,280.0,3.0,23.0,25.200478125567983,52.0,-35.0,,0.8644157235740687,,,-0.006513805439994682
38.0,36.0,0.7985701559999999,18.0,1.0,317.0,93.0,325.0,110.0,17.0,8.616794881326756,-55.0,-8.0,,0.9013138233059427,,,-0.007217532410519853
126.0,3.0,2.568594933,19.0,1.0,280.0,3.0,93.0,134.0,-15.0,-6.4652179944327255,-23.0,-173.0,,0.45283446822031453,,,-0.007987765001113731
93.0,110.0,3.7664959430000002,20.0,1.0,325.0,19.0,168.0,14.0,-5.0,-10.218461042071977,-72.0,157.0,,0.43221662555726753,,,-0.008831480348552015
3.0,134.0,7.133964777,21.0,1.0,93.0,146.0,321.0,138.0,-8.0,-5.3636292935946255,3.0,132.0,,0.6660742770728546,,,-0.009756188288454752
19.0,14.0,6.433248043,22.0,1.0,168.0,42.0,42.0,38.0,-4.0,-6.572941685200602,-23.0,126.0,,0.7390110286621623,,,-0.010769944935041577
146.0,138.0,3.8788998130000003,23.0,1.0,321.0,95.0,327.0,118.0,23.0,17.039952625343616,51.0,-6.0,,0.4510048718410503,,,-0.01188135798443925
42.0,38.0,4.150201797,24.0,1.0,42.0,20.0,26.0,27.0,7.0,2.278143101307977,22.0,16.0,,0.6777136867414716,,,-0.01309958151220923
95.0,118.0,4.232722998,25.0,1.0,327.0,74.0,224.0,104.0,30.0,23.226499353503172,21.0,103.0,,0.5446197418405363,,,-0.014434297713970493
20.0,27.0,0.699873924,26.0,1.0,26.0,115.0,222.0,106.0,-9.0,-2.9023960284741985,51.0,164.0,,0.5171796625797411,,,-0.015895682713968438
74.0,104.0,2.116488934,27.0,1.0,224.0,105.0,273.0,102.0,-3.0,-5.080611717458181,-31.0,-49.0,,0.6623214389754171,,,-0.017494353253342795
115.0,106.0,2.583212137,28.0,1.0,222.0,61.0,229.0,69.0,8.0,11.90442636172837,54.0,-7.0,,0.224623315274595,,,-0.019241290784710603
105.0,102.0,2.33227396,29.0,1.0,273.0,141.0,288.0,139.0,-2.0,-1.6288215698625788,-36.0,-15.0,,0.40751180046321234,,,-0.02114773926380224
61.0,69.0,2.334174395,30.0,1.0,229.0,6.0,102.0,142.0,-10.0,-3.863050305106823,55.0,127.0,,0.23082658440295453,,,-0.023225072768060673
141.0,139.0,0.784891129,31.0,1.0,288.0,88.0,330.0,98.0,10.0,-2.8786554330267915,53.0,-42.0,,-0.021740784567015326,,,-0.025484629016656653
6.0,142.0,4.366019249,32.0,1.0,102.0,132.0,109.0,139.0,7.0,2.1340934077877467,20.0,-7.0,,0.15947903691023163,,,-0.027937504950870204
88.0,98.0,0.58605814,33.0,1.0,330.0,85.0,234.0,97.0,12.0,-1.2911222939551532,3.0,96.0,,0.09478772448323855,,,-0.03059431079644647
132.0,139.0,1.600089312,34.0,1.0,109.0,104.0,281.0,110.0,6.0,3.5557680942317678,28.0,-172.0,,0.03597942801319652,,,-0.03346487951105668
85.0,97.0,0.533875942,35.0,1.0,234.0,145.0,354.0,2.0,3.0,2.656131425421096,-60.0,-120.0,,0.007392162795082762,,,-0.036557929261918365
104.0,110.0,0.637362957,36.0,1.0,281.0,125.0,118.0,108.0,-17.0,-13.831502275865445,-21.0,163.0,,-0.5683921877832384,,,-0.03988067762100627
145.0,2.0,0.431332111,37.0,1.0,354.0,16.0,117.0,21.0,5.0,0.07947783132935804,-17.0,-123.0,,-0.9602022981042022,,,-0.04343840754371039
125.0,108.0,4.450863838,38.0,1.0,118.0,10.0,98.0,14.0,4.0,6.108095564658827,-31.0,20.0,,-1.192725995912426,,,-0.047233986938754156
16.0,21.0,2.13215065,39.0,1.0,117.0,116.0,215.0,105.0,-11.0,-5.659409056418793,46.0,-98.0,,-1.46787473680407,,,-0.051267345757776125
10.0,14.0,2.649943113,40.0,1.0,98.0,106.0,178.0,110.0,4.0,2.571136776660511,50.0,-80.0,,-1.7171567178970948,,,-0.05553491703017172
116.0,105.0,5.014852285,41.0,1.0,215.0,117.0,58.0,126.0,9.0,13.397214936532452,-1.0,157.0,,-1.8322445480510927,,,-0.06002905111842369
106.0,110.0,2.437196016,42.0,1.0,178.0,136.0,272.0,123.0,-13.0,-13.397807923390486,-30.0,-94.0,,-2.238643639870213,,,-0.06473741561996404
117.0,126.0,2.367892981,43.0,1.0,58.0,39.0,99.0,37.0,-2.0,-2.8657619731553847,-68.0,-41.0,,-1.3705520408892247,,,-0.06964239671081322
136.0,123.0,6.117704152999999,44.0,1.0,272.0,102.0,113.0,97.0,-5.0,-7.590180773658416,34.0,159.0,,-0.9742357456334055,,,-0.07472052119603233
39.0,37.0,5.251429796,45.0,1.0,99.0,73.0,202.0,63.0,-10.0,-15.672176583757858,-34.0,-103.0,,-1.2273225297195924,,,-0.07994192194775998
102.0,97.0,4.16688776,46.0,1.0,113.0,35.0,102.0,38.0,3.0,4.291843763706639,67.0,11.0,,-1.1850511387878582,,,-0.08526987258216782
73.0,63.0,5.9165792470000005,47.0,1.0,202.0,45.0,193.0,42.0,-3.0,-6.875095930043825,28.0,9.0,,-1.554386247316275,,,-0.09066041992770929
35.0,38.0,2.749968767,48.0,1.0,102.0,124.0,251.0,130.0,6.0,9.482399952313004,57.0,-149.0,,-1.16581998101464,,,-0.09606214481762788
45.0,42.0,2.184194088,49.0,1.0,193.0,15.0,137.0,24.0,9.0,4.823798623635911,30.0,56.0,,-1.2486587470564419,,,-0.10141608273274567
