stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
68.0,113.0,4.983588219,1.0,1.0,327.0,124.0,182.0,102.0,-22.0,-20.80644594758198,-56.0,145.0,-2.5553337333331196,1.9954922115365012,-0.18560365210251603,-0.48905776545793994,0.000205873334875511
121.0,109.0,2.283046961,2.0,1.0,221.0,53.0,240.0,47.0,-6.0,-7.21363326756202,68.0,-19.0,-3.8753664346725243,1.8516857394689572,-0.3899131545190082,0.5602642291317524,0.000313806189256038
124.0,102.0,2.7327861789999996,3.0,1.0,182.0,45.0,75.0,45.0,0.0,0.49121815128276225,-67.0,107.0,-1.371578915428023,1.4981388055939084,-0.1508051446897233,-0.08982034358285357,0.00042789689392626335
53.0,47.0,2.333548784,4.0,1.0,240.0,85.0,34.0,111.0,26.0,14.693861494752834,-32.0,-154.0,-1.906315656346515,1.3713977185472859,-0.0930230850623498,0.8616212215394787,0.0005504748852844148
45.0,45.0,3.2508730889999997,5.0,1.0,75.0,73.0,72.0,76.0,3.0,-1.44241469635924,-28.0,3.0,-0.7542856674915843,0.8121094015141148,-0.023275979400203903,-0.11062879873427503,0.0006841193241507542
85.0,111.0,1.966748238,6.0,1.0,34.0,32.0,305.0,32.0,0.0,4.424791628787457,53.0,89.0,,0.6796706520493123,,,0.000831737616417883
73.0,76.0,3.181998253,7.0,1.0,72.0,115.0,159.0,112.0,-3.0,1.1924683547151993,-42.0,-87.0,,-0.2989321550931948,,,0.0009966554952006027
32.0,32.0,5.166774035,8.0,1.0,305.0,48.0,238.0,44.0,-4.0,-4.57724958162348,-16.0,67.0,,-0.22993407850312977,,,0.0011827218407874142
115.0,112.0,3.434499025,9.0,1.0,159.0,29.0,231.0,12.0,-17.0,-10.130332772393931,-60.0,-72.0,,0.09431216994838827,,,0.0013944319221650709
48.0,44.0,1.950363874,10.0,1.0,238.0,42.0,289.0,31.0,-11.0,-9.711608173998773,6.0,-51.0,,0.0975997991509819,,,0.001637073365080431
29.0,12.0,4.615874052,11.0,1.0,231.0,17.0,348.0,4.0,-13.0,-10.385662925411712,12.0,-117.0,,0.4669513378876528,,,0.0019168998985169754
42.0,31.0,3.9170339110000003,12.0,1.0,289.0,76.0,195.0,82.0,6.0,-2.3640180537238145,-34.0,94.0,,0.2739204784598525,,,0.0022413388162785615
17.0,4.0,2.234530687,13.0,1.0,348.0,61.0,146.0,75.0,14.0,17.333906988290916,-44.0,-158.0,,-0.03263488726669482,,,0.002619239124347543
76.0,82.0,2.316107035,14.0,1.0,195.0,109.0,281.0,93.0,-16.0,-14.242549375903739,-33.0,-86.0,,-0.2744910064917526,,,0.0030611685365509646
61.0,75.0,2.93223381,15.0,1.0,146.0,43.0,219.0,16.0,-27.0,-25.928315086848077,18.0,-73.0,,-0.5665518147544404,,,0.003579768834787882
109.0,93.0,1.4827981000000001,16.0,1.0,281.0,23.0,44.0,6.0,-17.0,-7.946111751719602,-60.0,-123.0,,-0.769117844534565,,,0.004190180621753704
