stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
34.0,30.0,6.733896971,1.0,1.0,138.0,102.0,265.0,118.0,16.0,14.3584819221631,-68.0,-127.0,1.043317685493322,2.2191686665320787,0.1077948606934667,1.4690272270480058,-0.012003906211242327
102.0,118.0,4.5998330119999995,2.0,1.0,265.0,114.0,139.0,102.0,-12.0,-7.278752975646221,-12.0,126.0,1.460003116796645,1.6639579385798164,-0.029729118490292958,-0.09678543552601135,-0.018137656773737614
114.0,102.0,4.517287016,3.0,1.0,139.0,17.0,153.0,10.0,-7.0,-1.4252655237594851,-49.0,-14.0,3.0651445830504382,1.3494975480122735,0.09407516305819326,-1.420615851240834,-0.02443116653311609
17.0,10.0,9.65060997,4.0,1.0,153.0,32.0,166.0,29.0,-3.0,2.100023561249664,-15.0,-13.0,6.269589001565701,1.3662585339020872,0.20287361746000002,-0.8879250473504974,-0.030940370827256803
32.0,29.0,8.48341608,5.0,1.0,166.0,72.0,277.0,40.0,-32.0,-33.71010687916958,-40.0,-111.0,3.254609989569819,0.807166595081709,0.1746381435224115,-0.8819968684664322,-0.03772352747184694
72.0,40.0,3.982812881,6.0,1.0,277.0,25.0,184.0,21.0,-4.0,0.891056881510913,47.0,93.0,,0.3303919638983283,,,-0.04484182585730648
25.0,21.0,7.1843419079999995,7.0,1.0,184.0,146.0,145.0,11.0,11.0,11.799728730605985,25.0,39.0,,0.3704762361980925,,,-0.05236001381025453
146.0,11.0,5.083265066,8.0,1.0,145.0,52.0,151.0,43.0,-9.0,-9.070074371768605,-52.0,-6.0,,0.3443822369941266,,,-0.060347044473673894
52.0,43.0,13.05006289,9.0,1.0,151.0,36.0,187.0,25.0,-11.0,-4.787249681318308,16.0,-36.0,,-0.08434560043154891,,,-0.06887674465162093
36.0,25.0,7.4699797629999996,10.0,1.0,187.0,138.0,267.0,15.0,23.0,10.506021542652725,44.0,-80.0,,-0.10746490945444442,,,-0.07802850503790658
138.0,15.0,3.649569035,11.0,1.0,267.0,93.0,193.0,110.0,17.0,1.974721480298122,45.0,74.0,,-0.23212321768804425,,,-0.0878879914653682
93.0,110.0,7.099412918,12.0,1.0,193.0,20.0,172.0,18.0,-2.0,4.684004578256186,-73.0,21.0,,-0.23212321768804425,,,-0.09854787473006153
20.0,18.0,6.100432873,13.0,1.0,172.0,53.0,48.0,43.0,-10.0,-9.01642057352472,-33.0,124.0,,-0.5738203390076126,,,-0.11010857461571343
53.0,43.0,4.532100916,14.0,1.0,48.0,96.0,153.0,108.0,12.0,0.7209161081562527,-43.0,-105.0,,-0.03402290354798225,,,-0.12267901141789131
96.0,108.0,2.032066107,15.0,1.0,153.0,11.0,76.0,11.0,0.0,3.0562680930545483,-61.0,77.0,,-0.006145943991142573,,,-0.13637735549304927
11.0,11.0,3.367455006,16.0,1.0,76.0,67.0,239.0,72.0,5.0,14.495909937377128,-56.0,-163.0,,0.15701425633810345,,,-0.1513317620842878
67.0,72.0,5.55307126,17.0,1.0,239.0,133.0,113.0,5.0,18.0,26.031995870931333,-66.0,126.0,,0.2741062818310852,,,-0.16768107485677805
133.0,5.0,8.034552813,18.0,1.0,113.0,6.0,46.0,5.0,-1.0,6.411347510785227,-19.0,67.0,,-0.14181625729793212,,,-0.18557547717280728
6.0,5.0,3.690018177,19.0,1.0,46.0,27.0,291.0,30.0,3.0,7.2497318390451895,-21.0,115.0,,-0.012351736571533732,,,-0.20517706512388093
27.0,30.0,7.699289082999999,20.0,1.0,291.0,90.0,209.0,115.0,25.0,6.890309147533408,-63.0,82.0,,-0.3598695166749745,,,-0.22666031070918688
90.0,115.0,9.533097982000001,21.0,1.0,209.0,63.0,206.0,69.0,6.0,18.62950467924913,27.0,3.0,,-0.6317682882022372,,,-0.25021237732679447
63.0,69.0,3.9664909839999996,22.0,1.0,206.0,118.0,176.0,112.0,-6.0,-7.232666222409698,-55.0,30.0,,-1.4834660698678064,,,-0.2760332429825663
118.0,112.0,5.053743839,23.0,1.0,176.0,58.0,236.0,41.0,-17.0,-8.683518521913065,60.0,-60.0,,-1.6694231885758375,,,-0.30433557942389516
