stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
103.0,117.0,6.900277138,1.0,1.0,178.0,129.0,68.0,114.0,-15.0,-8.608965467226184,-26.0,110.0,0.7714527597498451,1.5171438877119081,0.12889565037420142,-0.6768774951971058,0.0018547858976548483
145.0,126.0,3.08212018,2.0,1.0,151.0,11.0,347.0,9.0,-2.0,-2.530903521393199,-12.0,164.0,-2.1255039445403834,0.877163682131668,-0.165567388198284,0.007567345874364978,0.002802543556106481
129.0,114.0,2.982511997,3.0,1.0,68.0,90.0,163.0,114.0,24.0,14.463091031073702,39.0,-95.0,-1.5931677286124857,0.8811690891341607,-0.13131610246200312,-0.09512873179361771,0.003774986437865786
11.0,9.0,9.582818985,4.0,1.0,347.0,35.0,356.0,39.0,4.0,-0.9350646865156023,-24.0,-9.0,1.3722015218935135,0.9650730148698443,0.14664289461314023,2.4397581614802903,0.004780757402519374
90.0,114.0,3.3495609760000002,5.0,1.0,163.0,125.0,77.0,130.0,5.0,10.799087565513119,-35.0,86.0,-1.1631566705304963,0.6159841308155383,-0.19372443896796232,0.7764890035736854,0.005828858167763036
35.0,39.0,2.80074501,6.0,1.0,356.0,12.0,246.0,15.0,3.0,2.800786042065841,23.0,110.0,,0.6067012985646876,,,0.006928743424131251
125.0,130.0,6.283191919,7.0,1.0,77.0,140.0,309.0,136.0,-4.0,-0.926006170013352,-15.0,128.0,,0.46779575952707647,,,0.008090417694618289
12.0,15.0,2.532427073,8.0,1.0,246.0,70.0,226.0,48.0,-22.0,-17.347301833825426,-58.0,20.0,,0.08333906828646602,,,0.009324535287492363
140.0,136.0,7.516113997000001,9.0,1.0,309.0,101.0,299.0,112.0,11.0,-1.0712048183506795,39.0,10.0,,-0.3298898569845701,,,0.010642503565708146
101.0,112.0,6.305679082999999,11.0,1.0,299.0,17.0,16.0,20.0,3.0,3.359878494023743,-62.0,-77.0,,0.19919598062501814,,,0.01205658959772537
36.0,125.0,8.515903234,12.0,1.0,81.0,41.0,251.0,42.0,1.0,-3.738840304266887,-5.0,-170.0,,0.20594789385914986,,,0.01358003005632805
17.0,20.0,5.803548097999999,13.0,1.0,16.0,147.0,168.0,138.0,-9.0,-3.4527577144826296,16.0,-152.0,,0.7364239939960505,,,0.015227143987551131
41.0,42.0,3.816026211,14.0,1.0,251.0,67.0,119.0,55.0,-12.0,-6.764632855545216,-26.0,132.0,,0.7604007379251666,,,0.017013447773763155
147.0,138.0,4.799834013,15.0,1.0,168.0,120.0,38.0,117.0,-3.0,-0.051877140475312444,27.0,130.0,,0.6272506539080291,,,0.018955771255569152
67.0,55.0,4.381584167,16.0,1.0,119.0,108.0,12.0,115.0,7.0,-1.1349108734884936,-41.0,107.0,,0.5894044049295425,,,0.021072373548526882
120.0,117.0,3.9216132160000003,17.0,1.0,38.0,58.0,55.0,46.0,-12.0,-8.669740717754784,62.0,-17.0,,0.4478232416418479,,,0.02338305658489172
108.0,115.0,4.3504970069999995,18.0,1.0,12.0,72.0,354.0,61.0,-11.0,-7.095197317627381,36.0,18.0,,0.43847666203007857,,,0.025909273820529207
58.0,46.0,3.50000596,19.0,1.0,55.0,130.0,239.0,124.0,-6.0,0.3023777957419327,-72.0,176.0,,0.41245652413136014,,,0.028674230866805105
72.0,61.0,5.61603713,20.0,1.0,354.0,137.0,192.0,130.0,-7.0,-2.987646217286226,-65.0,162.0,,0.26961537959720605,,,0.03170297403275174
130.0,124.0,3.71389389,21.0,1.0,239.0,22.0,265.0,17.0,-5.0,-5.679772288285946,-38.0,-26.0,,-0.5721580910467626,,,0.03502246189317836
137.0,130.0,7.615617037000001,22.0,1.0,192.0,111.0,169.0,121.0,10.0,4.53978792977253,26.0,23.0,,-0.3903077226550039,,,0.03866161403685484
22.0,17.0,2.06703496,23.0,1.0,265.0,37.0,252.0,43.0,6.0,0.9016959367667567,-15.0,13.0,,-0.46916262718979307,,,0.042651330104160695
111.0,121.0,2.932688236,24.0,1.0,169.0,123.0,111.0,119.0,-4.0,0.9196030811540794,-12.0,58.0,,-0.577605090655781,,,0.047024471111410816
