stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
97.0,103.0,2.266905785,1.0,1.0,3.0,43.0,51.0,51.0,8.0,7.998994341952286,54.0,-48.0,-4.538144149958531,-10.018876003138429,-0.19563831367065954,-10.649654362452253,0.0005605958813427267
78.0,76.0,5.78343606,2.0,1.0,111.0,82.0,22.0,83.0,1.0,0.9979831736471866,-4.0,89.0,-1.6237430134461406,-9.978782336733298,0.1376507920601212,-3.3303702184237705,0.0008544985067790024
43.0,51.0,3.100439787,4.0,1.0,51.0,102.0,213.0,87.0,-15.0,18.002010918824034,-59.0,-162.0,-4.426792515167381,-9.711454587567978,-0.8062718942925697,-2.7586188443419855,0.0011651690420193795
82.0,83.0,6.449433804,5.0,1.0,22.0,12.0,152.0,25.0,13.0,13.00000000000017,70.0,-130.0,-5.150679886557016,-9.092511825065468,-0.3638129496086437,-5.001608136160993,0.0014989505739500585
7.0,74.0,2.401145697,6.0,1.0,332.0,2.0,270.0,2.0,0.0,3.3465476917214875e-55,5.0,62.0,-7.254593141319538,-8.85726262337245,-0.04804118004922069,-2.8353080834382873,0.0018628661924432596
102.0,87.0,1.016529083,7.0,1.0,213.0,104.0,277.0,87.0,-17.0,-16.999999999999606,-2.0,-64.0,5.385254354800336,-7.586322532911327,0.6513037237207243,-4.498118630754163,0.002264832803152289
12.0,25.0,1.057471991,8.0,1.0,152.0,45.0,32.0,53.0,8.0,7.994967668576662,-33.0,120.0,-7.9296065314192195,-7.586322532911327,-0.6557965431361151,-5.067922211737424,0.0027139064224266005
2.0,2.0,3.866366148,9.0,1.0,270.0,58.0,134.0,47.0,-11.0,-11.007043195168322,-56.0,136.0,-5.036498609012359,-6.948321996383292,-0.3996798938693812,-2.9528572582287174,0.003220567603460477
104.0,87.0,4.732681274,10.0,1.0,277.0,46.0,358.0,61.0,15.0,-0.0026782998450851636,58.0,-81.0,0.9271043607147376,-7.553439464245168,0.24458569053269635,-2.214680808865039,0.003797057024634828
45.0,53.0,2.233528137,11.0,1.0,32.0,87.0,134.0,77.0,-10.0,-10.002515350482742,-42.0,-102.0,-8.340689590718533,-7.553439464245168,-0.3606319802964362,-3.200655597411334,0.00445777296252809
58.0,47.0,2.031805992,12.0,1.0,134.0,124.0,192.0,109.0,-15.0,-4.99044100474582,-66.0,-58.0,-3.489549953879315,-8.388752064058835,-0.21408381657916664,-7.162648317734202,0.005219744405926775
46.0,61.0,2.116245985,13.0,1.0,358.0,141.0,124.0,116.0,-25.0,-8.499999999999517,51.0,-126.0,-10.818735193057334,-8.388752064058835,-0.6268616814430293,-3.37609392279732,0.006103195976529987
87.0,77.0,3.050184965,14.0,1.0,134.0,40.0,21.0,49.0,9.0,8.996480343553683,47.0,113.0,3.2413731087974043,-9.21139637421495,0.4061389314445773,-6.24848944830229,0.007132223637569025
124.0,109.0,3.133235931,15.0,1.0,192.0,86.0,115.0,85.0,-1.0,-1.000000000000095,38.0,77.0,-7.15749923272398,-8.01704463898092,-0.7535512315936507,1.9610590308549627,0.00833560341703194
141.0,116.0,2.7173650260000004,16.0,1.0,124.0,53.0,27.0,54.0,1.0,-30.500000000000107,-58.0,97.0,-7.482599194012214,-7.6498098176815565,-0.2416137025534846,-2.2790537855112256,0.00974775905837913
40.0,49.0,4.116587877,17.0,1.0,21.0,15.0,350.0,15.0,0.0,0.0021805069586743695,25.0,31.0,-8.353290031910138,-7.499815952595054,-0.5763729337423564,-5.304962950364498,0.011409918627968852
86.0,85.0,2.8842689989999997,18.0,1.0,115.0,85.0,88.0,94.0,9.0,8.999999999999924,1.0,27.0,-4.802090528860089,-7.048284189707402,-0.13852805340696844,-2.574224012124861,0.013371494611718094
53.0,54.0,3.567088127,19.0,1.0,27.0,42.0,288.0,62.0,20.0,16.99865595438293,11.0,99.0,-7.523945023987052,-4.327476202790671,0.08481743248124637,-9.462645936018804,0.015691726833427882
15.0,15.0,3.0009911060000003,20.0,1.0,350.0,37.0,51.0,50.0,13.0,9.997651930539893,-22.0,-61.0,-10.240420071725174,-4.1832269960309825,-0.7422818982510583,-2.7197397762024558,0.01844163246743709
85.0,94.0,3.5673089030000003,21.0,1.0,88.0,130.0,164.0,119.0,-11.0,-10.995971974504505,-45.0,-76.0,-9.350661946874334,-5.51608488607771,-1.0129919696345808,1.8559945626619474,0.02170631225341858
42.0,62.0,3.049234867,22.0,1.0,288.0,33.0,178.0,142.0,-37.0,-37.0,9.0,110.0,-2.88937182735312,-5.41608488607771,0.11044283916067683,-3.68726094493469,0.02558766638844966
37.0,50.0,3.399454117,23.0,1.0,51.0,14.0,249.0,13.0,-1.0,5.49999963426043,23.0,162.0,-4.441309660695532,-5.326984364907976,-0.024191758605211344,-2.782894446544575,0.03020757695778175
