stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
117.0,97.0,3.790761948,3.0,1.0,239.0,96.0,2.0,109.0,13.0,3.995640336913393,21.0,-123.0,1.5894654366314527,-1.0000189579435776,0.24100934544845706,2.5035184759795226,-4.383506487690437e-05
138.0,48.0,6.699443817000001,4.0,1.0,245.0,52.0,111.0,65.0,13.0,13.0,-60.0,134.0,3.874836493279998,0.1172361388860126,0.31496475666662105,4.936385304475522,-6.681639792316555e-05
96.0,109.0,6.750436783,6.0,1.0,2.0,28.0,95.0,35.0,7.0,2.666778962770884,68.0,-93.0,1.8625282802699938,0.7296648983353587,0.33036416620507103,0.8206261484818465,-9.110887583970706e-05
52.0,65.0,2.002812862,7.0,1.0,111.0,76.0,270.0,67.0,-9.0,-8.99714507955433,-24.0,-159.0,-1.1054154702192764,0.6629850110800631,-0.027163027587653536,1.5903137867134658,-0.00011720848804499327
62.0,145.0,2.4006600380000003,8.0,1.0,67.0,57.0,33.0,52.0,-5.0,-4.997148680518928,5.0,34.0,-2.537054685698143,0.44978691847843294,-0.188037054255459,2.6958600148152967,-0.0001456643959054133
28.0,35.0,3.051329851,9.0,1.0,95.0,144.0,141.0,1.0,3.0,2.9952947481132686,30.0,-46.0,-0.1808940421645612,0.44978691847843294,0.0012191686394429206,1.4704444379490405,-0.00017709565154834276
76.0,67.0,2.566616058,10.0,1.0,270.0,107.0,313.0,107.0,0.0,5.653345671913979e-31,-31.0,-43.0,1.9339027054809408,0.2167653245746407,0.3283725240470472,1.8707057839964738,-0.00021221037837858042
57.0,52.0,1.81577301,11.0,1.0,33.0,91.0,294.0,111.0,20.0,20.0,-34.0,99.0,1.0380599402749227,1.1319483088549334,0.07487995816949575,3.8975771777130697,-0.00025182808960433383
144.0,1.0,2.349342108,12.0,1.0,141.0,33.0,90.0,34.0,1.0,0.33445164195656396,-35.0,51.0,-0.7929514654617927,1.1535810616107367,0.019501780641730318,2.9450133662956466,-0.0002969059291305701
107.0,107.0,2.8006258010000002,13.0,1.0,313.0,43.0,301.0,41.0,-2.0,-2.0,64.0,12.0,2.2450444473905047,1.5175490568101238,0.3863229313299317,1.8008778705533262,-0.0003485697514434756
91.0,111.0,2.7846739289999998,14.0,1.0,294.0,83.0,188.0,94.0,11.0,10.994798304805114,8.0,106.0,2.3225196610440673,1.143496446623576,0.2210546597362006,0.6491654862309124,-0.0004081511161443746
33.0,34.0,0.866202831,15.0,1.0,90.0,123.0,121.0,91.0,-32.0,-10.988767913222183,56.0,-31.0,-2.4358198826149633,1.0414824494780106,-0.14908950331952658,3.5702586804734255,-0.0004772314611885249
43.0,41.0,2.763196945,16.0,1.0,301.0,25.0,62.0,10.0,-15.0,-15.0,18.0,-121.0,0.6506425413361021,1.1693782053376354,0.18907304030325958,1.0454293693204382,-0.0005576949390406539
83.0,94.0,4.233260155,17.0,1.0,188.0,45.0,216.0,50.0,5.0,5.000000000000025,38.0,-28.0,-0.86372024227001,1.4680896703539832,-0.04293045267672034,0.9182801399789502,-0.0006517916537343038
123.0,91.0,0.7875859740000001,18.0,1.0,121.0,102.0,320.0,105.0,3.0,3.0013433128642015,21.0,161.0,-0.3861735598311409,0.6752272776770774,-0.03094471624918754,0.7857968900433138,-0.0007622133250593699
25.0,10.0,2.481980085,19.0,1.0,62.0,112.0,135.0,94.0,-18.0,-17.99999999999987,59.0,-73.0,0.3468579653669625,0.4965861497847661,0.09612492389683562,2.4432281917274583,-0.0008921837279734939
45.0,50.0,5.1034970280000005,20.0,1.0,216.0,93.0,302.0,106.0,13.0,13.0,-48.0,-86.0,-2.5186308374096633,1.4228076364773117,-0.132310289673025,2.986810116948624,-0.0010455666074631607
102.0,105.0,3.449840069,21.0,1.0,320.0,97.0,231.0,106.0,9.0,8.996979373844841,5.0,89.0,1.2750958046931555,1.7675945304906433,0.19086246897852716,2.751073486899481,-0.001226994144402585
112.0,94.0,4.1501419539999995,22.0,1.0,135.0,5.0,247.0,30.0,25.0,25.00167584923928,-39.0,-112.0,1.4140940436721534,1.7944865280776265,0.194641335746134,0.4228860900144953,-0.001442019434253678
93.0,106.0,3.019410133,23.0,1.0,302.0,126.0,184.0,4.0,24.0,23.999999999999492,-33.0,118.0,1.6354766078833793,1.142976028359627,0.22648266593923794,1.2384450835866685,-0.0016972968185286583
97.0,106.0,2.183406115,24.0,1.0,231.0,29.0,326.0,33.0,4.0,5.999552603763769,68.0,-95.0,-1.0459153345245125,1.2982342771284838,-0.06499555084558171,1.5856221646519826,-0.002000794250433607
5.0,30.0,2.71752286,25.0,1.0,247.0,8.0,354.0,20.0,12.0,12.000000000000064,-3.0,-107.0,1.907248774666554,0.36097606904156687,0.35282400573637923,3.368476296333184,-0.0023620421408980345
126.0,4.0,2.816473246,26.0,1.0,184.0,137.0,337.0,143.0,6.0,-1.0030179252674465,-11.0,-153.0,-0.595024209481095,0.01414098965093556,0.04395351117133501,4.346829363195456,-0.00279242326445467
29.0,33.0,5.500801086,27.0,1.0,326.0,89.0,121.0,102.0,13.0,13.0,-60.0,-155.0,1.0155637034211817,0.42139373888014126,0.40534985053982303,4.948623374597636,-0.00330550823350596
8.0,20.0,2.319443941,28.0,1.0,354.0,11.0,29.0,2.0,-9.0,-0.001679338244333195,-3.0,-35.0,-2.433672973379472,0.8761013142280698,-0.31838691941936403,2.1724049393095486,-0.0039174406807400705
