stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
131.0,137.0,4.400245905,1.0,1.0,280.0,53.0,133.0,47.0,-6.0,-13.333333258473637,-68.0,147.0,-1.159721822412817,-3.3123732093581384,-0.033172990097941064,-3.465798525817744,5.4651551887207686e-17
36.0,3.0,0.936925888,2.0,1.0,347.0,132.0,160.0,1.0,15.0,35.512576385967165,50.0,-173.0,-2.0295397357645193,-3.1191792994502077,0.16650728890871055,-2.1843946235835805,0.019208154857280932
111.0,130.0,0.8340370659999999,3.0,1.0,37.0,85.0,339.0,106.0,21.0,20.99999999999996,26.0,58.0,3.1741038765065066,-3.3544733954199484,-0.23024327508771986,-7.276864383755586,0.038434048939972446
53.0,47.0,3.531650066,4.0,1.0,133.0,13.0,139.0,142.0,-17.0,-17.0,40.0,-6.0,0.8874111252734654,-2.7989945698684893,0.21521516269965985,-5.4722668629524005,0.05769523995475456
132.0,1.0,6.6000630860000005,5.0,1.0,160.0,133.0,339.0,1.0,14.0,14.006881202779487,-1.0,-179.0,-1.1789240858778804,-3.2737945976831186,0.41676619640034585,-6.619691730870575,0.07700892149654097
85.0,106.0,4.5345270630000005,6.0,1.0,339.0,107.0,79.0,87.0,-20.0,-20.0,-22.0,-100.0,,-2.8535502213413095,,,0.09639173832729515
13.0,142.0,11.81555605,7.0,1.0,139.0,137.0,348.0,136.0,-1.0,-6.502515350483043,22.0,151.0,,-2.7161367836901107,,,0.11585959851399717
133.0,1.0,7.166665077,8.0,1.0,339.0,87.0,172.0,83.0,-4.0,-10.670579896875697,46.0,167.0,,-2.2913812405292315,,,0.13542748147531058
107.0,87.0,4.066462994,9.0,1.0,79.0,25.0,261.0,21.0,-4.0,-4.0,-64.0,178.0,,-1.9357685997932863,,,0.1551092410704734
25.0,21.0,4.199954033,12.0,1.0,261.0,9.0,179.0,4.0,-5.0,0.004136621555590025,16.0,82.0,,-1.9357685997932863,,,0.17491740297041453
74.0,131.0,5.048062086,13.0,1.0,112.0,117.0,176.0,119.0,2.0,2.0000000000001963,-43.0,-64.0,,-2.6910989991846024,,,0.1948629556809677
57.0,124.0,5.5680258270000005,14.0,1.0,78.0,31.0,17.0,22.0,-9.0,-2.4954727184993004,26.0,61.0,,-2.9894733415258,,,0.21495513474229233
9.0,4.0,3.3158950810000003,15.0,1.0,179.0,39.0,286.0,30.0,-9.0,-8.997034046861236,-30.0,-107.0,,-2.9386451203142205,,,0.23520119980817436
117.0,119.0,1.267204046,16.0,1.0,176.0,18.0,309.0,14.0,-4.0,-3.9999999999999365,-47.0,-133.0,,-2.87300103497565,,,0.2556062045146953
31.0,22.0,2.1331563,17.0,1.0,17.0,34.0,170.0,27.0,-7.0,7.5063714271065525,-3.0,-153.0,,-2.8030888834636314,,,0.276172759280569
39.0,30.0,3.6986758710000003,18.0,1.0,286.0,82.0,211.0,120.0,38.0,38.00117040527328,-43.0,75.0,,-1.997987237728791,,,0.29690078744180276
18.0,14.0,2.5826477999999997,19.0,1.0,309.0,63.0,79.0,64.0,1.0,1.0,-45.0,-130.0,,-2.1005900324949036,,,0.3177872754113893
34.0,27.0,1.900612116,20.0,1.0,170.0,108.0,19.0,102.0,-6.0,-6.0,72.0,151.0,,-2.0826069051320406,,,0.33882601787027455
82.0,120.0,5.301198244,21.0,1.0,211.0,28.0,138.0,16.0,-12.0,-6.499161962467758,54.0,73.0,,-2.038403979452223,,,0.36000735933796063
63.0,64.0,3.750375748,22.0,1.0,79.0,77.0,217.0,77.0,0.0,-6.971234601211614e-14,-14.0,-138.0,,-1.664937332304032,,,0.3813179338383676
108.0,102.0,3.083551884,23.0,1.0,19.0,23.0,347.0,20.0,-3.0,-3.0,-61.0,32.0,,-1.6024084990917906,,,0.40274040476655776
28.0,16.0,2.9324860569999998,24.0,1.0,138.0,80.0,147.0,108.0,28.0,12.998826724881699,-52.0,-9.0,,-1.4121812218728158,,,0.42425320747146694
77.0,77.0,2.583630085,25.0,1.0,217.0,97.0,269.0,88.0,-9.0,-9.000667774688102,-20.0,-52.0,,-1.3780174145140098,,,0.44583029749444353
