stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
38.0,39.0,2.5334317680000003,1.0,1.0,247.0,98.0,158.0,90.0,-8.0,-8.000000000000044,-60.0,89.0,1.5238577654827812,-1.1018871771158216,0.11297548797175781,-1.2997787245326053,-4.48554601981081e-17
23.0,28.0,2.364960909,2.0,1.0,353.0,137.0,133.0,140.0,3.0,3.005697122815925,32.0,-140.0,2.172959872333869,-1.3138387508358156,0.23235095730962585,-3.35123629766131,-0.015772463088942274
98.0,90.0,2.432168245,3.0,1.0,158.0,12.0,176.0,131.0,-27.0,-27.000000000000057,-60.0,-18.0,2.6990347308370883,-1.3138387508358156,0.02106226340944641,-1.5074901905027804,-0.03160332649802384
137.0,140.0,7.017662047999999,4.0,1.0,133.0,4.0,119.0,4.0,0.0,9.002731380726454e-56,-13.0,14.0,0.7176329456504381,-1.3086761768736737,0.12370496955788458,-3.2552389148947327,-0.047551043177709716
12.0,131.0,3.183670759,5.0,1.0,176.0,125.0,164.0,93.0,-32.0,-21.001845663292983,33.0,12.0,1.127632618557101,-1.3249368882031138,0.11036905574950502,-3.1935680977508585,-0.06367416701372114
4.0,4.0,3.0138297080000003,6.0,1.0,119.0,22.0,88.0,9.0,-13.0,-12.999999999999911,-18.0,31.0,,-0.9828375318959102,,,-0.08003139243478835
125.0,93.0,4.631304978999999,7.0,1.0,164.0,66.0,123.0,68.0,2.0,2.0,59.0,41.0,,-0.8683927204770419,,,-0.09668158086012267
22.0,9.0,3.532402039,8.0,1.0,88.0,106.0,224.0,77.0,-29.0,-7.997658178031905,62.0,-136.0,,-1.0004346784148126,,,-0.11368376939020164
66.0,68.0,3.883731127,9.0,1.0,123.0,26.0,246.0,27.0,1.0,-2.0008940041641226,40.0,-123.0,,-1.4220222847964634,,,-0.13109715697371482
106.0,77.0,3.516476154,10.0,1.0,224.0,27.0,152.0,25.0,-2.0,-2.001006687788694,-67.0,72.0,,-1.7983733790939547,,,-0.14898106308157258
26.0,27.0,4.268672943,11.0,1.0,246.0,100.0,341.0,80.0,-20.0,-20.0,72.0,-95.0,,-1.8370375956086626,,,-0.16739485369385404
27.0,25.0,4.299352884,12.0,1.0,152.0,54.0,133.0,42.0,-12.0,-12.000000000000089,-27.0,19.0,,-1.1500383582727143,,,-0.1863978291676403
100.0,80.0,3.5175879,13.0,1.0,341.0,112.0,237.0,113.0,1.0,4.336240425812335,-12.0,104.0,,-1.0069226166514935,,,-0.20604906831527345
54.0,42.0,2.7326967719999997,14.0,1.0,133.0,77.0,235.0,89.0,12.0,-2.0023457624961356,-23.0,-102.0,,-1.0072393742310795,,,-0.22640722279861308
112.0,113.0,2.8667120930000003,15.0,1.0,237.0,92.0,32.0,90.0,-2.0,-1.9976509742109234,20.0,-155.0,,-0.5371147415089134,,,-0.24753025575288856
77.0,89.0,2.4327018259999997,16.0,1.0,235.0,15.0,349.0,19.0,4.0,3.9984901931889603,62.0,-114.0,,-1.0363870014793268,,,-0.2694751184141912
92.0,90.0,3.548726082,17.0,1.0,32.0,19.0,145.0,18.0,-1.0,-0.9973159058589134,-73.0,-113.0,,-1.5757123765330916,,,-0.29229735846083704
15.0,19.0,5.999938726,18.0,1.0,349.0,58.0,156.0,32.0,-26.0,-26.0,-43.0,-167.0,,-1.376408469474819,,,-0.316050653817162
