stimulusID,morphID,RT,trialNumber,blockNumber,shifted_stimulusID,shifted_morphID,Error,responseError,Stim_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
58.0,46.0,8.49725,4.0,1.0,85.0,90.0,5.0,5.0,-27.0,4.592312586258084,-3.1433256565334218,0.48315999359472456,-1.6822004023472719,-5.951230579348592e-17
71.0,89.0,9.639875,5.0,1.0,58.0,46.0,-12.0,-12.0,13.0,-0.528866299704543,-2.439220274748431,0.08547919115259256,-3.197073140697818,-0.020926229322362537
93.0,93.0,3.90745,7.0,1.0,72.0,77.0,5.0,5.0011059959189,21.0,3.1778770381613017,-2.321027822565007,0.26858422229598655,-4.232184875764913,-0.04192994169129062
66.0,103.0,15.860404999999998,8.0,1.0,93.0,93.0,0.0,-1.5011240108898273e-55,-27.0,3.4036401162085648,-1.8858561997713736,0.15773558819862046,-2.4698359435477197,-0.06308868998101476
88.0,74.0,10.50849,11.0,1.0,142.0,118.0,-24.0,-23.993556531068354,-54.0,1.5030040750253741,-1.4200509304808575,0.1344651279101001,-3.3116704892842823,-0.08448016098234586
8.0,131.0,5.66171,12.0,1.0,88.0,74.0,-14.0,-8.001528481650269,66.0,,-1.5676208349774832,,,-0.10618222795254764
89.0,93.0,11.507935,13.0,1.0,8.0,131.0,-23.0,-23.0,-65.0,,-2.677694429354428,,,-0.1282729857047112
4.0,123.0,13.49347,14.0,1.0,89.0,93.0,4.0,-1.8339195158100834,61.0,,-2.2643080430061002,,,-0.1508307621383172
122.0,107.0,11.77853,15.0,1.0,4.0,123.0,-27.0,-10.140127053922647,-28.0,,-2.570555871808468,,,-0.17393409988613134
126.0,123.0,5.96085,17.0,1.0,64.0,31.0,-33.0,-32.99999999999983,62.0,,-3.0338851925841626,,,-0.19766170148464726
69.0,87.0,10.938360000000001,18.0,1.0,126.0,123.0,-3.0,-2.999999999999916,-57.0,,-3.3468373710179775,,,-0.22209233117673516
129.0,140.0,10.96283,19.0,1.0,69.0,87.0,18.0,18.0006723316835,60.0,,-3.5587771015100143,,,-0.2473046661394798
17.0,126.0,2.1204400000000003,20.0,1.0,129.0,140.0,11.0,15.800066444880427,34.0,,-3.382337303474943,,,-0.27337708961388457
24.0,31.0,8.613395,21.0,1.0,17.0,126.0,-37.0,-37.0,7.0,,-3.828928512194745,,,-0.3003874181159665
17.0,26.0,7.170064999999999,22.0,1.0,24.0,31.0,7.0,7.0,-7.0,,-4.041112538186612,,,-0.32841255465406394
91.0,90.0,2.462335,23.0,1.0,17.0,26.0,9.0,9.0,-72.0,,-4.14933852960985,,,-0.3575280596920271
41.0,67.0,7.459865,24.0,1.0,91.0,90.0,-1.0,-1.000000000000074,-50.0,,-4.491708227476258,,,-0.38780763151329156
73.0,72.0,8.474015,27.0,1.0,20.0,127.0,-39.0,-39.0,53.0,,-4.394153716359173,,,-0.4193224876916967
65.0,82.0,8.61099,28.0,1.0,73.0,72.0,-1.0,-0.9999999999999583,-8.0,,-4.341031085235853,,,-0.45214063960000117
140.0,125.0,9.699715,30.0,1.0,107.0,80.0,-27.0,-26.99547113058325,33.0,,-4.138144532109353,,,-0.48632605232894816
115.0,114.0,3.811465,31.0,1.0,140.0,125.0,-15.0,-15.614585670901763,-25.0,,-4.506391802399648,,,-0.5219376830937869
123.0,119.0,1.6840849999999998,32.0,1.0,115.0,114.0,-1.0,-0.9953570339419484,8.0,,-4.862612600056094,,,-0.5590283922193359
122.0,119.0,3.3906400000000003,33.0,1.0,123.0,119.0,-4.0,-3.997772162633737,-1.0,,-5.184296901431938,,,-0.5976437221677914
70.0,69.0,3.865725,34.0,1.0,122.0,119.0,-3.0,-2.9986016016395083,-52.0,,-5.537557770997153,,,-0.6378205418543355
131.0,132.0,2.794665,35.0,1.0,70.0,69.0,-1.0,-0.9988940040810745,61.0,,-5.308789801135685,,,-0.6795855557304484
101.0,80.0,1.22784,36.0,1.0,131.0,132.0,1.0,4.718694353184528,-30.0,,-5.521039067651453,,,-0.7229536798456415
91.0,90.0,6.182475,37.0,1.0,101.0,80.0,-21.0,-21.0,-10.0,,-5.51699845171512,,,-0.7679262903593715
119.0,120.0,9.91365,38.0,1.0,91.0,90.0,-1.0,-1.000000000000074,28.0,,-5.060892592470848,,,-0.814489353790159
10.0,116.0,9.610330000000001,39.0,1.0,119.0,120.0,1.0,1.0000000000000528,37.0,,-4.470253155109928,,,-0.8626114526677574
10.0,15.0,8.902144999999999,40.0,1.0,10.0,116.0,-40.0,-40.0,0.0,,-4.740551759798287,,,-0.9122417251881663
139.0,136.0,4.688035,41.0,1.0,10.0,15.0,5.0,5.0,-17.0,,-4.890587579780512,,,-0.9633077429291015
144.0,130.0,4.0149349999999995,42.0,1.0,139.0,136.0,-3.0,-2.99632872642931,5.0,,-4.684086186774161,,,-1.0157133566078933
96.0,109.0,19.84365,43.0,1.0,144.0,130.0,-14.0,-13.991430210370892,-48.0,,-4.824964268430945,,,-1.0693365461663191
27.0,32.0,3.82945,44.0,1.0,96.0,109.0,13.0,13.0,-69.0,,-4.97200573311703,,,-1.1240273180255167
48.0,73.0,11.485925,47.0,1.0,2.0,127.0,-21.0,-20.994074547358018,46.0,,-5.662953996120267,,,-1.1796056990094312
125.0,93.0,7.126964999999999,50.0,1.0,52.0,61.0,9.0,9.0,-73.0,,-5.234088203786871,,,-1.2358598829893193
12.0,136.0,4.915765,54.0,1.0,6.0,123.0,-29.0,-28.999999999999787,6.0,,-5.197665626733703,,,-1.2925445925175842
53.0,39.0,5.495385,55.0,1.0,12.0,136.0,-22.0,-21.999999999999925,41.0,,-4.663546627123613,,,-1.3493797233221148
36.0,61.0,1.546035,56.0,1.0,53.0,39.0,-14.0,-14.0,-17.0,,-4.636217197047442,,,-1.4060493442141704
147.0,144.0,11.51644,57.0,1.0,36.0,61.0,25.0,25.0,-35.0,,-4.266305874432523,,,-1.4622011283879761
73.0,35.0,1.083175,58.0,1.0,147.0,144.0,-3.0,-2.9999999999999196,72.0,,-4.142383182664648,,,-1.5174462939047406
119.0,79.0,3.940815,59.0,1.0,73.0,35.0,-38.0,-37.99999999999996,46.0,,-3.9882945005377572,,,-1.5713601309974732
137.0,123.0,14.42489,60.0,1.0,119.0,79.0,-40.0,-39.99999999999995,18.0,,-3.5594505610110567,,,-1.6234831913543137
139.0,129.0,6.81186,61.0,1.0,137.0,123.0,-14.0,-13.996122555905076,2.0,,-4.063743553436926,,,-1.6733232094118677
2.0,147.0,1.862625,62.0,1.0,139.0,129.0,-10.0,-9.99632872642931,9.0,,-4.197967155464283,,,-1.7203578176373984
55.0,121.0,3.711575,63.0,1.0,2.0,147.0,-1.0,-0.9940745473580194,53.0,,-3.8463162783806584,,,-1.764038106588755
39.0,68.0,3.093755,65.0,1.0,15.0,123.0,-38.0,-37.99806552016035,24.0,,-3.706119637163135,,,-1.803793066092874
40.0,94.0,13.909365,66.0,1.0,39.0,68.0,29.0,28.99999999999981,1.0,,-3.8653257042301443,,,-1.8390349261691847
64.0,69.0,16.5773,67.0,1.0,40.0,94.0,54.0,53.99500235938927,24.0,,-4.459097774202363,,,-1.8691653954671632
133.0,111.0,15.146189999999999,68.0,1.0,64.0,69.0,5.0,5.000000000000167,69.0,,-4.541729470220892,,,-1.8935827712607887
