stimulusID,morphID,RT,trialNumber,blockNumber,shifted_stimulusID,shifted_morphID,Error,responseError,Stim_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
137.0,81.0,8.49725,2.0,1.0,85.0,90.0,5.0,4.999999999999925,52.0,4.978855993565906,-1.6134835237330372,0.33021867743637723,-3.7831888954976143,-1.1027994239609469e-16
85.0,90.0,9.639875,3.0,1.0,58.0,46.0,-12.0,-12.0,27.0,4.031605874058022,-1.5485210611265527,0.3203267404910916,-3.45831820323443,-0.03877760250428918
71.0,89.0,3.90745,5.0,1.0,72.0,77.0,5.0,5.000772131304797,-1.0,2.3272328011905716,-1.658069019188353,0.2643880333180467,-2.2743275322835124,-0.07769890440740843
72.0,77.0,15.860404999999998,6.0,1.0,93.0,93.0,0.0,8.302488150360175e-87,-21.0,4.3010965327428305,-1.8140772196173114,0.34919093187561345,-3.179513763458386,-0.11690773559731243
29.0,123.0,10.50849,9.0,1.0,142.0,118.0,-24.0,-23.99355653068549,33.0,2.53151245997922,-1.7373717976075627,0.22427756475904606,-1.8100573560065365,-0.15654817630011986
142.0,118.0,5.66171,10.0,1.0,88.0,74.0,-14.0,-8.002609754378543,54.0,,-2.086840102361913,,,-0.19676465553455796
88.0,74.0,11.507935,11.0,1.0,8.0,131.0,-23.0,-10.593159354802404,-66.0,,-2.6657445089546394,,,-0.23770201719202433
8.0,131.0,13.49347,12.0,1.0,89.0,93.0,4.0,4.002012559782568,65.0,,-3.768119410766859,,,-0.2795055424336094
89.0,93.0,11.77853,13.0,1.0,4.0,123.0,-27.0,-10.140127053922633,-61.0,,-3.8475595608160282,,,-0.32232091667411905
122.0,107.0,5.96085,15.0,1.0,64.0,31.0,-33.0,-18.375336960412685,58.0,,-2.9200897971485325,,,-0.3662941289247575
64.0,31.0,10.938360000000001,16.0,1.0,126.0,123.0,-3.0,-3.0,-62.0,,-3.223292015280179,,,-0.41157129071065096
126.0,123.0,10.96283,17.0,1.0,69.0,87.0,18.0,18.000000000000043,57.0,,-3.191189374192124,,,-0.4582983611918309
69.0,87.0,2.1204400000000003,18.0,1.0,129.0,140.0,11.0,10.998994416132964,-60.0,,-3.308861936474145,,,-0.5066207645272546
129.0,140.0,8.613395,19.0,1.0,17.0,126.0,-37.0,-37.0,-34.0,,-3.08481460510914,,,-0.5566828849675954
17.0,126.0,7.170064999999999,20.0,1.0,24.0,31.0,7.0,7.000000000000173,-7.0,,-2.9712252454636032,,,-0.6086274246871205
24.0,31.0,2.462335,21.0,1.0,17.0,26.0,9.0,9.0,7.0,,-2.4322599305570485,,,-0.6625946090182492
17.0,26.0,7.459865,22.0,1.0,91.0,90.0,-1.0,-1.0,72.0,,-2.647432264656894,,,-0.7187212235917921
136.0,122.0,8.474015,25.0,1.0,20.0,127.0,-39.0,-39.0,-30.0,,-2.7282524043563994,,,-0.777139467976408
20.0,127.0,8.61099,26.0,1.0,73.0,72.0,-1.0,-1.9952364999994865,-53.0,,-1.912762542748803,,,-0.8379756108243881
65.0,82.0,9.699715,28.0,1.0,107.0,80.0,-27.0,-26.996103885847308,-42.0,,-2.193072479043123,,,-0.9013484323464949
107.0,80.0,3.811465,29.0,1.0,140.0,125.0,-15.0,-15.0,-33.0,,-2.5565426602724,,,-0.96736744124049
140.0,125.0,1.6840849999999998,30.0,1.0,115.0,114.0,-1.0,-0.9928439244799164,25.0,,-2.858619987908661,,,-1.0361308550753126
115.0,114.0,3.3906400000000003,31.0,1.0,123.0,119.0,-4.0,3.0114032044546803,-8.0,,-2.9122639536460464,,,-1.1077233356762728
123.0,119.0,3.865725,32.0,1.0,122.0,119.0,-3.0,-2.9976479362557495,1.0,,-4.050098510767224,,,-1.1822134743568784
122.0,119.0,2.794665,33.0,1.0,70.0,69.0,-1.0,-0.9988940040435285,52.0,,-4.852491598460294,,,-1.2596510259859752
70.0,69.0,1.22784,34.0,1.0,131.0,132.0,1.0,0.9989944161329637,-61.0,,-5.024514519184645,,,-1.340063895942937
131.0,132.0,6.182475,35.0,1.0,101.0,80.0,-21.0,-21.0,30.0,,-4.822110276750441,,,-1.4234548900624158
101.0,80.0,9.91365,36.0,1.0,91.0,90.0,-1.0,-1.0,10.0,,-5.141603246315577,,,-1.5097982447485512
91.0,90.0,9.610330000000001,37.0,1.0,119.0,120.0,1.0,2.875544836556264,-28.0,,-5.578688909014306,,,-1.5990359625640773
