stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
41.0,41.0,0.0,4,1,234.0,118.0,349.0,122.0,4.0,5.002012174837715,69.0,-115.0,-0.45262027058352566,-0.44332996967973004,-0.09271786185088109,1.3879795916816675,-0.0029337357098514253
122.0,131.0,0.0,5,1,116.0,30.0,238.0,32.0,2.0,2.0,-54.0,-122.0,3.2806778323993697,-1.1701227645545655,0.3880185356714108,0.6505079409968726,-0.004432814654974226
63.0,66.0,3.065667152,7,1,126.0,41.0,234.0,41.0,0.0,-8.868951178377585e-14,22.0,-108.0,3.3633237826645956,-1.3270946313806367,0.26249340984858016,4.39723283600513,-0.005970938495367894
53.0,69.0,2.583747149,8,1,280.0,122.0,116.0,131.0,9.0,9.000000000000064,-69.0,164.0,1.5538701992307407,-0.8399876421853062,0.06892707317866292,2.4540712391318356,-0.007561777739222447
25.0,25.0,7.867426157000001,9,1,212.0,7.0,121.0,25.0,18.0,18.00335597519046,18.0,91.0,3.4058804699680407,-0.7276801875278955,0.33850419852607677,5.73539367917198,-0.009219570504634282
4.0,10.0,0.950078249,10,1,112.0,63.0,126.0,66.0,3.0,13.995805534965296,-59.0,-14.0,,-0.8488740711920182,,,-0.010959271381932045
65.0,78.0,4.533398151,11,1,37.0,53.0,280.0,69.0,16.0,15.997318888870153,12.0,117.0,,-0.7373230779955597,,,-0.012796704637628468
119.0,126.0,5.467114925,12,1,28.0,25.0,212.0,25.0,0.0,0.33310965409481463,-52.0,176.0,,-0.4741947091662247,,,-0.014748722310910388
27.0,27.0,0.932450056,13,1,190.0,4.0,112.0,10.0,6.0,6.005032500961871,23.0,78.0,,-0.8426784349677556,,,-0.016833367556029717
40.0,34.0,2.283324003,14,1,256.0,65.0,37.0,78.0,13.0,12.99798587568002,-25.0,-141.0,,-0.8426784349677556,,,-0.0190700433331024
67.0,73.0,1.917104006,15,1,107.0,119.0,28.0,126.0,7.0,7.000336137637361,-52.0,79.0,,-1.1159994889056277,,,-0.021479686236306552
114.0,123.0,2.9158928389999996,16,1,218.0,27.0,190.0,27.0,0.0,4.218555805458229e-15,-59.0,28.0,,-0.9182061732498821,,,-0.024084944861761673
32.0,34.0,2.50001502,17,1,245.0,40.0,256.0,34.0,-6.0,-5.999664087288089,-8.0,-11.0,,-0.8135649818474973,,,-0.026910361645929245
38.0,36.0,2.940575123,18,1,317.0,67.0,107.0,73.0,6.0,6.0,-29.0,-150.0,,-0.9523770171719923,,,-0.029982556536932128
126.0,3.0,0.68257308,19,1,280.0,114.0,218.0,123.0,9.0,9.000000000000043,12.0,62.0,,-0.31507738150843234,,,-0.03333041018315705
93.0,110.0,4.282800198,20,1,325.0,32.0,245.0,34.0,2.0,2.0,61.0,80.0,,-0.47016528541006725,,,-0.03698524352350904
3.0,134.0,2.265603065,21,1,93.0,38.0,317.0,36.0,-2.0,-1.999328399615106,-35.0,136.0,,-0.595159308404831,,,-0.04098098973035744
19.0,14.0,2.382749796,22,1,168.0,126.0,280.0,3.0,23.0,23.000000000000064,39.0,-112.0,,-0.3094450226905453,,,-0.04535435338012785
146.0,138.0,2.9154779910000004,23,1,321.0,93.0,325.0,110.0,17.0,17.0,53.0,-4.0,,-0.3040298950302949,,,-0.050144950501442305
42.0,38.0,3.181303024,24,1,42.0,3.0,93.0,134.0,-15.0,0.0016739367078209,39.0,-51.0,,-0.08477027896589533,,,-0.05539542177520408
95.0,118.0,10.365942,25,1,327.0,19.0,168.0,14.0,-5.0,-5.001900954748831,-70.0,159.0,,-0.0313653838325361,,,-0.061151509640148094
20.0,27.0,2.6492948530000002,26,1,26.0,146.0,321.0,138.0,-8.0,-8.001006219307149,20.0,65.0,,0.35166246937915674,,,-0.06746208840490431
74.0,104.0,0.7985701559999999,27,1,224.0,42.0,42.0,38.0,-4.0,-4.0026852200211875,32.0,-178.0,,0.47891697033176395,,,-0.07437913470847383
115.0,106.0,2.568594933,28,1,222.0,95.0,327.0,118.0,23.0,23.0,20.0,-105.0,,0.09055186741704555,,,-0.08195762384388848
105.0,102.0,3.7664959430000002,29,1,273.0,20.0,26.0,27.0,7.0,1.3333337584660852,-61.0,-113.0,,0.08350761164699276,,,-0.09025533562001964
61.0,69.0,7.133964777,30,1,229.0,74.0,224.0,104.0,30.0,30.000665525078762,-13.0,5.0,,0.10658033932931392,,,-0.09933255165874005
141.0,139.0,6.433248043,31,1,288.0,115.0,222.0,106.0,-9.0,-8.998880928663784,26.0,66.0,,0.6356567492520782,,,-0.10925162440564119
6.0,142.0,3.8788998130000003,32,1,102.0,105.0,273.0,102.0,-3.0,-6.001676975345379,47.0,-171.0,,0.6250792582301761,,,-0.12007639679319854
88.0,98.0,4.150201797,33,1,330.0,61.0,229.0,69.0,8.0,8.003692450899145,27.0,101.0,,0.6093547375293149,,,-0.1318714505821
132.0,139.0,4.232722998,34,1,109.0,141.0,288.0,139.0,-2.0,-2.0001672250379845,-9.0,-179.0,,0.7646026611345893,,,-0.14470116109156628
85.0,97.0,0.699873924,35,1,234.0,6.0,102.0,142.0,-10.0,0.0040210483179539125,-67.0,132.0,,0.7147594795140035,,,-0.15862853650926875
104.0,110.0,2.116488934,36,1,281.0,88.0,330.0,98.0,10.0,9.994294604247312,16.0,-49.0,,0.7147594795140035,,,-0.17371382146281414
145.0,2.0,2.583212137,37,1,354.0,132.0,109.0,139.0,7.0,4.998770195572977,13.0,-115.0,,1.0328340238801277,,,-0.19001284726884027
125.0,108.0,2.33227396,38,1,118.0,85.0,234.0,97.0,12.0,11.999999999999785,40.0,-116.0,,1.412084761734813,,,-0.20757511548839339
16.0,21.0,2.334174395,39,1,117.0,104.0,281.0,110.0,6.0,5.998993049553736,58.0,-164.0,,1.2705943197555007,,,-0.2264416073358504
10.0,14.0,0.784891129,40,1,98.0,145.0,354.0,2.0,3.0,0.002012776183443865,11.0,104.0,,1.1385188480573911,,,-0.24664231931531835
116.0,105.0,4.366019249,41,1,215.0,125.0,118.0,108.0,-17.0,-16.998321411713707,-9.0,97.0,,1.111238316023952,,,-0.2681935353492336
106.0,110.0,0.58605814,42,1,178.0,16.0,117.0,21.0,5.0,4.999999999999949,-56.0,61.0,,1.181217736404143,,,-0.29109485770454746
117.0,126.0,1.600089312,43,1,58.0,10.0,98.0,14.0,4.0,4.0,-39.0,-40.0,,0.6393519873916284,,,-0.3153260332008941
136.0,123.0,0.533875942,44,1,272.0,116.0,215.0,105.0,-11.0,-7.664095362235965,20.0,57.0,,1.3201617133762704,,,-0.3408436273652849
39.0,37.0,0.637362957,45,1,99.0,106.0,178.0,110.0,4.0,3.9989930495537362,-67.0,-79.0,,1.3201617133762704,,,-0.36757761708812514
102.0,97.0,0.431332111,46,1,113.0,117.0,58.0,126.0,9.0,9.001455208973578,-15.0,55.0,,1.7151485064761163,,,-0.39542799146560975
73.0,63.0,4.450863838,47,1,202.0,136.0,272.0,123.0,-13.0,-13.002347506784593,-63.0,-70.0,,1.7303644321458205,,,-0.424261470214947
