stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
124.0,102.0,2.16539979,3,1,182.0,121.0,221.0,109.0,-12.0,-12.0,3.0,-39.0,-3.135322003388756,1.785572765667889,-0.18023099511136767,-1.0870108921976944,0.005296201377032689
53.0,47.0,4.01527071,4,1,240.0,124.0,182.0,102.0,-22.0,-7.6680101300312735,-71.0,58.0,-2.0215305068195333,1.6748514039512838,-0.11154776294511601,-0.24564076813543692,0.00800245195944836
45.0,45.0,4.983588219,5,1,75.0,53.0,240.0,47.0,-6.0,-5.998994174961952,-8.0,-165.0,-4.774886433119323,1.460226481978479,-0.327773098543902,0.09779643624764167,0.010779189337046033
85.0,111.0,2.283046961,6,1,34.0,45.0,75.0,45.0,0.0,-0.0034654340784313303,40.0,-41.0,0.705657677004957,1.2936024088215121,0.02086389416214437,0.5349497761212643,0.013651092544156281
73.0,76.0,2.7327861789999996,7,1,72.0,85.0,34.0,111.0,26.0,-0.005361549010810762,-12.0,38.0,-1.2194629834231794,1.3565652789660827,-0.08371405837456379,-1.5837359111280314,0.01664386530740136
32.0,32.0,2.333548784,8,1,305.0,73.0,72.0,76.0,3.0,3.000000000000038,-41.0,-127.0,,1.0072889501241837,,,0.01978450478321394
115.0,112.0,3.2508730889999997,9,1,159.0,32.0,305.0,32.0,0.0,0.004640339842562774,-63.0,-146.0,,1.1133832307253033,,,0.023101578133187077
48.0,44.0,1.966748238,10,1,238.0,115.0,159.0,112.0,-3.0,-3.0000000000000338,-67.0,79.0,,1.8332393879149838,,,0.02662550793180376
29.0,12.0,3.181998253,11,1,231.0,48.0,238.0,44.0,-4.0,-4.0,-19.0,-7.0,,1.9651877467518635,,,0.030388867044463322
42.0,31.0,5.166774035,12,1,289.0,29.0,231.0,12.0,-17.0,7.999326261440707,13.0,58.0,,2.244230374172204,,,0.034426683160858
17.0,4.0,3.434499025,13,1,348.0,42.0,289.0,31.0,-11.0,-11.000000000000131,-25.0,59.0,,1.9059146033483996,,,0.038776752602770616
76.0,82.0,1.950363874,14,1,195.0,17.0,348.0,4.0,-13.0,-13.0,59.0,-153.0,,1.8015334415750293,,,0.043479962327247774
61.0,75.0,4.615874052,15,1,146.0,76.0,195.0,82.0,6.0,6.0,-15.0,-49.0,,1.378745525540405,,,0.048580618195020235
109.0,93.0,3.9170339110000003,16,1,281.0,61.0,146.0,75.0,14.0,14.0,48.0,135.0,,1.3914447164547454,,,0.05412677654784705
43.0,16.0,2.234530687,17,1,219.0,109.0,281.0,93.0,-16.0,-16.0,-66.0,-62.0,,1.180041811637539,,,0.060170574914422334
23.0,6.0,2.316107035,18,1,44.0,43.0,219.0,16.0,-27.0,-27.003465434078432,-20.0,-175.0,,1.2726752717371719,,,0.06676855622027264
20.0,11.0,2.93223381,19,1,94.0,23.0,44.0,6.0,-17.0,-16.999662511814872,-3.0,50.0,,0.5614921882995788,,,0.07398197919215502
135.0,147.0,1.4827981000000001,20,1,298.0,20.0,94.0,11.0,-9.0,-8.999999999999988,-31.0,-156.0,,0.4971665830608116,,,0.08187710570483654
59.0,44.0,2.09995389,21,1,320.0,135.0,298.0,147.0,12.0,12.001342919369081,70.0,22.0,,0.5380436246966086,,,0.09052545360657903
88.0,108.0,3.899945974,22,1,210.0,59.0,320.0,44.0,-15.0,-15.0,29.0,-110.0,,0.11846212656331868,,,0.10000400107648554
10.0,22.0,2.786036015,23,1,290.0,88.0,210.0,108.0,20.0,8.329756215720515,68.0,80.0,,0.17870263123013408,,,0.11039532582126609
63.0,43.0,4.015270233,24,1,229.0,10.0,290.0,22.0,12.0,7.501509103777839,53.0,-61.0,,-0.0025200852510555037,,,0.12178765943580956
93.0,98.0,2.068059921,25,1,292.0,63.0,229.0,43.0,-20.0,-20.00000000000014,30.0,63.0,,-0.3481242384107713,,,0.1342748340762036
80.0,95.0,2.898406744,26,1,65.0,93.0,292.0,98.0,5.0,4.996308561086156,-13.0,133.0,,-0.23818629962007173,,,0.14795609529537054
89.0,95.0,4.166880846000001,27,1,275.0,80.0,65.0,95.0,15.0,15.0,9.0,-150.0,,-0.10089631440645977,,,0.16293575157013584
70.0,65.0,2.416392326,28,1,106.0,89.0,275.0,95.0,6.0,5.993626885930666,-19.0,-169.0,,-0.08292429106750879,,,0.17932262783919228
114.0,105.0,1.6391921040000001,29,1,314.0,70.0,106.0,65.0,-5.0,-1.4973164392683662,44.0,-152.0,,0.053604018958754,,,0.19722928744868137
118.0,124.0,1.602717161,30,1,313.0,114.0,314.0,105.0,-9.0,-9.00089514793772,4.0,-1.0,,-0.13501273143621972,,,0.21677098448428897
65.0,76.0,1.200505733,31,1,21.0,118.0,313.0,124.0,6.0,6.0,-53.0,68.0,,-0.25951149789219224,,,0.23806430682021545
44.0,58.0,3.215895176,32,1,349.0,65.0,21.0,76.0,11.0,0.0006724997295624036,-21.0,-32.0,,-0.08113418152264622,,,0.261225469646926
67.0,64.0,2.566550016,33,1,301.0,44.0,349.0,58.0,14.0,3.669686605333535,23.0,-48.0,,0.053732634643935816,,,0.28636822010571195
62.0,63.0,2.3153069019999997,34,1,2.0,67.0,301.0,64.0,-3.0,-3.003018263181563,-5.0,61.0,,0.4632821219286976,,,0.3136013163504207
72.0,74.0,2.031772137,35,1,321.0,62.0,2.0,63.0,1.0,1.0,10.0,-41.0,,-0.06733012296926831,,,0.3430255492924681
27.0,12.0,4.416647911,36,1,51.0,72.0,321.0,74.0,2.0,2.001005880343087,-45.0,90.0,,0.08908914060124394,,,0.3747302828901981
34.0,30.0,2.019238234,37,1,124.0,27.0,51.0,12.0,-15.0,-14.999999999999645,7.0,73.0,,0.7472805174074624,,,0.40878949952834875
146.0,144.0,2.400516987,38,1,231.0,34.0,124.0,30.0,-4.0,-3.998210754105782,-34.0,107.0,,0.6344637916720898,,,0.4452573511626722
56.0,53.0,2.4826822280000003,39,1,66.0,146.0,231.0,144.0,-2.0,-2.0,56.0,-165.0,,0.2473174509175691,,,0.48416323476036366
9.0,6.0,3.133691788,40,1,293.0,56.0,66.0,53.0,-3.0,-3.0,-47.0,-133.0,,0.10743148115960494,,,0.5255064323036679
125.0,145.0,2.031409979,41,1,319.0,9.0,293.0,6.0,-3.0,-0.4978202809195649,-30.0,26.0,,0.13902091743210723,,,0.5692503812210528
28.0,25.0,2.066268921,42,1,123.0,125.0,319.0,145.0,20.0,20.004807846984853,49.0,164.0,,-0.28948668946215184,,,0.6153166703199607
126.0,143.0,2.2986919880000003,43,1,181.0,28.0,123.0,25.0,-3.0,-2.991613660316545,-48.0,58.0,,-0.42055949322142483,,,0.6635788885919918
74.0,44.0,2.31350708,44,1,187.0,126.0,181.0,143.0,17.0,17.00000000000018,-52.0,6.0,,-0.5768602301810772,,,0.7138564887967553
100.0,98.0,3.5162613389999997,45,1,345.0,74.0,187.0,44.0,-30.0,-30.0,26.0,158.0,,-0.6756380652986038,,,0.7659088632970742
7.0,8.0,2.266105652,46,1,116.0,100.0,345.0,98.0,-2.0,-1.9999999999999494,53.0,131.0,,-1.0182368164904068,,,0.8194298646305901
54.0,47.0,1.133265972,47,1,311.0,7.0,116.0,8.0,1.0,1.004025999410228,47.0,-165.0,,-0.9997463209075923,,,0.8740430358020802
40.0,45.0,3.0154671669999997,48,1,2.0,54.0,311.0,47.0,-7.0,-6.999999999999962,-14.0,51.0,,-0.3331038266609058,,,0.9292978429673106
39.0,60.0,2.966792822,49,1,331.0,40.0,2.0,45.0,5.0,5.0,-1.0,-31.0,,-0.4365925040027896,,,0.9846672234809503
119.0,109.0,2.4575707909999998,50,1,344.0,39.0,331.0,60.0,21.0,21.0,-66.0,13.0,,-0.5135199473768122,,,1.03954677246017
147.0,4.0,2.46604085,51,1,139.0,119.0,344.0,109.0,-10.0,-10.0,28.0,155.0,,-0.5204490698266395,,,1.0932558883162329
97.0,91.0,3.183104992,52,1,106.0,147.0,139.0,4.0,3.0,3.0,-50.0,-33.0,,-0.29892470878551913,,,1.145041179540049
127.0,116.0,2.165829897,53,1,111.0,97.0,106.0,91.0,-6.0,-6.0,30.0,5.0,,-0.07475400235490144,,,1.1940823991914236
129.0,102.0,2.465368748,54,1,320.0,127.0,111.0,116.0,-11.0,-11.0,2.0,-151.0,,0.42851466184815673,,,1.2395011184577152
4.0,6.0,2.416043997,55,1,27.0,129.0,320.0,102.0,-27.0,-27.0,21.0,67.0,,0.6241642906941027,,,1.280372275608951
37.0,33.0,2.166736841,56,1,239.0,4.0,27.0,6.0,2.0,2.0000000000002025,33.0,-148.0,,0.5593931736606088,,,1.3157386420791009
143.0,133.0,2.864219189,57,1,248.0,37.0,239.0,33.0,-4.0,-4.0,-40.0,9.0,,-0.012254223181925598,,,1.3446281349408535
90.0,107.0,1.8844819069999998,58,1,206.0,143.0,248.0,133.0,-10.0,-8.008219170601748,-53.0,-42.0,,-0.24864425514027277,,,1.3660737778380756
77.0,75.0,1.983110905,59,1,135.0,90.0,206.0,107.0,17.0,9.66599690365357,-13.0,-71.0,,0.014433653997959027,,,1.379135975096398
117.0,101.0,1.867105961,60,1,11.0,77.0,135.0,75.0,-2.0,-2.0,40.0,-124.0,,0.10039169444627026,,,1.3829266222627745
51.0,63.0,2.016325951,61,1,337.0,117.0,11.0,101.0,-16.0,-16.0,-66.0,-34.0,,0.26004768908567827,,,1.3766344379718114
49.0,48.0,1.87005806,62,1,235.0,51.0,337.0,63.0,12.0,12.001005825038048,-2.0,-102.0,,0.8058065668454722,,,1.3595507749557607
91.0,104.0,3.217609882,63,1,321.0,49.0,235.0,48.0,-1.0,-1.0,42.0,86.0,,0.4675283753021313,,,1.3310950608335772
98.0,106.0,2.149884224,64,1,277.0,91.0,321.0,104.0,13.0,-5.668006892144,7.0,-44.0,,-0.14154038318268666,,,1.2908389405854068
5.0,12.0,1.2664980890000002,65,1,81.0,98.0,277.0,106.0,8.0,8.0,53.0,164.0,,-0.40852496702379376,,,1.2385281501979557
60.0,26.0,2.8002982139999997,66,1,342.0,5.0,81.0,12.0,7.0,7.004025999410197,55.0,-99.0,,-0.2016284152996495,,,1.1741011513587807
16.0,20.0,3.258476973,67,1,84.0,60.0,342.0,26.0,-34.0,-34.0,-44.0,102.0,,-0.12817370146615778,,,1.0977036048068565
2.0,143.0,2.634771824,68,1,109.0,16.0,84.0,20.0,4.0,4.0,-14.0,25.0,,-1.055045259214457,,,1.0096978570027466
84.0,92.0,2.083894014,69,1,51.0,2.0,109.0,143.0,-5.0,-0.999497481354009,-64.0,-58.0,,-0.9725399023670587,,,0.9106667602094471
8.0,146.0,2.250164986,70,1,314.0,84.0,51.0,92.0,8.0,7.991276173075214,70.0,-97.0,,-0.5225399023670612,,,0.8014113357538629
113.0,103.0,1.667484999,71,1,152.0,8.0,314.0,146.0,-8.0,-7.999160105882881,-41.0,-162.0,,-0.5145610973326512,,,0.6829420168933272
19.0,16.0,1.9668447969999998,72,1,255.0,113.0,152.0,103.0,-10.0,-12.664876694293891,52.0,103.0,,-0.6552777449397017,,,0.5564634611727991
52.0,48.0,2.567685127,73,1,116.0,19.0,255.0,16.0,-3.0,-3.0,33.0,-139.0,,-0.4003354272518057,,,0.42335318987829657
41.0,30.0,3.049225092,74,1,249.0,52.0,116.0,48.0,-4.0,-1.0016778192644735,-11.0,133.0,,-0.11855693347611714,,,0.2851345799815679
94.0,100.0,2.50084281,75,1,123.0,41.0,249.0,30.0,-11.0,-11.0,53.0,-126.0,,-0.03792891417932566,,,0.1434449869153702
139.0,6.0,1.616006136,76,1,350.0,94.0,123.0,100.0,6.0,-5.004024313195314,45.0,-133.0,,0.8022837728985664,,,-0.0
101.0,104.0,1.783582926,77,1,101.0,139.0,350.0,6.0,13.0,11.667785075321127,-38.0,111.0,,0.7140949804096888,,,-0.1434449869153702
55.0,46.0,1.583116055,78,1,24.0,101.0,101.0,104.0,3.0,3.0013412872319685,-46.0,-77.0,,0.11291045968023614,,,-0.2851345799815679
71.0,68.0,3.266521692,79,1,152.0,55.0,24.0,46.0,-9.0,-9.0,16.0,128.0,,-0.3720024532621414,,,-0.42335318987829657
33.0,27.0,4.132705688,80,1,307.0,71.0,152.0,68.0,-3.0,-0.0003382754021910017,-38.0,155.0,,-0.46803384885148963,,,-0.5564634611727991
123.0,118.0,1.71626091,81,1,277.0,33.0,307.0,27.0,-6.0,-0.6663331608494465,-56.0,-30.0,,-0.5467383587956873,,,-0.6829420168933272
134.0,110.0,1.1333060259999999,82,1,98.0,123.0,277.0,118.0,-5.0,-4.995192153015148,11.0,-179.0,,-1.065429763525184,,,-0.8014113357538629
96.0,103.0,2.052563906,83,1,64.0,134.0,98.0,110.0,-24.0,-19.99681378078381,-38.0,-34.0,,-1.4610405916968716,,,-0.9106667602094471
3.0,8.0,2.666846037,84,1,286.0,96.0,64.0,103.0,7.0,6.999999999999861,53.0,-138.0,,-0.9148984474352653,,,-1.0096978570027466
46.0,51.0,2.9639718530000003,85,1,174.0,3.0,286.0,8.0,5.0,5.0013420190878355,43.0,-112.0,,-1.3085261635732348,,,-1.0977036048068565
54.0,47.0,5.08408308,1,2,276.0,46.0,174.0,51.0,5.0,4.999999999999869,8.0,102.0,,-1.3085261635732348,,,-1.1741011513587807
59.0,48.0,2.782867908,2,2,130.0,54.0,276.0,47.0,-7.0,-6.999999999999962,5.0,-146.0,,-2.1562023213491766,,,-1.2385281501979557
140.0,141.0,2.4667880540000002,3,2,241.0,59.0,130.0,48.0,-11.0,-11.0,-65.0,111.0,,-2.2058177557728897,,,-1.2908389405854068
