stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
45.0,38.0,2.3150000569999998,2.0,1.0,287.0,40.0,121.0,45.0,5.0,5.0,5.0,166.0,0.6651145834467322,1.8947248942269401,0.07547206559199501,-0.8760052783260072,0.0002396399499743802
18.0,18.0,4.818523169,3.0,1.0,316.0,45.0,287.0,38.0,-7.0,-1.002516081593309,-27.0,29.0,-2.7233792250642805,1.2929196604425581,-0.19189628774031658,-1.4577330774247907,0.00036527556878815853
120.0,123.0,3.383152008,4.0,1.0,190.0,18.0,316.0,18.0,0.0,1.0290850684303845e-55,-44.0,-126.0,-1.247548597998593,1.57362000943322,-0.05098286813257312,-0.04033084956556828,0.0004980790266825285
3.0,1.0,1.632387877,5.0,1.0,136.0,120.0,190.0,123.0,3.0,3.0,29.0,-54.0,-4.415581092275133,1.996494703888315,-0.17481742374627282,1.3241819625226505,0.0006407618259619389
140.0,140.0,7.015926123,6.0,1.0,38.0,3.0,136.0,1.0,-2.0,-2.4927874703162205,-9.0,-98.0,0.7434893587214019,2.2515999480028106,-0.017019140748548853,-0.8764986581769134,0.0007963261522679484
89.0,86.0,5.582384825,7.0,1.0,192.0,140.0,38.0,140.0,0.0,1.330056051914334e-13,-51.0,154.0,-1.0560396089421689,2.0641369159646605,-0.045569905162025894,-0.11199921861614655,0.0009681562739084423
119.0,111.0,3.28152442,8.0,1.0,296.0,89.0,192.0,86.0,-3.0,-3.0,30.0,104.0,-2.3950802158851903,1.6174009015572477,-0.01167798097808095,0.4017171030379436,0.0011601233989626055
34.0,31.0,3.0829560760000003,9.0,1.0,254.0,119.0,296.0,111.0,-8.0,-8.0,61.0,-42.0,0.5627396352315511,1.469236164431438,-0.1582307194453259,-1.8640583171043115,0.0013767076874295486
70.0,91.0,3.4180209639999997,10.0,1.0,285.0,34.0,254.0,31.0,-3.0,-3.002012044307698,36.0,31.0,-1.2783474052429407,1.6605887327519548,-0.09590702844302995,-2.0166116523315853,0.0016231417063911518
28.0,63.0,4.583415985,11.0,1.0,158.0,70.0,285.0,91.0,21.0,20.999999999999968,-42.0,-127.0,-2.1452750672484253,1.6025651145690922,-0.10653351100695331,-3.3849667506638053,0.001905580339238338
72.0,74.0,4.749448299,12.0,1.0,54.0,28.0,158.0,63.0,35.0,34.99731444259972,44.0,-104.0,-3.95885547968558,1.1635999964946997,-0.16854085895928317,-0.9277674364279812,0.002231303029429191
66.0,74.0,5.6358428,13.0,1.0,92.0,72.0,54.0,74.0,2.0,-0.4984901370065584,-6.0,38.0,-2.3109536941902937,1.1635999964946997,-0.22254259587949768,-0.6846742825415841,0.0026089552691867606
59.0,73.0,6.716039896,14.0,1.0,339.0,66.0,92.0,74.0,8.0,8.0,-7.0,-113.0,0.6053434711969875,1.051327122880812,-0.19712463566783564,-0.058928363407011485,0.003048837447107827
49.0,50.0,7.116760015,15.0,1.0,120.0,59.0,339.0,73.0,14.0,4.001006725206132,-10.0,141.0,-0.712917289970316,0.8686283715593314,-0.013752784521298632,-1.6792542039863012,0.003563250556006171
104.0,117.0,3.067276001,16.0,1.0,17.0,49.0,120.0,50.0,1.0,-0.0008944919171693932,55.0,-103.0,-4.547164359120952,0.8522391570016081,-0.21723353022001016,-0.5466438511029483,0.004166909838065569
94.0,103.0,1.850257158,17.0,1.0,128.0,104.0,17.0,117.0,13.0,13.0,-10.0,111.0,-3.4934312454784977,0.31302460452318687,-0.2813139546895704,-0.07530596788579835,0.004877439204001307
143.0,144.0,4.133071661000001,18.0,1.0,10.0,94.0,128.0,103.0,9.0,8.993292172887065,49.0,-118.0,-2.731575424943338,0.7025625051943469,-0.13992024361675223,-0.037510912949533445,0.005715961187973886
74.0,91.0,4.016082764,19.0,1.0,110.0,143.0,10.0,144.0,1.0,0.5000000003773143,-69.0,100.0,-3.27465662334533,0.6582710325029685,-0.18763367875020745,-0.8414855933900339,0.006707799251830685
20.0,13.0,10.95531821,20.0,1.0,34.0,74.0,110.0,91.0,17.0,16.999999999999968,-54.0,-76.0,-2.142235140748453,0.60087035454877,-0.07474859621434526,1.839038102999267,0.007883311364071485
24.0,32.0,3.133168936,21.0,1.0,280.0,20.0,34.0,13.0,-7.0,-6.999999999999949,4.0,-114.0,-3.5557571209389267,0.7807391464959429,-0.12374905788622517,0.339954735933613,0.009278875845832769
109.0,104.0,4.836028099,22.0,1.0,210.0,24.0,280.0,32.0,8.0,3.0000001124471583,-61.0,-70.0,-1.8578917620477893,0.8189582477460587,-0.08188051815561516,-1.481287595295129,0.010938052343098918
111.0,99.0,3.93486619,23.0,1.0,272.0,109.0,210.0,104.0,-5.0,-5.0,2.0,62.0,-3.438174520818917,0.6551689171549123,-0.1284277217462431,0.08208273428006124,0.01291294223189946
81.0,87.0,3.897594213,24.0,1.0,194.0,111.0,272.0,99.0,-12.0,-12.0,-30.0,-78.0,-2.8592662272051443,0.39575584092152166,-0.08167085749372871,-0.4788523457416052,0.01526577349175971
14.0,16.0,3.1666109560000004,25.0,1.0,213.0,81.0,194.0,87.0,6.0,5.9889174731810435,-67.0,19.0,-2.7506357940816013,0.3055023127665863,-0.06600279592414642,-1.383427807132504,0.018070734694920834
145.0,142.0,5.082566977,26.0,1.0,236.0,14.0,213.0,16.0,2.0,2.0,-15.0,23.0,-2.427606728483384,0.11013012805349072,-0.035411713189175055,0.18298581557180432,0.021416080742812805
108.0,117.0,3.582856894,27.0,1.0,199.0,145.0,236.0,142.0,-3.0,-0.6644315253005826,-37.0,-37.0,-4.978582811847804,0.010614891205804984,-0.2550298558031868,1.201984617969509,0.025406528694674742
90.0,107.0,3.3833630080000003,28.0,1.0,256.0,108.0,199.0,117.0,9.0,9.0,-18.0,57.0,-3.3574687293092533,-0.3007470913283579,-0.24697200907288624,0.6715536372802074,0.030165954692726475
50.0,50.0,2.665671825,29.0,1.0,131.0,90.0,256.0,107.0,17.0,17.0,-40.0,-125.0,-4.084928947908485,-0.22619614527169035,-0.1075608329749093,-2.767130772164547,0.035840391667251524
131.0,126.0,4.686554193,30.0,1.0,17.0,50.0,131.0,50.0,0.0,-0.00033576269651168305,-65.0,-114.0,-3.609098295190321,-0.48045617281797687,-0.20686117912666135,0.6042121597841422,0.04260131114488991
56.0,44.0,4.750298023,31.0,1.0,173.0,131.0,17.0,126.0,-5.0,-1.4996649312830015,71.0,156.0,-1.4010114944452312,-0.48045617281797687,0.028629397106062132,-0.3155815175597304,0.0506491499258482
122.0,99.0,4.803594112,32.0,1.0,133.0,56.0,173.0,44.0,-12.0,-12.0,66.0,-40.0,-2.734899504928588,-0.26463089132947676,-0.15261672209628682,0.13112792852065966,0.060217012441797495
106.0,105.0,2.002912998,33.0,1.0,289.0,122.0,133.0,99.0,-23.0,-23.0,-16.0,156.0,-4.871653941126043,0.37748153702161746,-0.29071643144027276,1.7400535867186446,0.07157444111306856
124.0,104.0,2.3017737869999997,34.0,1.0,126.0,106.0,289.0,105.0,-1.0,-1.0,18.0,-163.0,-1.9703667975725685,0.5525961074248686,-0.11795937518675263,-0.3994909122265291,0.08503109904572949
144.0,147.0,6.41656971,35.0,1.0,51.0,124.0,126.0,104.0,-20.0,-20.0,20.0,-75.0,-2.573860182733224,0.5325550817271888,-0.2387491821076529,-1.25953245225643,0.1009401513916805
15.0,22.0,5.417262077,36.0,1.0,18.0,144.0,51.0,147.0,3.0,2.9999992501936066,17.0,-33.0,-1.8140222173321001,0.5325550817271888,0.03808458277939989,-1.7231774865944474,0.11970106372517836
37.0,34.0,5.05189395,37.0,1.0,199.0,15.0,18.0,22.0,7.0,7.0,22.0,-179.0,-1.0154057386694033,0.26698020663249794,-0.07306542664743955,-0.18859070565608665,0.14176145890260577
146.0,147.0,3.3036551480000003,38.0,1.0,272.0,37.0,199.0,34.0,-3.0,-13.999104195206137,-37.0,73.0,0.3651876675377824,0.508240930843958,0.22854535059799874,-1.5876671229486052,0.1676175904053441
53.0,52.0,2.451044083,39.0,1.0,172.0,146.0,272.0,147.0,1.0,1.003804909077607,53.0,-100.0,-1.9659696959848785,0.499551784007317,-0.09880015781130458,0.01836480402053449,0.19781290413396066
95.0,114.0,3.218446016,40.0,1.0,334.0,53.0,172.0,52.0,-1.0,-1.0,42.0,162.0,-4.505122380186925,0.5580705291774799,-0.22354812073850272,0.07347222612309068,0.2329340780872765
32.0,36.0,2.466370821,41.0,1.0,211.0,95.0,334.0,114.0,19.0,-1.0010048880816846,-63.0,-123.0,-2.42165441718086,0.4191672159484614,-0.021730512173415914,0.07446989345909844,0.2736038587317862
36.0,39.0,3.066338062,42.0,1.0,350.0,32.0,211.0,36.0,4.0,-1.0003353877805274,4.0,139.0,-3.2381152117394056,0.564605059745945,-0.08051832103014595,2.3743402059475827,0.3204699650667026
44.0,35.0,2.7333791260000004,43.0,1.0,230.0,36.0,350.0,39.0,3.0,2.9963102116021028,8.0,-120.0,-3.579997811541825,0.8099332767295083,-0.2658696380551443,-0.4870929772812039,0.3741893197871595
79.0,91.0,4.515272856,44.0,1.0,118.0,44.0,230.0,35.0,-9.0,-9.00067244429148,35.0,-112.0,-1.487725317605139,0.3984791553813044,-0.19310249979808725,-2.5480737698501263,0.43540690696800793
134.0,1.0,3.53953886,45.0,1.0,161.0,79.0,118.0,91.0,12.0,12.0,55.0,43.0,-2.5264253319868546,0.6453413943276631,-0.05989368806658927,-1.3010317217605474,0.504728663990204
96.0,108.0,6.432984114,46.0,1.0,285.0,134.0,161.0,1.0,13.0,5.998156137477119,-38.0,124.0,-3.618234829956838,0.8378881823021554,-0.35341798092435706,-1.9820378210343188,0.5826880085576881
30.0,35.0,4.016885042,47.0,1.0,335.0,96.0,285.0,108.0,12.0,-3.6689015720519187,-66.0,50.0,-2.3453888930071463,0.6257669701809435,-0.11608681471469376,1.0746962560829787,0.6697058941310395
8.0,5.0,8.533073902,48.0,1.0,49.0,30.0,335.0,35.0,5.0,4.999999999999937,-22.0,74.0,-0.5133748396715353,1.2548902156057131,0.004856044148127696,-2.3837749220857023,0.7660446889763668
12.0,13.0,3.216150999,49.0,1.0,41.0,8.0,49.0,5.0,-3.0,-2.999999999999867,4.0,-8.0,-4.793645322496794,1.020862139472272,-0.2723375022113173,-2.071009067488336,0.8717566879366491
51.0,49.0,7.499498129,50.0,1.0,156.0,12.0,41.0,13.0,1.0,1.000000000000133,39.0,115.0,-1.2061045129179842,1.301789669389672,-0.03216839795122206,-2.5575710084690813,0.9866286840806506
83.0,120.0,3.783557177,51.0,1.0,170.0,51.0,156.0,49.0,-2.0,-2.000000000000013,32.0,14.0,-3.773340296194711,1.2020059697508985,-0.19034785770569584,0.3407287838469899,1.1101247281141593
77.0,122.0,2.070503235,52.0,1.0,234.0,83.0,170.0,120.0,37.0,36.98891747318104,-6.0,64.0,-0.15198185665581057,0.9021762661687025,0.12366521083183182,-0.7124126109862721,1.2413299494136771
2.0,132.0,3.5338029860000004,54.0,1.0,99.0,117.0,17.0,113.0,-4.0,-4.0,31.0,82.0,-1.7933384467412252,0.8987604748101755,-0.09981269677916889,-1.7660636927837114,1.37889904910847
22.0,15.0,5.71700716,55.0,1.0,64.0,2.0,99.0,132.0,-16.0,-16.00016531177979,20.0,-35.0,-6.260190713900441,1.4120920550055838,-0.3614786546889112,1.836189439359706,1.5210137314763035
75.0,72.0,1.817808151,56.0,1.0,58.0,22.0,64.0,15.0,-7.0,-2.999217328979734,53.0,-6.0,-2.6953168809754953,1.9032279483271153,-0.28607185481486747,-1.8560113007212653,1.665353829979948
7.0,132.0,10.84840798,57.0,1.0,249.0,75.0,58.0,72.0,-3.0,-3.0,-68.0,-169.0,-3.8942929149644097,1.7586906895008185,-0.020165631351939533,0.9178637457466441,1.8090871154734969
110.0,102.0,7.63772583,58.0,1.0,125.0,7.0,249.0,132.0,-21.0,-21.0,-43.0,-124.0,-1.6645886470872482,1.6634856126156374,-0.08324931534704065,0.05353435974321763,1.9488826539272375
9.0,142.0,1.234627247,59.0,1.0,176.0,110.0,125.0,102.0,-8.0,-8.0,45.0,51.0,-3.693780497013166,1.2366319106221428,-0.2557127455911347,-0.2855599722719612,2.080952028660712
17.0,25.0,2.716454029,60.0,1.0,79.0,9.0,176.0,142.0,-13.0,-12.996477699467377,8.0,-97.0,-3.4094831133591645,1.5428477354389891,-0.1709919234575753,3.145990431698318,2.201121701387486
99.0,102.0,5.336115122,61.0,1.0,22.0,17.0,79.0,25.0,8.0,8.0,-64.0,-57.0,-5.464434381058268,1.5428477354389891,-0.34982192820284597,0.1492732595812289,2.304938239177525
61.0,50.0,4.291368008,62.0,1.0,163.0,99.0,22.0,102.0,3.0,-2.501005993840872,-38.0,141.0,-1.590167630569986,1.6576345378151174,0.016111015281338875,-0.8056337350060686,2.387806112396978
47.0,51.0,4.566998959,63.0,1.0,77.0,61.0,163.0,50.0,-11.0,3.0030181504384146,-14.0,-86.0,-0.8553646856328436,1.4997486212790114,-0.08251697025001656,-1.8454340726005523,2.4451553616248254
