stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
98.0,90.0,0.0,3.0,1.0,158.0,38.0,247.0,39.0,1.0,1.5038580159587471,60.0,-89.0,0.9314816610324442,0.8240831044372953,0.055300872994241274,-1.8417147715633864,-1.503098270109762e-20
137.0,140.0,3.351492882,4.0,1.0,133.0,23.0,353.0,28.0,5.0,4.999999999999924,-32.0,140.0,0.2089815284205217,0.6688871490978877,-0.025255853883418153,-0.8274459624634068,-5.300024642859484e-06
12.0,131.0,3.767219067,5.0,1.0,176.0,98.0,158.0,90.0,-8.0,-7.999999999999741,60.0,18.0,-1.3133357527229652,0.7079067089149869,-0.061583405707890934,-0.9880041098958864,-1.0708480888866249e-05
4.0,4.0,5.866047859,6.0,1.0,119.0,137.0,133.0,140.0,3.0,2.99026674919744,13.0,-14.0,1.7599309704886734,0.6253118543726187,0.035246029803670885,0.635834281814701,-1.6337120280448283e-05
125.0,93.0,2.5334317680000003,7.0,1.0,164.0,12.0,176.0,131.0,-27.0,-27.0,-33.0,-12.0,0.37488176936154627,0.49383515904286773,-0.12465547385142499,3.2166953273339693,-2.2304457347672214e-05
22.0,9.0,2.364960909,8.0,1.0,88.0,4.0,119.0,4.0,0.0,0.0,18.0,-31.0,-0.8592556785943042,0.1409440702528406,-0.017935254364376423,0.4295837532593975,-2.8739463579576382e-05
66.0,68.0,2.432168245,9.0,1.0,123.0,125.0,164.0,93.0,-32.0,-31.999999999999822,-59.0,-41.0,1.0529778333725393,0.13859494616196713,0.04795486696579262,0.5789164102062403,-3.5785649681578294e-05
106.0,77.0,7.017662047999999,10.0,1.0,224.0,22.0,88.0,9.0,-13.0,-13.0,-62.0,136.0,0.5849928051292314,-0.11312830473693922,-0.09287261973764502,0.12843262339308756,-4.3605688153329466e-05
26.0,27.0,3.183670759,11.0,1.0,246.0,66.0,123.0,68.0,2.0,1.9999999999998355,-40.0,123.0,1.291881247349287,-0.1422060652373632,-0.012561614949272793,0.44728700614885064,-5.2386748426980834e-05
27.0,25.0,3.0138297080000003,12.0,1.0,152.0,106.0,224.0,77.0,-29.0,-7.997656488609255,67.0,-72.0,-1.6461426976933873,0.039374347612374586,-0.09990076820054684,1.0513692031452126,-6.234674308534604e-05
100.0,80.0,4.631304978999999,13.0,1.0,341.0,26.0,246.0,27.0,1.0,0.9979867181641462,-72.0,95.0,0.9563178020739931,-0.46910022865880735,-0.014530068165299023,3.2580142507818715,-7.374171668674462e-05
54.0,42.0,3.532402039,14.0,1.0,133.0,27.0,152.0,25.0,-2.0,-2.000000000000076,27.0,-19.0,0.8465030166289417,0.24267797646942962,-0.04110468014419979,-0.3435806565533436,-8.687464920394614e-05
112.0,113.0,3.883731127,15.0,1.0,237.0,100.0,341.0,80.0,-20.0,0.5051949428974005,12.0,-104.0,0.7943254117965044,0.2902180113578878,-0.08325117344962253,0.09295289748180195,-0.00010210599483944091
77.0,89.0,3.516476154,16.0,1.0,235.0,54.0,133.0,42.0,-12.0,-12.0,23.0,102.0,-2.2240476543053136,0.24267797646942968,-0.14037180660437548,0.23628903101937127,-0.00011986633480773043
92.0,90.0,4.268672943,17.0,1.0,32.0,112.0,237.0,113.0,1.0,4.336240425812398,-20.0,155.0,0.30623577191640644,0.4042958661612108,-0.09027552156352976,-0.04415505905704407,-0.00014067159029105243
15.0,19.0,4.299352884,18.0,1.0,349.0,77.0,235.0,89.0,12.0,11.997480823888575,-62.0,114.0,1.2462911934714966,0.43330866859464345,0.029534685523189094,0.8943280575803674,-0.00016514131968324344
19.0,18.0,3.5175879,19.0,1.0,145.0,92.0,32.0,90.0,-2.0,-1.999999999999962,-73.0,113.0,1.758089066136548,0.3176066280304813,0.04923761683647461,-0.7428675755365217,-0.00019402071256209737
58.0,32.0,2.7326967719999997,20.0,1.0,156.0,15.0,349.0,19.0,4.0,4.0,43.0,167.0,-0.4021247786165,0.20836854937406463,-0.07769301008904149,-2.0598546764976153,-0.00022820699108202383
101.0,100.0,2.8667120930000003,21.0,1.0,164.0,19.0,145.0,18.0,-1.0,-1.0,-64.0,19.0,2.0929496409582358,-0.45411037760860207,-0.025185577104952613,0.6414477369670187,-0.0002687810362323315
32.0,32.0,2.4327018259999997,22.0,1.0,210.0,58.0,156.0,32.0,-26.0,-14.663312890628385,-26.0,54.0,0.2009483333229627,-0.34271363919292575,-0.044931915197484545,-1.6658136741089962,-0.00031704516889473317
33.0,38.0,3.548726082,23.0,1.0,359.0,101.0,164.0,100.0,-1.0,-0.9927852489458469,-68.0,-165.0,-0.15407712782202754,-0.6502840719647535,-0.04018879049818716,-0.06435771200478584,-0.0003745681292213279
