stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
30.0,33.0,3.216928005,2.0,1.0,88.0,122.0,55.0,96.0,-26.0,-25.67864446252982,54.0,33.0,2.1758428741153204,-5.879087054913486,0.3514997755258011,-2.400914655802068,-0.001135145631893015
53.0,51.0,3.207076788,3.0,1.0,111.0,30.0,88.0,33.0,3.0,1.9262125163949513,23.0,23.0,-0.2887110607363825,-4.9915976209718895,0.11683530355118919,-1.0838295717373305,-0.0017241635904078323
142.0,140.0,3.582960129,4.0,1.0,209.0,53.0,111.0,51.0,-2.0,-1.997959557907354,-57.0,98.0,2.164486161130697,-4.472657737287241,0.12328883393998936,0.18142365298244956,-0.0023394380205122235
54.0,51.0,3.002148151,5.0,1.0,93.0,142.0,209.0,140.0,-2.0,-5.078437979841585,58.0,-116.0,0.5557778722138716,-4.490810290939898,0.11438128104816571,0.4535498369259817,-0.0029906052389498563
119.0,97.0,3.101404905,6.0,1.0,116.0,54.0,93.0,51.0,-3.0,-2.8679531423416513,65.0,23.0,2.381092333605571,-3.7815171543587827,0.29543744058015703,-0.07195524169223089,-0.0036880870205937477
35.0,26.0,1.915325165,7.0,1.0,170.0,119.0,116.0,97.0,-22.0,-19.695871423286537,62.0,54.0,2.129437373336154,-3.240580906049554,0.2640655481466194,2.3698527397844793,-0.004443322122440574
46.0,46.0,3.7159307,8.0,1.0,20.0,35.0,170.0,26.0,-9.0,-11.724726667191693,11.0,-150.0,4.153440309349249,-3.677200755009696,0.3541702636206894,2.7757492965495913,-0.005269022255725722
91.0,97.0,3.482673883,9.0,1.0,357.0,46.0,20.0,46.0,0.0,-1.6813033088925415,45.0,-23.0,3.0644864126125215,-2.9780389164579986,0.37153804214878056,-0.7319865391489192,-0.006179458396124813
19.0,11.0,1.419749975,10.0,1.0,308.0,91.0,357.0,97.0,6.0,-6.414704330229672,-72.0,-49.0,-4.242109953127096,-2.1478502372127144,-0.42948161887840514,-2.600655475014824,-0.007190783853759867
84.0,91.0,3.133388042,11.0,1.0,132.0,19.0,308.0,11.0,-8.0,-3.400471285221176,65.0,-176.0,4.572026127858653,-2.193567013359533,0.42523438838384886,0.1835456857772172,-0.008321401128029713
