stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
67.0,72.0,4.49972105,1.0,1.0,199.0,57.0,331.0,76.0,19.0,14.048813453140042,10.0,-132.0,1.3337451039483914,0.5128084196720631,-0.2118578809321611,5.327737062120806,-0.0001767598356715984
57.0,76.0,3.1833908560000004,3.0,1.0,331.0,135.0,277.0,143.0,8.0,4.8194988417359355,70.0,54.0,1.5274353139951078,0.5370877068118924,0.03306285773674587,4.194741422850067,-0.0002694294065774417
133.0,78.0,1.09988308,4.0,1.0,235.0,127.0,29.0,144.0,17.0,23.187654768753077,6.0,-154.0,-2.1266151947559684,-0.14996247601542229,-0.047113501262018576,2.5628806089647824,-0.000367386017720699
135.0,143.0,4.300511122,5.0,1.0,277.0,25.0,171.0,26.0,1.0,2.5771531079172405,-38.0,106.0,4.714166629131973,-0.3061281652749338,0.29785497633150393,2.937601579921636,-0.0004726296891389689
127.0,144.0,11.38290095,6.0,1.0,29.0,101.0,160.0,104.0,3.0,4.854862185397565,26.0,-131.0,3.2215170229379018,-0.5985609201833029,0.22716430529313247,3.3671769338761517,-0.0005873748506078987
25.0,26.0,3.53169179,7.0,1.0,171.0,131.0,301.0,140.0,9.0,10.322699991381,42.0,-130.0,1.289586322585492,-1.4001853932698534,0.08011401485854851,3.3857048438444233,-0.0007141177583236469
101.0,104.0,3.316788912,8.0,1.0,160.0,5.0,67.0,5.0,0.0,-1.2303090470676494,-52.0,93.0,1.6072564985856637,-1.5055421018213915,0.05579863471076331,3.8405768616310474,-0.000855713838119849
131.0,140.0,5.683295965,9.0,1.0,301.0,122.0,82.0,12.0,38.0,48.85875169828603,9.0,-141.0,-1.3592486340951695,-2.2768864933199513,-0.1428191538895486,0.9805915980819148,-0.0010154676823456125
5.0,5.0,3.232711792,10.0,1.0,67.0,108.0,89.0,112.0,4.0,12.522077211596866,45.0,-22.0,1.9601362635002695,-2.3561821495308766,0.17371446230559112,1.215560440903038,-0.0011972388632368414
122.0,12.0,3.763752222,11.0,1.0,82.0,126.0,350.0,111.0,-15.0,-7.699843782687026,-4.0,92.0,3.304794853258651,-1.4468266431782615,0.3734846454025347,-0.8658482908870202,-0.0014055672589602377
108.0,112.0,1.09992075,12.0,1.0,89.0,30.0,187.0,32.0,2.0,1.0244616396186075,-70.0,-98.0,1.2904700905087492,-1.6403985105321788,-0.06570536873951549,4.454884220782181,-0.0016458222297980531
126.0,111.0,12.28266764,13.0,1.0,350.0,128.0,190.0,111.0,-17.0,-11.985143393905332,-2.0,160.0,0.3667942838103448,-1.893627056400815,-0.11088796141511956,2.6492005464313713,-0.0019243807416310238
30.0,32.0,9.433410882999999,14.0,1.0,187.0,80.0,100.0,72.0,-8.0,-15.131530116913268,-50.0,87.0,1.7301470074370104,-1.893627056400815,0.18456067545385052,2.242339716054467,-0.0022488404216324015
128.0,111.0,4.436342955,15.0,1.0,190.0,138.0,237.0,31.0,41.0,35.59276080905113,-10.0,-47.0,-1.2935111933375847,-2.571831320331288,-0.10672078414026458,2.9203155951833133,-0.0026282745544051805
80.0,72.0,3.499443769,16.0,1.0,100.0,124.0,227.0,105.0,-19.0,-9.717580775090596,-44.0,-127.0,2.8397366188677893,-3.100640752740742,0.280074673425321,0.8748367953849325,-0.0030735371890782846
138.0,31.0,6.599967241,17.0,1.0,237.0,63.0,210.0,66.0,3.0,-1.227591133811302,-73.0,27.0,2.1907445825998444,-3.431973720254886,-0.0011246676946663635,1.71551435299735,-0.0035976278257862384
124.0,105.0,2.2510747909999997,18.0,1.0,227.0,56.0,31.0,83.0,27.0,21.843043240393513,68.0,-164.0,1.3566178171808632,-3.431973720254886,-0.14628549155709553,5.972305397510806,-0.0042161265698811845
63.0,66.0,2.783049107,19.0,1.0,210.0,49.0,30.0,64.0,15.0,8.365915514810695,14.0,-180.0,0.7483058055334342,-3.8446918428963612,0.027853622477232557,2.7930826973982064,-0.004947712155669586
56.0,83.0,7.382296801,20.0,1.0,31.0,114.0,1.0,92.0,-22.0,-9.79425645242361,-58.0,30.0,2.8715000310334156,-4.7931459967449275,0.17051228434789262,3.8245722020077277,-0.005814776799156858
49.0,64.0,4.0335958,21.0,1.0,30.0,45.0,199.0,46.0,1.0,-5.966241161371613,4.0,-169.0,3.5450725593211594,-4.091293220572449,0.17204346719993283,1.5499685426004257,-0.006844153363840055
114.0,92.0,3.782966614,22.0,1.0,1.0,32.0,291.0,31.0,-1.0,-3.2360162052802366,-66.0,70.0,3.509118616807382,-3.5399471760307755,0.042042760963827905,-0.21094465075830954,-0.008067971700634897
45.0,46.0,2.965490103,23.0,1.0,199.0,84.0,215.0,90.0,6.0,-1.4467185679167187,-39.0,-16.0,-1.1962871595538402,-3.814257527782455,-0.04332358352717785,1.6347542075782966,-0.009524662090745513
32.0,31.0,2.2664079669999997,24.0,1.0,291.0,35.0,265.0,38.0,3.0,-1.0433649903334299,-3.0,26.0,5.16466276937274,-3.583623659980018,0.3598954784776456,-2.0534061540151867,-0.011260124257637318
