stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
119,Stimuli/Morph119.JPG,Stimuli/Morph119.png,Stimuli/BlurLevel5/BlurEditedMorph119,Stimuli/BlurLevel5/BlurEditedMorph119.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph119.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph119.png,Stimuli/BlurMorphTrio/EditedMorph119.png,None,None,0,0,0,118,,,,,,,,,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,47.24111588,None,6,-100,-100,29,2.186549268,1.212024051,119,training,72.81481561,73.30715814,72.81481561,73.30715814,70.06802721,1575573541,1575573546,5.116029978,67,97,22,22,1575573538,1575573541,space,5.25913946,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
112,Stimuli/Morph112.JPG,Stimuli/Morph112.png,Stimuli/BlurLevel5/BlurEditedMorph112,Stimuli/BlurLevel5/BlurEditedMorph112.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph112.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph112.png,Stimuli/BlurMorphTrio/EditedMorph112.png,None,None,0,1,1,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,-100,-100,44,1.798349501,1.736645926,112,training,85.82500605,86.32346725,85.82500605,86.32346725,90.47619048,1575573554,1575573556,1.933342934,130,119,-7,-7,1575573552,1575573554,space,12.31607457,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
52,Stimuli/Morph52.JPG,Stimuli/Morph52.png,Stimuli/BlurLevel5/BlurEditedMorph52,Stimuli/BlurLevel5/BlurEditedMorph52.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph52.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph52.png,Stimuli/BlurMorphTrio/EditedMorph52.png,010148right.gif,Stimuli/normal_thumbnails/52right.gif,0,2,2,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,-100,-100,142,-1.970026884,1.539153688,52,training,102.9690716,103.4740804,102.9690716,103.4740804,72.78911565,1575573571,1575573586,15.21595907,10,72,-20,-20,1575573568,1575573571,space,2.926244004,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
26,Stimuli/Morph26.JPG,Stimuli/Morph26.png,Stimuli/BlurLevel5/BlurEditedMorph26,Stimuli/BlurLevel5/BlurEditedMorph26.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph26.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph26.png,Stimuli/BlurMorphTrio/EditedMorph26.png,010070right.gif,Stimuli/normal_thumbnails/26right.gif,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,-100,-100,27,2.22751631,1.134976249,26,training,123.3791744,123.8735055,123.3791744,123.8735055,95.91836735,1575573591,1575573595,3.100068808,48,23,3,3,1575573589,1575573591,space,2.802415539,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
6,Stimuli/Morph6.JPG,Stimuli/Morph6.png,Stimuli/BlurLevel5/BlurEditedMorph6,Stimuli/BlurLevel5/BlurEditedMorph6.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph6.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph6.png,Stimuli/BlurMorphTrio/EditedMorph6.png,010012right.gif,Stimuli/normal_thumbnails/6right.gif,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,-100,-100,137,-1.828384254,1.7049959,6,training,132.2447666,132.7392097,132.2447666,132.7392097,74.14965986,1575573600,1575573602,1.949414253,132,134,-128,19,1575573597,1575573600,space,4.23267547,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
110,Stimuli/Morph110.JPG,Stimuli/Morph110.png,Stimuli/BlurLevel5/BlurEditedMorph110,Stimuli/BlurLevel5/BlurEditedMorph110.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph110.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph110.png,Stimuli/BlurMorphTrio/EditedMorph110.png,None,None,0,5,5,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,-100,-100,315,1.767766953,-1.767766953,110,training,140.5743727,141.0729764,140.5743727,141.0729764,76.8707483,1575573609,1575573611,2.750349045,144,93,17,17,1575573607,1575573609,space,2.174354444,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
54,Stimuli/Morph54.JPG,Stimuli/Morph54.png,Stimuli/BlurLevel5/BlurEditedMorph54,Stimuli/BlurLevel5/BlurEditedMorph54.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph54.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph54.png,Stimuli/BlurMorphTrio/EditedMorph54.png,010150right.gif,Stimuli/normal_thumbnails/54right.gif,0,6,6,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,-100,-100,261,-0.391086163,-2.469220851,54,training,147.9893601,148.4893306,147.9893601,148.4893306,87.75510204,1575573616,1575573622,6.299930096,51,63,-9,-9,1575573614,1575573616,space,2.613381394,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
95,Stimuli/Morph95.JPG,Stimuli/Morph95.png,Stimuli/BlurLevel5/BlurEditedMorph95,Stimuli/BlurLevel5/BlurEditedMorph95.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph95.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph95.png,Stimuli/BlurMorphTrio/EditedMorph95.png,020287right.gif,Stimuli/normal_thumbnails/95right.gif,0,7,7,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-100,-100,180,-2.5,3.06E-16,95,training,159.205368,159.7062153,159.205368,159.7062153,97.27891156,1575573627,1575573630,2.338039875,56,93,2,2,1575573625,1575573627,space,2.159676145,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
131,Stimuli/Morph131.JPG,Stimuli/Morph131.png,Stimuli/BlurLevel5/BlurEditedMorph131,Stimuli/BlurLevel5/BlurEditedMorph131.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph131.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph131.png,Stimuli/BlurMorphTrio/EditedMorph131.png,None,None,0,8,8,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,-100,-100,322,1.970026884,-1.539153688,131,training,167.1298181,167.6235068,167.1298181,167.6235068,41.49659864,1575573635,1575573640,5.071120977,131,88,43,43,1575573632,1575573635,space,3.685676324,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
8,Stimuli/Morph8.JPG,Stimuli/Morph8.png,Stimuli/BlurLevel5/BlurEditedMorph8,Stimuli/BlurLevel5/BlurEditedMorph8.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph8.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph8.png,Stimuli/BlurMorphTrio/EditedMorph8.png,010014right.gif,Stimuli/normal_thumbnails/8right.gif,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,-100,-100,106,-0.68909339,2.40315424,8,training,178.7409877,179.2403538,178.7409877,179.2403538,74.14965986,1575573647,1575573649,2.415994883,137,136,-128,19,1575573644,1575573647,space,1.648252253,,,,,,,,,,,,,,,,,,,,,,,s14,1,34,F,resident,2019_Dec_05_1318,AdjustEyeTrack,3.1.5,59.86573409
